tailoringdecision_id,table,control_identifier,control_name,tailoring_criteria,security_requirement,source_document
td_0112,Table 8. Contingency Planning (CP),CP-08(01),Telecommunications Services | Priority of Service Provisions,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0113,Table 8. Contingency Planning (CP),CP-08(02),Telecommunications Services | Single Points of Failure,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0114,Table 8. Contingency Planning (CP),CP-09,System Backup,CUI,03.08.09,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0115,Table 8. Contingency Planning (CP),CP-09(01),System Backup | Testing for Reliability and Integrity,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0116,Table 8. Contingency Planning (CP),CP-09(08),System Backup | Cryptographic Protection,CUI,03.08.09,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0117,Table 8. Contingency Planning (CP),CP-10,System Recovery and Reconstitution,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0118,Table 8. Contingency Planning (CP),CP-10(02),System Recovery and Reconstitution | Transaction Recovery,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0119,Table 9. Identification and Authentication (IA),IA-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0120,Table 9. Identification and Authentication (IA),IA-02,Identification and Authentication (Organizational Users),CUI,03.05.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0121,Table 9. Identification and Authentication (IA),IA-02(01),Identification and Authentication (Organizational Users) | Multi- Factor Authentication to Privileged Accounts,CUI,03.05.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0122,Table 9. Identification and Authentication (IA),IA-02(02),Identification and Authentication (Organizational Users) | Multi- Factor Authentication to Non-Privileged Accounts,CUI,03.05.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0123,Table 9. Identification and Authentication (IA),IA-02(08),Identification and Authentication (Organizational Users) | Access to Accounts – Replay Resistant,CUI,03.05.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0124,Table 9. Identification and Authentication (IA),IA-02(12),Identification and Authentication (Organizational Users) | Acceptance of PIV Credentials,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0125,Table 9. Identification and Authentication (IA),IA-03,Device Identification and Authentication,CUI,03.05.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0126,Table 9. Identification and Authentication (IA),IA-04,Identifier Management,CUI,03.05.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0127,Table 9. Identification and Authentication (IA),IA-04(04),Identifier Management | Identify User Status,CUI,03.05.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0128,Table 9. Identification and Authentication (IA),IA-05,Authenticator Management,CUI,03.05.12,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0129,Table 9. Identification and Authentication (IA),IA-05(01),Authenticator Management | Password-Based Authentication,CUI,03.05.07,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0130,Table 9. Identification and Authentication (IA),IA-05(02),Authenticator Management | Public Key-Based Authentication,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0131,Table 9. Identification and Authentication (IA),IA-05(06),Authenticator Management | Protection of Authenticators,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0132,Table 9. Identification and Authentication (IA),IA-06,Authentication Feedback,CUI,03.05.11,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0133,Table 9. Identification and Authentication (IA),IA-07,Cryptographic Module Authentication,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0134,Table 9. Identification and Authentication (IA),IA-08,Identification and Authentication (Non-Organizational Users),FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0135,Table 9. Identification and Authentication (IA),IA-08(01),Identification and Authentication (Non-Organizational Users) | Acceptance of PIV Credentials From Other Agencies,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0136,Table 9. Identification and Authentication (IA),IA-08(02),Identification and Authentication (Non-Organizational Users) | Acceptance of External Authenticators,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0137,Table 9. Identification and Authentication (IA),IA-08(04),Identification and Authentication (Non-Organizational Users) | Use of Defined Profiles,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0138,Table 9. Identification and Authentication (IA),IA-11,Re-Authentication,CUI,03.05.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0139,Table 9. Identification and Authentication (IA),IA-12,Identity Proofing,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0140,Table 9. Identification and Authentication (IA),IA-12(02),Identity Proofing | Identity Evidence,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0141,Table 9. Identification and Authentication (IA),IA-12(03),Identity Proofing | Identity Evidence Validation and Verification,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0142,Table 9. Identification and Authentication (IA),IA-12(05),Identity Proofing | Address Confirmation,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0143,Table 10. Incident Response (IR),IR-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0144,Table 10. Incident Response (IR),IR-02,Incident Response Training,CUI,03.06.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0145,Table 10. Incident Response (IR),IR-03,Incident Response Testing,CUI,03.06.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0146,Table 10. Incident Response (IR),IR-03(02),Incident Response Testing | Coordinate With Related Plans,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0147,Table 10. Incident Response (IR),IR-04,Incident Handling,CUI,03.06.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0148,Table 10. Incident Response (IR),IR-04(01),Incident Handling | Automated Incident Handling Processes,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0149,Table 10. Incident Response (IR),IR-05,Incident Monitoring,CUI,03.06.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0150,Table 10. Incident Response (IR),IR-06,Incident Reporting,CUI,03.06.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0151,Table 10. Incident Response (IR),IR-06(01),Incident Reporting | Automated Reporting,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0152,Table 10. Incident Response (IR),IR-06(03),Incident Reporting | Supply Chain Coordination,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0153,Table 10. Incident Response (IR),IR-07,Incident Response Assistance,CUI,03.06.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0154,Table 10. Incident Response (IR),IR-07(01),Incident Response Assistance | Automation Support for Availability of Information and Support,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0155,Table 10. Incident Response (IR),IR-08,Incident Response Plan,CUI,03.06.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0156,Table 11. Maintenance (MA),MA-01,System Maintenance Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0157,Table 11. Maintenance (MA),MA-02,Controlled Maintenance,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0158,Table 11. Maintenance (MA),MA-03,Maintenance Tools,CUI,03.07.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0159,Table 11. Maintenance (MA),MA-03(01),Maintenance Tools | Inspect Tools,CUI,03.07.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0160,Table 11. Maintenance (MA),MA-03(02),Maintenance Tools | Inspect Media,CUI,03.07.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0161,Table 11. Maintenance (MA),MA-03(03),Maintenance Tools | Prevent Unauthorized Removal,CUI,03.07.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0162,Table 11. Maintenance (MA),MA-04,Nonlocal Maintenance,CUI,03.07.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0163,Table 11. Maintenance (MA),MA-05,Maintenance Personnel,CUI,03.07.06,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0164,Table 11. Maintenance (MA),MA-06,Timely Maintenance,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0165,Table 12. Media Protection (MP),MP-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0166,Table 12. Media Protection (MP),MP-02,Media Access,CUI,03.08.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0167,Table 12. Media Protection (MP),MP-03,Media Marking,CUI,03.08.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0168,Table 12. Media Protection (MP),MP-04,Media Storage,CUI,03.08.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0169,Table 12. Media Protection (MP),MP-05,Media Transport,CUI,03.08.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0170,Table 12. Media Protection (MP),MP-06,Media Sanitization,CUI,03.08.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0171,Table 12. Media Protection (MP),MP-07,Media Use,CUI,03.08.07,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0172,Table 13. Physical and Environmental Protection (PE),PE-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0173,Table 13. Physical and Environmental Protection (PE),PE-02,Physical Access Authorizations,CUI,03.10.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0174,Table 13. Physical and Environmental Protection (PE),PE-03,Physical Access Control,CUI,03.10.07,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0175,Table 13. Physical and Environmental Protection (PE),PE-04,Access Control for Transmission,CUI,03.10.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0176,Table 13. Physical and Environmental Protection (PE),PE-05,Access Control for Output Devices,CUI,03.10.07,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0177,Table 13. Physical and Environmental Protection (PE),PE-06,Monitoring Physical Access,CUI,03.10.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0178,Table 13. Physical and Environmental Protection (PE),PE-06(01),Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0179,Table 13. Physical and Environmental Protection (PE),PE-08,Visitor Access Records,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0180,Table 13. Physical and Environmental Protection (PE),PE-09,Power Equipment and Cabling,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0181,Table 13. Physical and Environmental Protection (PE),PE-10,Emergency Shutoff,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0182,Table 13. Physical and Environmental Protection (PE),PE-11,Emergency Power,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0183,Table 13. Physical and Environmental Protection (PE),PE-12,Emergency Lighting,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0184,Table 13. Physical and Environmental Protection (PE),PE-13,Fire Protection,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0185,Table 13. Physical and Environmental Protection (PE),PE-13(01),Fire Protection | Detection Systems – Automatic Activation and Notification,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0186,Table 13. Physical and Environmental Protection (PE),PE-14,Environmental Controls,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
