clause_id,securityrequirement_id,parent_id,label,level,text,contains_odp,source_document
03.02.01.a.02,03.02.01,03.02.01.a,2.,2,"When required by system changes or following [Assignment: organization- defined events], and",yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.02.01.a.03,03.02.01,03.02.01.a,3.,2,"On recognizing and reporting indicators of insider threat, social engineering, and social mining.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.02.01.b,03.02.01,03.02.01,b.,1,Update security literacy training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.02.02.a,03.02.02,03.02.02,a.,1,Provide role-based security training to organizational personnel:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.02.02.a.01,03.02.02,03.02.02.a,1.,2,"Before authorizing access to the system or CUI, before performing assigned duties, and [Assignment: organization-defined frequency] thereafter",yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.02.02.a.02,03.02.02,03.02.02.a,2.,2,When required by system changes or following [Assignment: organization- defined events].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.02.02.b,03.02.02,03.02.02,b.,1,Update role-based training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.01.a,03.03.01,03.03.01,a.,1,Specify the following event types selected for logging within the system: [Assignment: organization-defined event types].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.01.b,03.03.01,03.03.01,b.,1,Review and update the event types selected for logging [Assignment: organization-defined frequency].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.02.a,03.03.02,03.03.02,a.,1,Include the following content in audit records:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
