clause_id,article_id,label,text,deadline_or_term,source_document
cl_11_4,art_11,4,"4. The assignee shall be subject to the same legal and regulatory obligations of the assignor, and the assignor shall be jointly and severely liable for compliance thereof to the competent authority and the relevant data owner.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_12_1,art_12,1,1. Transfer of personal data of any kind to any country or international or supranational organization is hereby forbidden if adequate protection is not provided.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_12_2,art_12,2,2. This shall not apply in the following events:,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_13_single_paragraph,art_13,single paragraph,"Any person may request information from the appropriate authority in relation to personal data files, records, or databases, the purposes thereof and the identity of the persons in charge. The record maintained to such effect shall be available to public inquiry free of charge.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_14_1,art_14,1,"1. The data owner, with the prior identity proof, shall be entitled to request and obtain information about his/her personal data included in public or private databases intended for reporting purposes.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_14_2,art_14,2,"2. The person in charge or the user of such databases shall provide the requested information within ten calendar days as of notice thereupon. If such ten-day period has elapsed and the request has not been met, or if the report furnished is insufficient, an action for protection of personal data or habeas data action may be commenced as provided for in this Act.",ten calendar days,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_14_3,art_14,3,"3. The right of access referred to in this Article may only be exercised free of charge once every six months, save a lawful interest is evidenced to such effect.",once every six months,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_14_4,art_14,4,4. Exercise of the right referred to in this Article in the case of personal data or deceased individuals shall correspond to general heirs.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_15_1,art_15,1,"1. Information shall be provided in a clear way, free from any coding and, if applicable, accompanied by an explanation of terms used, in a language understood by the general public.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_15_2,art_15,2,"2. Information shall be comprehensive and related to the entire holder's record, even when the requirement is only related to one aspect of personal data. In no event shall the report disclose any third-party data, even though they may be related to the interested party.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_15_3,art_15,3,"3. Information, at the holder’s option, may be furnished in writing, by electronic means, telephone, images, or by any other means competent to such end.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_16_1,art_16,1,"1. Any person shall be entitled to have his/her personal data, included in a database, edited, updated and, if applicable, deleted or subjected to confidentiality rules,.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_16_2,art_16,2,"2. The person in charge or the user of such database shall proceed to edit, delete or update personal data of the party involved, carrying out the necessary actions to such end within a maximum of five business days following receipt of the data owner’s claim, or information on the error or untruthfulness.",five business days,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_16_3,art_16,3,"3. Non-compliance with this obligation within the term agreed upon in the above subArticle, shall authorize the party involved to file an action for protection of personal data or habeas data action provided for herein.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_16_4,art_16,4,"4. In the case of assignment or transfer of data, the person in charge or the user of the database shall serve notice of the change or deletion upon the assignee within five business days following the data editing or deletion.",five business days,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_16_6,art_16,6,"6. Deletion shall not proceed in the event that it may damage third party lawful rights or interests, of if there is a legal obligation to preserve the integrity of such data.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_16_7,art_16,7,"7. During the relevant process of data verification and rectifying of the error or untruthfulness, the person in charge or the user of the database shall block the file, or state --at the time of providing information related thereto-- the fact that that such information is subject to revision.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_16_8,art_16,8,"8. Personal data shall be kept intact during the terms provided for in the applicable provisions or, if applicable, in contractual provisions agreed upon between the person in charge or the user of the database and the data owner.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_17_1,art_17,1,"1. Persons in charge or users of public databases may, for reason, deny access, editing or deletion of data to protect the Nation's defense, public order and security, or to protect third party rights or interests.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_17_2,art_17,2,"2. Information about personal data may also be denied by persons in charge, or users, of public databases if it hinders pending judicial or administrative actions related to the investigation of compliance with tax or pension duties, the discharge of health and environmental oversight functions, investigation of crimes and identification of administrative violations. The resolution in force to establish such denial must state the reasons thereof, and notice thereupon shall be served on the party involved.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_17_3,art_17,3,"3. Notwithstanding the provisions of the above subArticles, if the party involved has to exercise the right of defense in a legal proceeding, access to records shall not be forbidden.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_18_single_paragraph,art_18,single paragraph,"The National Defense Committee and the National Congress Bicameral Committee on Oversight of Domestic Security and Intelligence Agencies and Activities, and the House Domestic Security Committee, or any committees that may replace them, shall have access to files or databases referred to in Article 23, subArticle 2, for reason, and with regard to those aspects constituting the subject matter of such Committees competence.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_19_single_paragraph,art_19,single paragraph,"Editing, updating or deletion of inaccurate or incomplete personal data included in public or private records shall be carried out free of charge.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_20_1,art_20,1,1. Court decisions or administrative acts implying an assessment of human conduct shall not be based solely on the results of computer processed personal data that may give a definition of the involved party profile or personality.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_20_2,art_20,2,2. Any acts contrary to the precedent provision shall be null and void.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_21_1,art_21,1,"1. Any public or private file, record, or database intended for reporting purposes shall be recorded with the Registry authorized by the competent authority to such effect.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_21_2,art_21,2,"2. Registration of databases shall comprise, at least, the following information:",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
