dispositivo_id,artigo_id,tipo,rotulo,texto,status,nota_alteracao,parent_id,parent_type,source_document
art_9_par_2,art_9,parágrafo,§ 2º,"§ 2º Na hipótese em que o consentimento é requerido, se houver mudanças da finalidade para o tratamento de dados pessoais não compatíveis com o consentimento original, o controlador deverá informar previamente o titular sobre as mudanças de finalidade, podendo o titular revogar o consentimento, caso discorde das alterações.",vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_par_3,art_9,parágrafo,§ 3º,"§ 3º Quando o tratamento de dados pessoais for condição para o fornecimento de produto ou de serviço ou para o exercício de direito, o titular será informado com destaque sobre esse fato e sobre os meios pelos quais poderá exercer os direitos do titular elencados no art. 18 desta Lei.",vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_10_inc_I,art_10,inciso,I,I - apoio e promoção de atividades do controlador; e,vigente,,art_10,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_10_inc_II,art_10,inciso,II,"II - proteção, em relação ao titular, do exercício regular de seus direitos ou prestação de serviços que o beneficiem, respeitadas as legítimas expectativas dele e os direitos e liberdades fundamentais, nos termos desta Lei.",vigente,,art_10,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_10_par_1,art_10,parágrafo,§ 1º,"§ 1º Quando o tratamento for baseado no legítimo interesse do controlador, somente os dados pessoais estritamente necessários para a finalidade pretendida poderão ser tratados.",vigente,,art_10,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_10_par_2,art_10,parágrafo,§ 2º,§ 2º O controlador deverá adotar medidas para garantir a transparência do tratamento de dados baseado em seu legítimo interesse.,vigente,,art_10,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_10_par_3,art_10,parágrafo,§ 3º,"§ 3º A autoridade nacional poderá solicitar ao controlador relatório de impacto à proteção de dados pessoais, quando o tratamento tiver como fundamento seu interesse legítimo, observados os segredos comercial e industrial.",vigente,,art_10,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_11_inc_I,art_11,inciso,I,"I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas;",vigente,,art_11,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_11_inc_II,art_11,inciso,II,"II - sem fornecimento de consentimento do titular, nas hipóteses em que for indispensável para:",vigente,,art_11,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_11_inc_II_ali_a,art_11,alínea,a),a) cumprimento de obrigação legal ou regulatória pelo controlador;,vigente,,art_11_inc_II,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_11_inc_II_ali_b,art_11,alínea,b),"b) tratamento compartilhado de dados necessários à execução, pela administração pública, de políticas públicas previstas em leis ou regulamentos;",vigente,,art_11_inc_II,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_11_inc_II_ali_c,art_11,alínea,c),"c) realização de estudos por órgão de pesquisa, garantida, sempre que possível, a anonimização dos dados pessoais sensíveis;",vigente,,art_11_inc_II,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_11_inc_II_ali_d,art_11,alínea,d),"d) exercício regular de direitos, inclusive em contrato e em processo judicial, administrativo e arbitral, este último nos termos da Lei nº 9.307, de 23 de setembro de 1996 (Lei de Arbitragem);",vigente,,art_11_inc_II,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
