domain_identifier,control_id
VPM,VPM-05.4
VPM,VPM-05.5
VPM,VPM-05.6
VPM,VPM-05.7
VPM,VPM-05.8
VPM,VPM-06
VPM,VPM-06.1
VPM,VPM-06.2
VPM,VPM-06.3
VPM,VPM-06.4
VPM,VPM-06.5
VPM,VPM-06.6
VPM,VPM-06.7
VPM,VPM-06.8
VPM,VPM-06.9
VPM,VPM-07
VPM,VPM-07.1
VPM,VPM-08
VPM,VPM-09
VPM,VPM-10
WEB,WEB-01
WEB,WEB-01.1
WEB,WEB-02
WEB,WEB-03
WEB,WEB-04
WEB,WEB-05
WEB,WEB-06
WEB,WEB-07
WEB,WEB-08
WEB,WEB-09
WEB,WEB-10
WEB,WEB-11
WEB,WEB-12
WEB,WEB-13
WEB,WEB-14
