citation_id,citation_text,citation_type,code,chapter_or_title,source_document
CIT_M_G_L_c_132B,M.G.L. c. 132B,M.G.L. statute,M.G.L.,c. 132B,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_132B_s_6H,"M.G.L. c. 132B, s. 6H",M.G.L. statute,M.G.L.,c. 132B,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_140_s_145A,"M.G.L. c. 140, s. 145A",M.G.L. statute,M.G.L.,c. 140,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_140_s_32B,M.G.L. c. 140 s. 32B,M.G.L. statute,M.G.L.,c. 140,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_140_s_36,"M.G.L. c. 140, s. 36",M.G.L. statute,M.G.L.,c. 140,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_140_s_51,"M.G.L. c. 140, s. 51",M.G.L. statute,M.G.L.,c. 140,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_149_s_136,"M.G.L. c. 149, s. 136",M.G.L. statute,M.G.L.,c. 149,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_164_s_124A,"M.G.L. c. 164, s. 124A",M.G.L. statute,M.G.L.,c. 164,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_21C_s_4,"M.G.L. c. 21C, s. 4",M.G.L. statute,M.G.L.,c. 21C,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_21_s_43,"M.G.L. c. 21, s. 43",M.G.L. statute,M.G.L.,c. 21,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_270_s_22_M_2,"M.G.L. c. 270, s. 22(M)(2)",M.G.L. statute,M.G.L.,c. 270,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_270_s_22_m_1,"M.G.L. c. 270, s. 22(m)(1)",M.G.L. statute,M.G.L.,c. 270,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_270_s_22_m_3,"M.G.L. c. 270, s. 22(m)(3)",M.G.L. statute,M.G.L.,c. 270,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_40_s_21D,"M.G.L. c. 40, s. 21D",M.G.L. statute,M.G.L.,c. 40,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_40_s_4A,"M.G.L. c. 40, s. 4A",M.G.L. statute,M.G.L.,c. 40,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_41_s_102B,"M.G.L. c. 41, s. 102B",M.G.L. statute,M.G.L.,c. 41,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_41_s_81S_81V,"M.G.L. c. 41, s. 81S-81V",M.G.L. statute,M.G.L.,c. 41,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_46_s_11,"M.G.L. c. 46, s. 11",M.G.L. statute,M.G.L.,c. 46,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_71_s_53,"M.G.L. c. 71, s. 53",M.G.L. statute,M.G.L.,c. 71,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_71_s_55A,"M.G.L. c. 71, s. 55A",M.G.L. statute,M.G.L.,c. 71,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94C_s_27A,"M.G.L. c. 94C, s. 27A",M.G.L. statute,M.G.L.,c. 94C,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_10A,"M.G.L. c. 94, s. 10A",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_10A_10G,"M.G.L. c. 94, s. 10A- 10G",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_118_131,"M.G.L. c. 94, s. 118-131",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_12_63,"M.G.L. c. 94, s. 12-63",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_139B_to_143_146_to_152B,"M.G.L. c. 94 s. 139B to 143, 146 to 152B",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_13E,"M.G.L. c. 94, s. 13E",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_146,"M.G.L. c. 94, s. 146",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_188_189,"M.G.L. c. 94, s. 188-189",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_2_10,"M.G.L. c. 94, s. 2-10",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_33_and_s_40,"M.G.L. c. 94, s. 33 and s. 40",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_48A,"M.G.L. c. 94, s. 48A",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_65G_65U,"M.G.L. c. 94, s. 65G-65U",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_66_72,"M.G.L. c. 94, s. 66-72",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_88D,"M.G.L. c. 94, s. 88D",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_94_s_89_92A,"M.G.L. c. 94, s. 89-92A",M.G.L. statute,M.G.L.,c. 94,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_Massachusetts_Pesticide_Control_Act,the Massachusetts Pesticide Control Act,State act,,,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_Smoke_Free_Workplace_Act,the Smoke-Free Workplace Act,State act,,,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_State_Environmental_Code_Title_I,"State Environmental Code, Title I",State code,,,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_State_Sanitary_Code,State Sanitary Code,State code,,,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_Virginia_Graeme_Baker_Pool_Spa_Safety_Act,The Virginia Graeme Baker Pool & Spa Safety Act,Federal law,,,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_Wendell_v_Attorney_General_394_Mass_518_1985,"Wendell v. Attorney General, 394 Mass 518 (1985)",Case law,,,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
