provision_id,article_number,label,level,text,source_document
ART_13_P17,13,13(17),paragraph,"For the purposes of this Regulation, manufacturers shall designate a single point of contact to enable users to communicate directly and rapidly with them, including in order to facilitate reporting on vulnerabilities of the product with digital elements.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P17_S1,13,13(17) subparagraph 1,subparagraph,Manufacturers shall ensure that the single point of contact is easily identifiable by the users. They shall also include the single point of contact in the information and instructions to the user set out in Annex II.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P17_S2,13,13(17) subparagraph 2,subparagraph,The single point of contact shall allow users to choose their preferred means of communication and shall not limit such means to automated tools.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P18,13,13(18),paragraph,"Manufacturers shall ensure that products with digital elements are accompanied by the information and instructions to the user set out in Annex II, in paper or electronic form. Such information and instructions shall be provided in a language which can be easily understood by users and market surveillance authorities. They shall be clear, understandable, intelligible and legible. They shall allow for the secure installation, operation and use of products with digital elements. Manufacturers shall keep the information and instructions to the user set out in Annex II at the disposal of users and market surveillance authorities for at least 10 years after the product with digital elements has been placed on the market or for the support period, whichever is longer. Where such information and instructions are provided online, manufacturers shall ensure that they are accessible, user-friendly and available online for at least 10 years after the product with digital elements has been placed on the market or for the support period, whichever is longer.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P19,13,13(19),paragraph,"Manufacturers shall ensure that the end date of the support period referred to in paragraph 8, including at least the month and the year, is clearly and understandably specified at the time of purchase in an easily accessible manner and, where applicable, on the product with digital elements, its packaging or by digital means.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P19_S1,13,13(19) subparagraph 1,subparagraph,"Where technically feasible in light of the nature of the product with digital elements, manufacturers shall display a notification to users informing them that their product with digital elements has reached the end of its support period.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P20,13,13(20),paragraph,"Manufacturers shall either provide a copy of the EU declaration of conformity or a simplified EU declaration of conformity with the product with digital elements. Where a simplified EU declaration of conformity is provided, it shall contain the exact internet address at which the full EU declaration of conformity can be accessed.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P21,13,13(21),paragraph,"From the placing on the market and for the support period, manufacturers who know or have reason to believe that the product with digital elements or the processes put in place by the manufacturer are not in conformity with the essential cybersecurity requirements set out in Annex I shall immediately take the corrective measures necessary to bring that product with digital elements or the manufacturer’s processes into conformity, or to withdraw or recall the product, as appropriate.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P22,13,13(22),paragraph,"Manufacturers shall, upon a reasoned request from a market surveillance authority, provide that authority, in a language which can be easily understood by that authority, with all the information and documentation, in paper or electronic form, necessary to demonstrate the conformity of the product with digital elements and of the processes put in place by the manufacturer with the essential cybersecurity requirements set out in Annex I. Manufacturers shall cooperate with that authority, at its request, on any measures taken to eliminate the cybersecurity risks posed by the product with digital elements which they have placed on the market.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P23,13,13(23),paragraph,"A manufacturer that ceases its operations and, as a result, is not able to comply with this Regulation shall inform, before the cessation of operations takes effect, the relevant market surveillance authorities as well as, by any means available and to the extent possible, the users of the relevant products with digital elements placed on the market, of the impending cessation of operations.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P24,13,13(24),paragraph,"The Commission may, by means of implementing acts taking into account European or international standards and best practices, specify the format and elements of the software bill of materials referred to in Part II, point (1), of Annex I. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 62(2).",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13_P25,13,13(25),paragraph,"In order to assess the dependence of Member States and of the Union as a whole on software components and in particular on components qualifying as free and open-source software, ADCO may decide to conduct a Union wide dependency assessment for specific categories of products with digital elements. For that purpose, market surveillance authorities may request manufacturers of such categories of products with digital elements to provide the relevant software bills of materials as referred to in Part II, point (1), of Annex I. On the basis of such information, the market surveillance authorities may provide ADCO with anonymised and aggregated information about software dependencies. ADCO shall submit a report on the results of the dependency assessment to the Cooperation Group established pursuant to Article 14 of Directive (EU) 2022/2555.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P1,14,14(1),paragraph,"A manufacturer shall notify any actively exploited vulnerability contained in the product with digital elements that it becomes aware of simultaneously to the CSIRT designated as coordinator, in accordance with paragraph 7 of this Article, and to ENISA. The manufacturer shall notify that actively exploited vulnerability via the single reporting platform established pursuant to Article 16.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P2,14,14(2),paragraph,"For the purposes of the notification referred to in paragraph 1, the manufacturer shall submit:",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P2_a,14,14(2)(a),point,"an early warning notification of an actively exploited vulnerability, without undue delay and in any event within 24 hours of the manufacturer becoming aware of it, indicating, where applicable, the Member States on the territory of which the manufacturer is aware that their product with digital elements has been made available;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P2_b,14,14(2)(b),point,"unless the relevant information has already been provided, a vulnerability notification, without undue delay and in any event within 72 hours of the manufacturer becoming aware of the actively exploited vulnerability, which shall provide general information, as available, about the product with digital elements concerned, the general nature of the exploit and of the vulnerability concerned as well as any corrective or mitigating measures taken, and corrective or mitigating measures that users can take, and which shall also indicate, where applicable, how sensitive the manufacturer considers the notified information to be;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P2_c,14,14(2)(c),point,"unless the relevant information has already been provided, a final report, no later than 14 days after a corrective or mitigating measure is available, including at least the following:",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P2_c_i,14,14(2)(c)(i),subpoint,"a description of the vulnerability, including its severity and impact;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P2_c_ii,14,14(2)(c)(ii),subpoint,"where available, information concerning any malicious actor that has exploited or that is exploiting the vulnerability;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P2_c_iii,14,14(2)(c)(iii),subpoint,details about the security update or other corrective measures that have been made available to remedy the vulnerability.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P3,14,14(3),paragraph,"A manufacturer shall notify any severe incident having an impact on the security of the product with digital elements that it becomes aware of simultaneously to the CSIRT designated as coordinator, in accordance with paragraph 7 of this Article, and to ENISA. The manufacturer shall notify that incident via the single reporting platform established pursuant to Article 16.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P4,14,14(4),paragraph,"For the purposes of the notification referred to in paragraph 3, the manufacturer shall submit:",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P4_a,14,14(4)(a),point,"an early warning notification of a severe incident having an impact on the security of the product with digital elements, without undue delay and in any event within 24 hours of the manufacturer becoming aware of it, including at least whether the incident is suspected of being caused by unlawful or malicious acts, which shall also indicate, where applicable, the Member States on the territory of which the manufacturer is aware that their product with digital elements has been made available;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P4_b,14,14(4)(b),point,"unless the relevant information has already been provided, an incident notification, without undue delay and in any event within 72 hours of the manufacturer becoming aware of the incident, which shall provide general information, where available, about the nature of the incident, an initial assessment of the incident, as well as any corrective or mitigating measures taken, and corrective or mitigating measures that users can take, and which shall also indicate, where applicable, how sensitive the manufacturer considers the notified information to be;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P4_c,14,14(4)(c),point,"unless the relevant information has already been provided, a final report, within one month after the submission of the incident notification under point (b), including at least the following:",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P4_c_i,14,14(4)(c)(i),subpoint,"a detailed description of the incident, including its severity and impact;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P4_c_ii,14,14(4)(c)(ii),subpoint,the type of threat or root cause that is likely to have triggered the incident;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P4_c_iii,14,14(4)(c)(iii),subpoint,applied and ongoing mitigation measures.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P5,14,14(5),paragraph,"For the purposes of paragraph 3, an incident having an impact on the security of the product with digital elements shall be considered to be severe where:",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P5_a,14,14(5)(a),point,"it negatively affects or is capable of negatively affecting the ability of a product with digital elements to protect the availability, authenticity, integrity or confidentiality of sensitive or important data or functions; or",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P5_b,14,14(5)(b),point,it has led or is capable of leading to the introduction or execution of malicious code in a product with digital elements or in the network and information systems of a user of the product with digital elements.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P6,14,14(6),paragraph,"Where necessary, the CSIRT designated as coordinator initially receiving the notification may request manufacturers to provide an intermediate report on relevant status updates about the actively exploited vulnerability or severe incident having an impact on the security of the product with digital elements.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P7,14,14(7),paragraph,The notifications referred to in paragraphs 1 and 3 of this Article shall be submitted via the single reporting platform referred to in Article 16 using one of the electronic notification end-points referred to in Article 16(1). The notification shall be submitted using the electronic notification end-point of the CSIRT designated as coordinator of the Member State where the manufacturers have their main establishment in the Union and shall be simultaneously accessible to ENISA.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P7_S1,14,14(7) subparagraph 1,subparagraph,"For the purposes of this Regulation, a manufacturer shall be considered to have its main establishment in the Union in the Member State where the decisions related to the cybersecurity of its products with digital elements are predominantly taken. If such a Member State cannot be determined, the main establishment shall be considered to be in the Member State where the manufacturer concerned has the establishment with the highest number of employees in the Union.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P7_S2,14,14(7) subparagraph 2,subparagraph,"Where a manufacturer has no main establishment in the Union, it shall submit the notifications referred to in paragraphs 1 and 3 using the electronic notification end-point of the CSIRT designated as coordinator in the Member State determined pursuant to the following order and based on the information available to the manufacturer:",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P7_a,14,14(7)(a),point,the Member State in which the authorised representative acting on behalf of the manufacturer for the highest number of products with digital elements of that manufacturer is established;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P7_b,14,14(7)(b),point,the Member State in which the importer placing on the market the highest number of products with digital elements of that manufacturer is established;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P7_c,14,14(7)(c),point,the Member State in which the distributor making available on the market the highest number of products with digital elements of that manufacturer is established;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P7_d,14,14(7)(d),point,the Member State in which the highest number of users of products with digital elements of that manufacturer are located.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P7_S3,14,14(7) subparagraph 3,subparagraph,"In relation to the third subparagraph, point (d), a manufacturer may submit notifications related to any subsequent actively exploited vulnerability or severe incident having an impact on the security of the product with digital elements to the same CSIRT designated as coordinator to which it first reported.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P8,14,14(8),paragraph,"After becoming aware of an actively exploited vulnerability or a severe incident having an impact on the security of the product with digital elements, the manufacturer shall inform the impacted users of the product with digital elements, and where appropriate all users, of that vulnerability or incident and, where necessary, of any risk mitigation and corrective measures that the users can deploy to mitigate the impact of that vulnerability or incident, where appropriate in a structured, machine-readable format that is easily automatically processable. Where the manufacturer fails to inform the users of the product with digital elements in a timely manner, the notified CSIRTs designated as coordinators may provide such information to the users when considered to be proportionate and necessary for preventing or mitigating the impact of that vulnerability or incident.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P9,14,14(9),paragraph,"By 11 December 2025, the Commission shall adopt delegated acts in accordance with Article 61 of this Regulation to supplement this Regulation by specifying the terms and conditions for applying the cybersecurity-related grounds in relation to delaying the dissemination of notifications as referred to in Article 16(2) of this Regulation. The Commission shall cooperate with the CSIRTs network established pursuant to Article 15 of Directive (EU) 2022/2555 and ENISA in preparing the draft delegated acts.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14_P10,14,14(10),paragraph,"The Commission may, by means of implementing acts, specify further the format and procedures of the notifications referred to in this Article as well as in Articles 15 and 16. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 62(2). The Commission shall cooperate with the CSIRTs network and ENISA in preparing those draft implementing acts.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_15_P1,15,15(1),paragraph,Manufacturers as well as other natural or legal persons may notify any vulnerability contained in a product with digital elements as well as cyber threats that could affect the risk profile of a product with digital elements on a voluntary basis to a CSIRT designated as coordinator or ENISA.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_15_P2,15,15(2),paragraph,Manufacturers as well as other natural or legal persons may notify any incident having an impact on the security of the product with digital elements as well as near misses that could have resulted in such an incident on a voluntary basis to a CSIRT designated as coordinator or ENISA.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_15_P3,15,15(3),paragraph,The CSIRT designated as coordinator or ENISA shall process the notifications referred to in paragraphs 1 and 2 of this Article in accordance with the procedure laid down in Article 16.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_15_P3_S1,15,15(3) subparagraph 1,subparagraph,The CSIRT designated as coordinator may prioritise the processing of mandatory notifications over voluntary notifications.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_15_P4,15,15(4),paragraph,"Where a natural or legal person other than the manufacturer notifies an actively exploited vulnerability or a severe incident having an impact on the security of a product with digital elements in accordance with paragraph 1 or 2, the CSIRT designated as coordinator shall without undue delay inform the manufacturer.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_15_P5,15,15(5),paragraph,"The CSIRTs designated as coordinators as well as ENISA shall ensure the confidentiality and appropriate protection of the information provided by a notifying natural or legal person. Without prejudice to the prevention, investigation, detection and prosecution of criminal offences, voluntary reporting shall not result in the imposition of any additional obligations upon a notifying natural or legal person to which it would not have been subject had it not submitted the notification.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P1,16,16(1),paragraph,"For the purposes of the notifications referred to in Article 14(1) and (3) and Article 15(1) and (2) and in order to simplify the reporting obligations of manufacturers, a single reporting platform shall be established by ENISA. The day-to-day operations of that single reporting platform shall be managed and maintained by ENISA. The architecture of the single reporting platform shall allow Member States and ENISA to put in place their own electronic notification end-points.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P2,16,16(2),paragraph,"After receiving a notification, the CSIRT designated as coordinator initially receiving the notification shall, without delay, disseminate the notification via the single reporting platform to the CSIRTs designated as coordinators on the territory of which the manufacturer has indicated that the product with digital elements has been made available.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P2_S1,16,16(2) subparagraph 1,subparagraph,"In exceptional circumstances and, in particular, upon request by the manufacturer and in light of the level of sensitivity of the notified information as indicated by the manufacturer under Article 14(2), point (a), of this Regulation, the dissemination of the notification may be delayed based on justified cybersecurity-related grounds for a period of time that is strictly necessary, including where a vulnerability is subject to a coordinated vulnerability disclosure procedure as referred to in Article 12(1) of Directive (EU) 2022/2555. Where a CSIRT decides to withhold a notification, it shall immediately inform ENISA about the decision and provide both a justification for withholding the notification as well as an indication of when it will disseminate the notification in accordance with the dissemination procedure laid down in this paragraph. ENISA may support the CSIRT on the application of cybersecurity-related grounds in relation to delaying the dissemination of the notification.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P2_S2,16,16(2) subparagraph 2,subparagraph,"In particularly exceptional circumstances, where the manufacturer indicates in the notification referred to in Article 14(2), point (b):",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P2_a,16,16(2)(a),point,"that the notified vulnerability has been actively exploited by a malicious actor and, according to the information available, it has been exploited in no other Member State than the one of the CSIRT designated as coordinator to which the manufacturer has notified the vulnerability;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P2_b,16,16(2)(b),point,that any immediate further dissemination of the notified vulnerability would likely result in the supply of information the disclosure of which would be contrary to the essential interests of that Member State; or,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P2_c,16,16(2)(c),point,that the notified vulnerability poses an imminent high cybersecurity risk stemming from the further dissemination;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P2_S3,16,16(2) subparagraph 3,subparagraph,"only the information that a notification was made by the manufacturer, the general information about the product, the information on the general nature of the exploit and the information that security related grounds were raised are to be made available simultaneously to ENISA until the full notification is disseminated to the CSIRTs concerned and ENISA. Where, based on that information, ENISA considers that there is a systemic risk affecting security in the internal market, it shall recommend to the recipient CSIRT that it disseminate the full notification to the other CSIRTs designated as coordinators and to ENISA itself.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P3,16,16(3),paragraph,"After receiving a notification of an actively exploited vulnerability in a product with digital elements or of a severe incident having an impact on the security of a product with digital elements, the CSIRTs designated as coordinators shall provide the market surveillance authorities of their respective Member States with the notified information necessary for the market surveillance authorities to fulfil their obligations under this Regulation.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P4,16,16(4),paragraph,"ENISA shall take appropriate and proportionate technical, operational and organisational measures to manage the risks posed to the security of the single reporting platform and the information submitted or disseminated via the single reporting platform. It shall notify without undue delay any security incident affecting the single reporting platform to the CSIRTs network as well as to the Commission.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P5,16,16(5),paragraph,"ENISA, in cooperation with the CSIRTs network, shall provide and implement specifications on the technical, operational and organisational measures regarding the establishment, maintenance and secure operation of the single reporting platform referred to in paragraph 1, including at least the security arrangements related to the establishment, operation and maintenance of the single reporting platform, as well as the electronic notification end-points set up by the CSIRTs designated as coordinators at national level and ENISA at Union level, including procedural aspects to ensure that, where a notified vulnerability has no corrective or mitigating measures available, information about that vulnerability is shared in line with strict security protocols and on a need-to-know basis.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16_P6,16,16(6),paragraph,"Where a CSIRT designated as coordinator has been made aware of an actively exploited vulnerability as part of a coordinated vulnerability disclosure procedure as referred to in Article 12(1) of Directive (EU) 2022/2555, the CSIRT designated as coordinator initially receiving the notification may delay the dissemination of the relevant notification via the single reporting platform based on justified cybersecurity-related grounds for a period that is no longer than is strictly necessary and until consent for disclosure by the involved coordinated vulnerability disclosure parties is given. That requirement shall not prevent manufacturers from notifying such a vulnerability on a voluntary basis in accordance with the procedure laid down in this Article.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_17_P1,17,17(1),paragraph,"ENISA may submit to the European cyber crisis liaison organisation network (EU-CyCLONe) established under Article 16 of Directive (EU) 2022/2555 information notified pursuant to Article 14(1) and (3) and Article 15(1) and (2) of this Regulation if such information is relevant for the coordinated management of large-scale cybersecurity incidents and crises at an operational level. For the purpose of determining such relevance, ENISA may consider technical analyses performed by the CSIRTs network, where available.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_17_P2,17,17(2),paragraph,"Where public awareness is necessary to prevent or mitigate a severe incident having an impact on the security of the product with digital elements or to handle an ongoing incident, or where disclosure of the incident is otherwise in the public interest, the CSIRT designated as coordinator of the relevant Member State may, after consulting the manufacturer concerned and, where appropriate, in cooperation with ENISA, inform the public about the incident or require the manufacturer to do so.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_17_P3,17,17(3),paragraph,"ENISA, on the basis of the notifications received pursuant to Article 14(1) and (3) and Article 15(1) and (2) of this Regulation, shall prepare, every 24 months, a technical report on emerging trends regarding cybersecurity risks in products with digital elements and submit it to the Cooperation Group established pursuant to Article 14 of Directive (EU) 2022/2555. The first such report shall be submitted within 24 months of the date of application of the obligations laid down in Article 14(1) and (3) of this Regulation. ENISA shall include relevant information from its technical reports in its report on the state of cybersecurity in the Union pursuant to Article 18 of Directive (EU) 2022/2555.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_17_P4,17,17(4),paragraph,The mere act of notification in accordance with Article 14(1) and (3) or Article 15(1) and (2) shall not subject the notifying natural or legal person to increased liability.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_17_P5,17,17(5),paragraph,"After a security update or another form of corrective or mitigating measure is available, ENISA shall, in agreement with the manufacturer of the product with digital elements concerned, add the publicly known vulnerability notified pursuant to Article 14(1) or Article 15(1) of this Regulation to the European vulnerability database established pursuant to Article 12(2) of Directive (EU) 2022/2555.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_17_P6,17,17(6),paragraph,The CSIRTs designated as coordinators shall provide helpdesk support in relation to the reporting obligations pursuant to Article 14 to manufacturers and in particular manufacturers that qualify as microenterprises or as small or medium-sized enterprises.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_18_P1,18,18(1),paragraph,"A manufacturer may, by a written mandate, appoint an authorised representative.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_18_P2,18,18(2),paragraph,"The obligations laid down in Article 13(1) to (11), Article 13(12), first subparagraph, and Article 13(14) shall not form part of the authorised representative’s mandate.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_18_P3,18,18(3),paragraph,An authorised representative shall perform the tasks specified in the mandate received from the manufacturer. The authorised representative shall provide a copy of the mandate to the market surveillance authorities upon request. The mandate shall allow the authorised representative to do at least the following:,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_18_P3_a,18,18(3)(a),point,"keep the EU declaration of conformity referred to in Article 28 and the technical documentation referred to in Article 31 at the disposal of the market surveillance authorities for at least 10 years after the product with digital elements has been placed on the market or for the support period, whichever is longer;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_18_P3_b,18,18(3)(b),point,"further to a reasoned request from a market surveillance authority, provide that authority with all the information and documentation necessary to demonstrate the conformity of the product with digital elements;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_18_P3_c,18,18(3)(c),point,"cooperate with the market surveillance authorities, at their request, on any action taken to eliminate the risks posed by a product with digital elements covered by the authorised representative’s mandate.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P1,19,19(1),paragraph,Importers shall place on the market only products with digital elements that comply with the essential cybersecurity requirements set out in Part I of Annex I and where the processes put in place by the manufacturer comply with the essential cybersecurity requirements set out in Part II of Annex I.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P2,19,19(2),paragraph,"Before placing a product with digital elements on the market, importers shall ensure that:",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P2_a,19,19(2)(a),point,the appropriate conformity assessment procedures as referred to in Article 32 have been carried out by the manufacturer;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P2_b,19,19(2)(b),point,the manufacturer has drawn up the technical documentation;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P2_c,19,19(2)(c),point,the product with digital elements bears the CE marking referred to in Article 30 and is accompanied by the EU declaration of conformity referred to in Article 13(20) and the information and instructions to the user as set out in Annex II in a language which can be easily understood by users and market surveillance authorities;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P2_d,19,19(2)(d),point,"the manufacturer has complied with the requirements set out in Article 13(15), (16) and (19).",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P2_S1,19,19(2) subparagraph 1,subparagraph,"For the purposes of this paragraph, importers shall be able to provide the necessary documents proving the fulfilment of the requirements set out in this Article.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P3,19,19(3),paragraph,"Where an importer considers or has reason to believe that a product with digital elements or the processes put in place by the manufacturer are not in conformity with this Regulation, the importer shall not place the product on the market until that product or the processes put in place by the manufacturer have been brought into conformity with this Regulation. Furthermore, where the product with digital elements presents a significant cybersecurity risk, the importer shall inform the manufacturer and the market surveillance authorities to that effect.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P3_S1,19,19(3) subparagraph 1,subparagraph,"Where an importer has reason to believe that a product with digital elements may present a significant cybersecurity risk in light of non-technical risk factors, the importer shall inform the market surveillance authorities to that effect. Upon receipt of such information, the market surveillance authorities shall follow the procedures referred to in Article 54(2).",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P4,19,19(4),paragraph,"Importers shall indicate their name, registered trade name or registered trademark, the postal address, email address or other digital contact as well as, where applicable, the website at which they can be contacted on the product with digital elements or on its packaging or in a document accompanying the product with digital elements. The contact details shall be in a language easily understood by users and market surveillance authorities.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P5,19,19(5),paragraph,"Importers who know or have reason to believe that a product with digital elements which they have placed on the market is not in conformity with this Regulation shall immediately take the corrective measures necessary to ensure that the product with digital elements is brought into conformity with this Regulation, or to withdraw or recall the product, if appropriate.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P5_S1,19,19(5) subparagraph 1,subparagraph,"Upon becoming aware of a vulnerability in the product with digital elements, importers shall inform the manufacturer without undue delay about that vulnerability. Furthermore, where the product with digital elements presents a significant cybersecurity risk, importers shall immediately inform the market surveillance authorities of the Member States in which they have made the product with digital elements available on the market to that effect, giving details, in particular, of non-compliance and of any corrective measures taken.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P6,19,19(6),paragraph,"Importers shall, for at least 10 years after the product with digital elements has been placed on the market or for the support period, whichever is longer, keep a copy of the EU declaration of conformity at the disposal of the market surveillance authorities and ensure that the technical documentation can be made available to those authorities, upon request.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P7,19,19(7),paragraph,"Importers shall, further to a reasoned request from a market surveillance authority, provide it with all the information and documentation, in paper or electronic form, necessary to demonstrate the conformity of the product with digital elements with the essential cybersecurity requirements set out in Part I of Annex I as well as of the processes put in place by the manufacturer with the essential cybersecurity requirements set out in Part II of Annex I in a language that can be easily understood by that authority. They shall cooperate with that authority, at its request, on any measures taken to eliminate the cybersecurity risks posed by a product with digital elements, which they have placed on the market.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19_P8,19,19(8),paragraph,"Where the importer of a product with digital elements becomes aware that the manufacturer of that product has ceased its operations and, as result, is not able to comply with the obligations laid down in this Regulation, the importer shall inform the relevant market surveillance authorities about this situation, as well as, by any means available and to the extent possible, the users of the products with digital elements placed on the market.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_20_P1,20,20(1),paragraph,"When making a product with digital elements available on the market, distributors shall act with due care in relation to the requirements set out in this Regulation.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_20_P2,20,20(2),paragraph,"Before making a product with digital elements available on the market, distributors shall verify that:",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_20_P2_a,20,20(2)(a),point,the product with digital elements bears the CE marking;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_20_P2_b,20,20(2)(b),point,"the manufacturer and the importer have complied with the obligations set out in Article 13(15), (16), (18), (19) and (20) and Article 19(4), and have provided all necessary documents to the distributor.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_20_P3,20,20(3),paragraph,"Where a distributor considers or has reason to believe, on the basis of information in its possession, that a product with digital elements or the processes put in place by the manufacturer are not in conformity with the essential cybersecurity requirements set out in Annex I, the distributor shall not make the product with digital elements available on the market until that product or the processes put in place by the manufacturer have been brought into conformity with this Regulation. Furthermore, where the product with digital elements poses a significant cybersecurity risk, the distributor shall inform, without undue delay, the manufacturer and the market surveillance authorities to that effect.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_20_P4,20,20(4),paragraph,"Distributors who know or have reason to believe, on the basis of information in their possession, that a product with digital elements, which they have made available on the market, or the processes put in place by its manufacturer are not in conformity with this Regulation shall make sure that the corrective measures necessary to bring that product with digital elements or the processes put in place by its manufacturer into conformity, or to withdraw or recall the product, if appropriate, are taken.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_20_P4_S1,20,20(4) subparagraph 1,subparagraph,"Upon becoming aware of a vulnerability in the product with digital elements, distributors shall inform the manufacturer without undue delay about that vulnerability. Furthermore, where the product with digital elements presents a significant cybersecurity risk, distributors shall immediately inform the market surveillance authorities of the Member States in which they have made the product with digital elements available on the market to that effect, giving details, in particular, of the non-compliance and of any corrective measures taken.",KB 2/Europe/EU Cyber Resilience Act.pdf
