subsection_id,section_id,number,marginal_note,text,amendment_history,source_document
S-27(1),S-27,1,,Any person who has reasonable grounds to believe that a person has contravened or intends to contravene a provision of Division 1 or 1.1 may notify the Commissioner of the particulars of the matter and may request that their identity be kept confidential with respect to the notification.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-27(2),S-27,2,Confidentiality,The Commissioner shall keep confidential the identity of a person who has notified the Commissioner under subsection (1) and to whom an assurance of confidentiality has been provided by the Commissioner.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-27.1(1),S-27.1,1,,"No employer shall dismiss, suspend, demote, discipline, harass or otherwise disadvantage an employee, or deny an employee a benefit of employment, by reason that",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-27.1(2),S-27.1,2,Saving,Nothing in this section impairs any right of an employee either at law or under an employment contract or collective agreement.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-27.1(3),S-27.1,3,Definitions,"In this section, employee includes an independent contractor and employer has a corresponding meaning.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-29(1),S-29,1,,"The administration of this Part shall, every five years after this Part comes into force, be reviewed by the committee of the House of Commons, or of both Houses of Parliament, that may be designated or established by Parliament for that purpose. * [Note: Part 1 in force January 1, 2001, see SI/2000-29.]",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-29(2),S-29,2,Review and report,"The committee shall undertake a review of the provisions and operation of this Part and shall, within a year after the review is undertaken or within any further period that the House of Commons may authorize, submit a report to Parliament that includes a statement of any changes to this Part or its administration that the committee recommends.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-30(1),S-30,1,,"This Part does not apply to any organization in respect of personal information that it collects, uses or discloses within a province whose legislature has the power to regulate the collection, use or disclosure of the information, unless the organization does it in connection with the operation of a federal work, undertaking or business or the organization discloses the information outside the province for consideration.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-30(1.1),S-30,1.1,Application,"This Part does not apply to any organization in respect of personal health information that it collects, uses or discloses.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-30(2),S-30,2,Expiry date *,"Subsection (1) ceases to have effect three years after the day on which this section comes into force. * [Note: Section 30 in force January 1, 2001, see SI/2000-29.]",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-30(2.1),S-30,2.1,Expiry date *,"Subsection (1.1) ceases to have effect one year after the day on which this section comes into force. * [Note: Section 30 in force January 1, 2001, see SI/2000-29.]",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-31(1),S-31,1,,The definitions in this subsection apply in this Part.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-31(2),S-31,2,Designation,"The Governor in Council may, by order, for the purposes of this Part, designate any person, including any member of the Queen’s Privy Council for Canada, or body to be the responsible authority in respect of a provision of a federal law if the Governor in Council is of the opinion that it is appropriate to do so in the circumstances.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-35(1),S-35,1,,"If a provision of an Act of Parliament establishes a form, the responsible authority in respect of that provision may make regulations respecting an electronic form that is substantially the same as the form established in the provision, and the electronic form may be used for the same purposes as the form established in the provision.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-35(2),S-35,2,Statutory manner of filing documents,"If a non-electronic manner of filing a document is set out in a provision of an Act of Parliament, the responsible authority in respect of that provision may make regulations respecting the filing of an electronic version of the document, and an electronic version of the document filed in accordance with those regulations is to be considered as a document filed in accordance with the provision.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-35(3),S-35,3,Statutory manner of submitting information,"If a non-electronic manner of submitting information is set out in a provision of an Act of Parliament, the responsible authority in respect of that provision may make regulations respecting the manner of submitting the information using electronic means, and information submitted in accordance with those regulations is to be considered as information submitted in accordance with the provision.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-35(4),S-35,4,"Authority to prescribe form, etc.","The authority under a federal law to issue, prescribe or in any other manner establish a form, or to establish the manner of filing a document or submitting information, includes the authority to issue, prescribe or establish an electronic form, or to establish an electronic manner of filing the document or submitting information, as the case may be.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-35(5),S-35,5,Meaning of filing,"In this section, filing includes all manner of submitting, regardless of how it is designated.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-48(1),S-48,1,,"Subject to subsection (2), the Governor in Council may, on the recommendation of the Treasury Board, make regulations prescribing technologies or processes for the purpose of the definition secure electronic signature in subsection 31(1).",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-48(2),S-48,2,Characteristics,The Governor in Council may prescribe a technology or process only if the Governor in Council is satisfied that it can be proved that,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-48(3),S-48,3,Effect of amendment or repeal,"An amendment to or repeal of any provision of a regulation made under subsection (1) that has the effect of removing a prescribed technology or process from the regulation does not, by itself, affect the validity of any electronic signature resulting from the use of that technology or process while it was prescribed.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(1),S-50,1,,"For the purposes of sections 41 to 47, the responsible authority in respect of a provision of a federal law may make regulations respecting the application of those sections to the provision.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(2),S-50,2,Contents,"Without restricting the generality of subsection (1), the regulations that may be made may include rules respecting any of the following:",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(3),S-50,3,Minimum rules,"Without restricting the generality of subsection (1), if a provision referred to in any of sections 41 to 47 requires a person to provide another person with a document or information, the rules set out in the regulations respecting the application of that section to the provision may be that",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(4),S-50,4,Incorporation by reference,"Regulations may incorporate by reference the standards or specifications of any government, person or organization, either as they read at a fixed time or as they are amended from time to time.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
