paragraph_id,parent_id,parent_type,level,label,text,amendment_history,source_document
S-7(3)(g),S-7(3),Subsection,paragraph,g,"made to an institution whose functions include the conservation of records of historic or archival importance, and the disclosure is made for the purpose of such conservation;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(h),S-7(3),Subsection,paragraph,h,made after the earlier of,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(h)(i),S-7(3)(h),Paragraph,subparagraph,i,"one hundred years after the record containing the information was created, and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(h)(ii),S-7(3)(h),Paragraph,subparagraph,ii,twenty years after the death of the individual whom the information is about;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(h.1),S-7(3),Subsection,paragraph,h.1,of information that is publicly available and is specified by the regulations; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(h.2),S-7(3),Subsection,paragraph,h.2,"[Repealed, 2015, c. 32, s. 6]",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(i),S-7(3),Subsection,paragraph,i,required by law.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-7.1-electronic-address(a),DEF-7.1-electronic-address,Definition,paragraph,a,an electronic mail account;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-7.1-electronic-address(b),DEF-7.1-electronic-address,Definition,paragraph,b,an instant messaging account; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-7.1-electronic-address(c),DEF-7.1-electronic-address,Definition,paragraph,c,any similar account. (adresse électronique),,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7.1(2)(a),S-7.1(2),Subsection,paragraph,a,"the collection of an individual’s electronic address, if the address is collected by the use of a computer program that is designed or marketed primarily for use in generating or searching for, and collecting, electronic addresses; or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
