clause_id,container_id,parent_clause_id,clause_ref,heading,obligation_type,text,page,source_document
CL-4-R1,CT-4,,4.R1,Requirements,mandatory,"Your organisation must be in control of your user accounts and the access privileges that allow access to your organisational data and services. It’s important to note that this also includes third party accounts – for example, accounts used by your support services. You also need to understand how user accounts authenticate and manage the authentication accordingly.",19,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-R2,CT-4,,4.R2,Requirements,mandatory,This means your organisation must:,19,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-R2a,CT-4,CL-4-R2,4.R2(a),Requirements,mandatory,have in place a process to create and approve user accounts,19,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-R2b,CT-4,CL-4-R2,4.R2(b),Requirements,mandatory,authenticate users with unique credentials before granting access to applications or devices,19,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-R2c,CT-4,CL-4-R2,4.R2(c),Requirements,mandatory,"remove or disable user accounts when they’re no longer required (for example, when a user leaves the organisation or after a defined period of account inactivity)",19,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-R2d,CT-4,CL-4-R2,4.R2(d),Requirements,mandatory,"implement MFA, where available – authentication to cloud services must always use MFA",20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-R2e,CT-4,CL-4-R2,4.R2(e),Requirements,mandatory,"use separate accounts to perform administrative activities only (no emailing, web browsing or other standard user activities that may expose administrative privileges to avoidable risks)",20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-R2f,CT-4,CL-4-R2,4.R2(f),Requirements,mandatory,"remove or disable special access privileges when no longer required (when a member of staff changes role, for example)",20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PL-1,CT-4,,4.PL.1,Passwordless authentication,informative,Passwordless authentication is a method of verifying identity without using traditional passwords.,20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PL-2,CT-4,,4.PL.2,Passwordless authentication,informative,Common examples of passwordless authentication include:,20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PL-2a,CT-4,CL-4-PL-2,4.PL.2(a),Passwordless authentication,informative,Passkeys: Passwordless login technology based on public-key cryptography used to securely authenticate a user. This includes FIDO2 authenticators which are considered as Passkeys. FIDO2 authenticators are regarded as MFA because user authentication is performed. FIDO2 is a set of standards that define cryptographic authentication using public key credentials and protocols to provide more secure alternatives to passwords for accessing online services,20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PL-2b,CT-4,CL-4-PL-2,4.PL.2(b),Passwordless authentication,informative,Biometric authentication: Uses biological traits of the user such as fingerprints or facial features to confirm their identity,20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PL-2c,CT-4,CL-4-PL-2,4.PL.2(c),Passwordless authentication,informative,Security keys or tokens: Physical hardware devices such as USB security keys or smart cards,20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PL-2d,CT-4,CL-4-PL-2,4.PL.2(d),Passwordless authentication,informative,Push notifications: A prompt on a smartphone to approve or deny a login attempt,20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PL-2e,CT-4,CL-4-PL-2,4.PL.2(e),Passwordless authentication,informative,"One-time codes: Temporary codes are sent via email, SMS, or a mobile app",20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PL-3,CT-4,,4.PL.3,Passwordless authentication,informative,"This helps to avoid many of the problems with traditional passwords which can be forgotten, stolen, or brute-forced.",20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-1,CT-4,,4.MFA.1,Multi-factor authentication (MFA),recommended,"As well as providing an extra layer of security for passwords that aren’t protected by the other technical controls, you should always use multi-factor authentication to give administrative accounts extra security, and accounts that are accessible from the internet.",20,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-2,CT-4,,4.MFA.2,Multi-factor authentication (MFA),mandatory,"The password element of the multi-factor authentication approach must have a password length of at least 8 characters, with no maximum length restrictions.",21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-3,CT-4,,4.MFA.3,Multi-factor authentication (MFA),informative,There are four types of additional factor to consider:,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-3a,CT-4,CL-4-MFA-3,4.MFA.3(a),Multi-factor authentication (MFA),informative,a managed/enterprise device,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-3b,CT-4,CL-4-MFA-3,4.MFA.3(b),Multi-factor authentication (MFA),informative,an app on a trusted device,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-3c,CT-4,CL-4-MFA-3,4.MFA.3(c),Multi-factor authentication (MFA),informative,a physically separate token,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-3d,CT-4,CL-4-MFA-3,4.MFA.3(d),Multi-factor authentication (MFA),informative,a known or trusted account,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-4,CT-4,,4.MFA.4,Multi-factor authentication (MFA),recommended,Additional factors should be chosen so that they are usable and accessible. You might need to carry out user testing to decide what is best for your users. For more information see NCSC’s guidance on MFA.,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-MFA-5,CT-4,,4.MFA.5,Multi-factor authentication (MFA),recommended,"Information: SMS is not the most secure type of MFA but still offers a huge advantage over not using any MFA at all. Any multi-factor authentication is better than not having it at all. However, if there are alternatives available that will work for your situation, we recommend you use these instead of SMS.",21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-1,CT-4,,4.PW.1,Password-based authentication,mandatory,All user accounts require the user to authenticate.,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2,CT-4,,4.PW.2,Password-based authentication,recommended,"Where authentication is carried out using a password, you should put in place the following protective measures:",21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2a,CT-4,CL-4-PW-2,4.PW.2(a),Password-based authentication,recommended,Passwords are protected against brute-force password guessing by implementing at least one of:,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2a-i,CT-4,CL-4-PW-2a,4.PW.2(a)(i),Password-based authentication,recommended,multi-factor authentication (see above),21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2a-ii,CT-4,CL-4-PW-2a,4.PW.2(a)(ii),Password-based authentication,recommended,"‘throttling' the rate of attempts, so that the length of time the user must wait between attempts increases with each unsuccessful attempt. You should allow no more than 10 guesses in 5 minutes",21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2a-iii,CT-4,CL-4-PW-2a,4.PW.2(a)(iii),Password-based authentication,recommended,locking devices after no more than 10 unsuccessful attempts,21,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2b,CT-4,CL-4-PW-2,4.PW.2(b),Password-based authentication,recommended,Use technical controls to manage the quality of passwords. This will include one of the following:,22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2b-i,CT-4,CL-4-PW-2b,4.PW.2(b)(i),Password-based authentication,recommended,Using multi-factor authentication (see above),22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2b-ii,CT-4,CL-4-PW-2b,4.PW.2(b)(ii),Password-based authentication,recommended,"A minimum password length of at least 12 characters, with no maximum length restrictions",22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2b-iii,CT-4,CL-4-PW-2b,4.PW.2(b)(iii),Password-based authentication,recommended,"A minimum password length of at least 8 characters, with no maximum length restrictions and use automatic blocking of common passwords using a deny list",22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2c,CT-4,CL-4-PW-2,4.PW.2(c),Password-based authentication,recommended,Support users to choose unique passwords for their work accounts by:,22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2c-i,CT-4,CL-4-PW-2c,4.PW.2(c)(i),Password-based authentication,recommended,"educating people about avoiding common passwords, such as a pet's name, common keyboard patterns or passwords they have used elsewhere. This could include teaching people to use the password generator feature built into some password managers",22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2c-ii,CT-4,CL-4-PW-2c,4.PW.2(c)(ii),Password-based authentication,recommended,encouraging people to choose longer passwords by promoting the use of multiple words (a minimum of three) to create a password (such as the NCSC’s guidance on using three random words),22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2c-iii,CT-4,CL-4-PW-2c,4.PW.2(c)(iii),Password-based authentication,recommended,providing usable secure storage for passwords (for example a password manager or secure locked cabinet) with clear information about how and when it can be used,22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2c-iv,CT-4,CL-4-PW-2c,4.PW.2(c)(iv),Password-based authentication,recommended,not enforcing regular password expiry,22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-2c-v,CT-4,CL-4-PW-2c,4.PW.2(c)(v),Password-based authentication,recommended,not enforcing password complexity requirements,22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-PW-3,CT-4,,4.PW.3,Password-based authentication,recommended,You should also make sure there is an established process in place to change passwords promptly if you know or suspect a password or account has been compromised.,22,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-INTRO-1,CT-5,,5.Intro.1,Introduction,informative,"Malware, such as computer viruses, worms and ransomware, is software that has been written and distributed deliberately to perform malicious actions. Potential sources include: malicious email attachments, downloads (including those from application stores), and direct installation of unauthorised software.",23,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-INTRO-2,CT-5,,5.Intro.2,Introduction,informative,"If a system is infected, your organisation is likely to suffer from problems like malfunctioning systems, data loss, or onward infection that goes unseen until it causes harm elsewhere.",23,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-INTRO-3,CT-5,,5.Intro.3,Introduction,informative,You can largely avoid the potential for harm by: preventing malware from being delivered to devices; preventing malware from running on devices,23,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R1,CT-5,,5.R1,Requirements,mandatory,"You must make sure that a malware protection mechanism is active on all devices in scope. For each device, you must use at least one of the options listed below. In most modern products these options are built into the software supplied. Alternatively, you can purchase products from a third-party provider. In all cases the software must be active, kept up to date in accordance with the vendor’s instructions, and configured to work as detailed below:",23,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R2,CT-5,,5.R2,Anti-malware software,mandatory,"Anti-malware software (option for in scope devices running Windows or MacOS including servers, desktop computers, laptops) If you use anti-malware software to protect your device it must be configured to:",24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R2a,CT-5,CL-5-R2,5.R2(a),Anti-malware software,mandatory,be updated in line with vendor recommendations,24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R2b,CT-5,CL-5-R2,5.R2(b),Anti-malware software,mandatory,prevent malware from running,24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R2c,CT-5,CL-5-R2,5.R2(c),Anti-malware software,mandatory,prevent the execution of malicious code,24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R2d,CT-5,CL-5-R2,5.R2(d),Anti-malware software,mandatory,prevent connections to malicious websites over the internet,24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R3,CT-5,,5.R3,Application allow listing,mandatory,"Application allow listing (option for all in scope devices) Only approved applications, restricted by code signing, are allowed to execute on devices. You must:",24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R3a,CT-5,CL-5-R3,5.R3(a),Application allow listing,mandatory,actively approve such applications before deploying them to devices,24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-5-R3b,CT-5,CL-5-R3,5.R3(b),Application allow listing,mandatory,"maintain a current list of approved applications, users must not be able to install any application that is unsigned or has an invalid signature",24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-F-1,SEC-F-ZT,,F.1,Zero trust and Cyber Essentials,informative,Network architecture is changing. More services are moving to the cloud and use of Software as a Service (SaaS) continues to grow.,24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-F-2,SEC-F-ZT,,F.2,Zero trust and Cyber Essentials,informative,"At the same time, many organisations are embracing flexible working, which means lots of different device types may connect to your systems from many locations. It's also increasingly common for organisations to share data with their partners and guest users, which requires more granular access control policies.",24,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-F-3,SEC-F-ZT,,F.3,Zero trust and Cyber Essentials,informative,Zero trust architecture is designed to cope with these changing conditions by enabling an improved user experience for remote access and data sharing.,25,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-F-4,SEC-F-ZT,,F.4,Zero trust and Cyber Essentials,informative,"A zero trust architecture is an approach to system design where inherent trust in the network is removed. Instead the network is assumed to be hostile, and each access request is verified based on an access policy. Confidence in a request is achieved by building context, which relies on strong authentication, authorisation, device health, and value of the data being accessed.",25,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-F-5,SEC-F-ZT,,F.5,Zero trust and Cyber Essentials,informative,"As organisations move towards zero trust architecture models, we have considered it in this context, and are confident that implementing the technical controls doesn't prevent you using a zero trust architecture as defined by the NCSC guidance.",25,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
