reg_clause_id,reg_article_id,clause_type,label,paragraph_no,parent_clause_id,text,source_document
REG_ART_35_F_II,REG_ART_35,fraction,II,,,Local newspapers or specialized journals when it is proven that the data subjects reside in a particular federative entity or are part of a particular activity;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_35_F_III,REG_ART_35,fraction,III,,,Web site of the data controller;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_35_F_IV,REG_ART_35,fraction,IV,,,"On a hyperlink on an web site of the Institute, set up for this purposes, when the data controller does not have its own web site;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_35_F_V,REG_ART_35,fraction,V,,,Informational posters;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_35_F_VI,REG_ART_35,fraction,VI,,,"Information spots on the radio, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_35_F_VII,REG_ART_35,fraction,VII,,,Other alternative mass communication media.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_36_P1,REG_ART_36,paragraph,,1,,"The personal data processed by the data controller will meet the principle of quality when they are exact, complete, pertinent, correct, and up-to-date as required to comply with the purpose for which they are processed.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_36_P2,REG_ART_36,paragraph,,2,,"Personal data are presumed to comply with quality when they are directly provided by the data subject until he declares and proves otherwise, or the data controller has objective evidence contradicting this.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_36_P3,REG_ART_36,paragraph,,3,,"When the personal data were not obtained directly from the data subject, the data controller must take reasonable measures for it to meet the principle of quality in accordance with the type of personal data and the processing conditions.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_36_P4,REG_ART_36,paragraph,,4,,"The data controller must adopt the mechanisms that it considers necessary to ensure that personal data dealt with are exact, complete, pertinent, correct, and up-to-date so that the truth of the data are not altered and the data subject thereby prejudiced by this.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_37_P1,REG_ART_37,paragraph,,1,,"The preservation periods for personal data may not exceed those necessary to achieve the purposes that justify the processing and shall comply with the law applicable to the subject matter involved and take into account the administrative, accounting, tax, legal, and historical aspects of the information. After the purpose or purposes of processing have been achieved, the data controller must cancel the data in its collection after blocking them for subsequent suppression.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_38_P1,REG_ART_38,paragraph,,1,,"Data controllers must establish and document procedures for the preservation, and if necessary, blockage and suppression of personal data, including periods of preservation thereof, in accordance with the previous Article.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_39_P1,REG_ART_39,paragraph,,1,,"The data controller must show that personal data is preserved, or if applicable, blocked, suppressed, or cancelled in accordance with the periods set out in Article 37 of these Regulations or taking into account a request of the right to cancelation.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_40_P1,REG_ART_40,paragraph,,1,,"Personal data may be processed only to comply with the purpose or purposes set out in the privacy notice, as provided in Article 12 of the Law.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_40_P2,REG_ART_40,paragraph,,2,,"For purposes of the previous paragraph, the purpose or purposes set out in the privacy notice shall be determined, something which will be achieved when with clarity, and without giving rise to confusion and in an objective manner, the purpose for which personal data will be processed is specified.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_41_P1,REG_ART_41,paragraph,,1,,The data controller shall identify and distinguish in the privacy notice between the purposes that give rise to and are necessary for the legal relationship between the data controller and the data subject from those that are not.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_42_P1,REG_ART_42,paragraph,,1,,"The data subject may refuse or revoke his consent, as well as object to the processing of his personal data for purposes different from those that are necessary or that gave rise to the legal relationship between the data controller and the data subject, without this having as a consequence, the termination of the processing for the latter two purposes.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_43_P1,REG_ART_43,paragraph,,1,,The data controller may not carry out processing for different purposes that are not compatible or analogous to those for which the personal data was originally collected and which were mentioned in the privacy notice unless:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_43_F_I,REG_ART_43,fraction,I,,,"A law or regulation explicitly permits it, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_43_F_II,REG_ART_43,fraction,II,,,The data controller has obtained consent for the new processing.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_44_P1,REG_ART_44,paragraph,,1,,"The principle of loyalty establishes the obligation to process personal data giving priority to the protection of the interests of the data subject and the reasonable expectation of privacy, as provided in Article 7 of the Law.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_44_P2,REG_ART_44,paragraph,,2,,Misleading or fraudulent means may not be used to collect and process personal data. It will be considered that the behavior is fraudulent or misleading when:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_44_F_I,REG_ART_44,fraction,I,,,"There is fraud, bad faith or negligence in the information provided to the data subject about the processing;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_44_F_II,REG_ART_44,fraction,II,,,"The reasonable expectation of privacy of the data subject referred to in Article 7 of the Law is violated, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_44_F_III,REG_ART_44,fraction,III,,,The purposes were not established in the privacy notice.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_45_P1,REG_ART_45,paragraph,,1,,"Only personal data that are necessary, appropriate, and relevant in connection with the purposes for which they were obtained may be processed.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_46_P1,REG_ART_46,paragraph,,1,,The data controller must make reasonable efforts to limit the personal data processed to the minimum necessary in accordance with the purpose of the processing taking place.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_47_P1,REG_ART_47,paragraph,,1,,"Pursuant to Articles 6 and 14 of the Law, the data controller has the obligation to protect and be responsible for the processing of personal data found in its custody or in its possession or for those it communicated to a data processor, whether or not the latter is located in Mexico.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_47_P2,REG_ART_47,paragraph,,2,,"To comply with this obligation, the data controller may use standards, best international practices, corporate policies, self-regulation arrangements, or any other mechanism that it determines is adequate for such purpose.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_P1,REG_ART_48,paragraph,,1,,"Pursuant to Article 14 of the Law, the data controller must adopt measures to guarantee the proper processing of personal data, giving priority to the interests of the data subject and the reasonable expectation of privacy.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_P2,REG_ART_48,paragraph,,2,,The measures that may be adopted by the data controller include at least the following:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_I,REG_ART_48,fraction,I,,,Prepare privacy policies and programs that are binding and enforceable within the organization of the data controller;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_II,REG_ART_48,fraction,II,,,"Implement a program of training, updating, and raising the awareness of personnel about obligations in matters of protection of personal data;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_III,REG_ART_48,fraction,III,,,"Establish an internal supervision and monitoring system, as well as external inspections or audits to verify compliance with privacy policies;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_IV,REG_ART_48,fraction,IV,,,Dedicate resources for the implementation of privacy programs and policies;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_V,REG_ART_48,fraction,V,,,"Implement a procedure to deal with the risk to the protection of personal data by the implementation of new products, services, technologies and business models, as well as to mitigate them;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_VI,REG_ART_48,fraction,VI,,,Periodically review the security policies and programs to determine modifications required;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_VII,REG_ART_48,fraction,VII,,,Establish procedures to receive and respond the questions and complaints of data subjects;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_VIII,REG_ART_48,fraction,VIII,,,"Have mechanisms to comply with privacy policies and programs, as well as sanctions for a breach thereof;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_IX,REG_ART_48,fraction,IX,,,"Establish measures to protect personal data, in other words, a group of technical and administrative actions that will allow the data controller to ensure compliance with the principles and obligations established by the Law and these Regulations, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_F_X,REG_ART_48,fraction,X,,,"Establish measures to trace personal data, in other words, actions, measures, and technical procedures that will allow the tracing of personal data while being processed.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_49_P1,REG_ART_49,paragraph,,1,,"The data processor is the individual or corporate body, public or private, not a part of the organization of the data controller, that alone or together with others, processes personal data on behalf of a data controller as a result of a legal relationship linking the same and setting out the scope of service to be provided.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50_P1,REG_ART_50,paragraph,,1,,The data processor shall have the following obligations with respect to the processing carried out on behalf of the data controller:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50_F_I,REG_ART_50,fraction,I,,,Process personal data only according to the instructions of the data controller;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50_F_II,REG_ART_50,fraction,II,,,Not to process personal data for a purpose other than as instructed by the data controller;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50_F_III,REG_ART_50,fraction,III,,,"Implement the security measures required by the Law, these Regulations, and other applicable laws and regulations;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50_F_IV,REG_ART_50,fraction,IV,,,Maintain confidentiality regarding the personal data subject to processing;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50_F_V,REG_ART_50,fraction,V,,,"Eliminate personal data that were processed after the legal relationship with the data controller is concluded or upon instructions of the data controller, provided there is no legal requirement for the preservation of the personal data, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50_F_VI,REG_ART_50,fraction,VI,,,"Not to transfer personal data unless the data controller so determines, the communication arises from subcontracting, or if so required by a competent authority.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50_P2,REG_ART_50,paragraph,,2,,The agreements between the data controller and data processor related to the processing of personal data must be in accordance with the corresponding privacy notice.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_51_P1,REG_ART_51,paragraph,,1,,"The relationship between the data controller and data processor must be established by contract or other legal instrument decided upon by the data controller and that permits its existence, scope, and contents to be proven.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_P1,REG_ART_52,paragraph,,1,,"For the processing of personal data in services, applications, and infrastructure in what is called “cloud computing,” in which the data controller adheres to the same by general contractual conditions or clauses, such services may only be used when the provider:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_I,REG_ART_52,fraction,I,,,Complies at least with the following:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_I_a,REG_ART_52,subparagraph,a,,REG_ART_52_F_I,Has and uses policies to protect personal data similar to the applicable principles and duties set out in the Law and these Regulations;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_I_b,REG_ART_52,subparagraph,b,,REG_ART_52_F_I,Makes transparent subcontracting that involves information about the service which is provided;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_I_c,REG_ART_52,subparagraph,c,,REG_ART_52_F_I,"Abstains from including conditions in providing the service that authorize or permits it to assume the ownership of the information about which the service is provided, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_I_d,REG_ART_52,subparagraph,d,,REG_ART_52_F_I,"Maintains confidentiality with respect to the personal data about which it provides the service, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_II,REG_ART_52,fraction,II,,,Has mechanisms at least for:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_II_a,REG_ART_52,subparagraph,a,,REG_ART_52_F_II,Disclosing changes in its privacy policies or conditions of the service it provides;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_II_b,REG_ART_52,subparagraph,b,,REG_ART_52_F_II,Permitting the data controller to limit the type of processing of personal data about which it provides the service;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_II_c,REG_ART_52,subparagraph,c,,REG_ART_52_F_II,Establishing and maintaining adequate security measures to protect the personal data about which it provides the service;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_II_d,REG_ART_52,subparagraph,d,,REG_ART_52_F_II,"Ensuring the suppression of personal data once the service has been provided to the data controller and that the latter may recover it, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_F_II_e,REG_ART_52,subparagraph,e,,REG_ART_52_F_II,"Impeding access to personal data by those who do not have proper access or in the event of a request duly made by a competent authority, so inform the data controller.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_P2,REG_ART_52,paragraph,,2,,"In any case, the data controller may not use services that do not ensure the proper protection of personal data.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_P3,REG_ART_52,paragraph,,3,,"For purposes of these Regulations, cloud computing shall mean the model for the external provision of computer services on demand that involves the supply of infrastructure, platform, or software distributed in a flexible manner, using virtual procedures, on resources dynamically shared.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52_P4,REG_ART_52,paragraph,,4,,"Regulatory agencies, within the scope of their authority, and assisting the Institute, shall issue guidelines for the proper processing of personal data in what is called “cloud computing.”",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_53_P1,REG_ART_53,paragraph,,1,,National and international transmissions of personal data between a data controller and a data processor need not be informed to the data subject or his consent obtained.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_53_P2,REG_ART_53,paragraph,,2,,"The data processor shall be considered as a data controller, together with its own obligations, when it:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_53_F_I,REG_ART_53,fraction,I,,,"Uses the personal data for a purpose different from that authorized by the data controller, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_53_F_II,REG_ART_53,fraction,II,,,Makes a transfer without complying with the instructions of the data controller.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_53_P3,REG_ART_53,paragraph,,3,,"The data processor will not be held responsible when, at the express indication of the data controller, it transmits the personal data to another data processor designated by the latter, to which it had entrusted the performance of a service, or transfers the personal data to another data controller pursuant to these Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_54_P1,REG_ART_54,paragraph,,1,,Any subcontracting of services by the data processor implying the processing of personal data must be authorized by the data controller and shall be made in the name and on behalf of the latter.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_54_P2,REG_ART_54,paragraph,,2,,"After obtaining authorization, the data processor must formalize the relationship with the subcontractor by contract or other instrument that permits its existence, scope, and contents to be proven.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_54_P3,REG_ART_54,paragraph,,3,,"The subcontracted individual or corporate body will assume the same obligations that are established for the data processor under the Law, these Regulations, and other applicable laws and regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_54_P4,REG_ART_54,paragraph,,4,,The data processor shall have the obligation of proving that the subcontracting was done with the authorization of the data controller.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_55_P1,REG_ART_55,paragraph,,1,,"When the contract or legal instruments that have formalized the relationship between the data controller and the data processor contemplates that the latter may subcontract services, the authorization referred to in the previous Article will be understood to be given through the stipulations in those.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_55_P2,REG_ART_55,paragraph,,2,,"If subcontracting is not contemplated in the contract or legal instruments to which the previous paragraph refers, the data processor must obtain authorization from the data controller prior to subcontracting.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_55_P3,REG_ART_55,paragraph,,3,,"In both cases, the provisions of the previous article must be observed.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_56_P1,REG_ART_56,paragraph,,1,,"Pursuant to Article 9, second paragraph, of the Law, databases containing sensitive personal data may be created only when:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_56_F_I,REG_ART_56,fraction,I,,,The law so requires;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_56_F_II,REG_ART_56,fraction,II,,,"It is justified under Article 4 of the Law, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_56_F_III,REG_ART_56,fraction,III,,,"The data controller requires it for legitimate, concrete purposes in accordance with its explicit activities or purposes.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_57_P1,REG_ART_57,paragraph,,1,,"The data controller, and as applicable, the data processor, must establish and maintain administrative, physical, and if applicable technical, security measures for the protection of personal data pursuant to the Law and this Chapter, regardless of the processing system. For the purposes of this Chapter, security measures mean security control or group of controls to protect personal data.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_57_P2,REG_ART_57,paragraph,,2,,The above is without prejudice to the laws and regulations in force with respect to security issued by the competent authorities in the corresponding sector when they contemplate greater protection for data subjects than that provided in the Law and these Regulations.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_58_P1,REG_ART_58,paragraph,,1,,"Pursuant to Article 65 (III) of the Law, whenever there is a breach of personal data security, the Institute may take into consideration compliance with its recommendations in determining a reduction in a penalty.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_59_P1,REG_ART_59,paragraph,,1,,"To establish and ensure effective security measures, the data controller may take its own security measures or may contract these to an individual or corporate body.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_P1,REG_ART_60,paragraph,,1,,"The data controller shall determine the security measures applicable to personal data, taking into account the following factors:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_F_I,REG_ART_60,fraction,I,,,The inherent risk by type of personal data;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_F_II,REG_ART_60,fraction,II,,,The sensitivity of the personal data processed;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_F_III,REG_ART_60,fraction,III,,,"Technological development, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_F_IV,REG_ART_60,fraction,IV,,,The possible consequences of a violation for the data subjects.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_P2,REG_ART_60,paragraph,,2,,"In addition, the data controller shall try to take the following factors into account:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_L2_F_I,REG_ART_60,fraction,I,,,The number of data subjects;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_L2_F_II,REG_ART_60,fraction,II,,,The vulnerabilities previously encountered in the processing systems;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_L2_F_III,REG_ART_60,fraction,III,,,"The risk as a result of the potential quantitative or qualitative value that the personal data may have to an unauthorized third party having possession of the data, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_60_L2_F_IV,REG_ART_60,fraction,IV,,,Other factors that may have an impact upon the level of risk or which result from other laws or regulations applicable to the data controller.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_P1,REG_ART_61,paragraph,,1,,"In order to establish and maintain the security of personal data, the data controller must take into account the following actions:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_I,REG_ART_61,fraction,I,,,Prepare an inventory of personal data and processing systems;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_II,REG_ART_61,fraction,II,,,Determine the duties and obligations of those who process personal data;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_III,REG_ART_61,fraction,III,,,Have a risk analysis of personal data consisting of identifying dangers and estimating the risks to the personal data;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_IV,REG_ART_61,fraction,IV,,,Establish the security measures applicable to personal data and identify those implemented effectively;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_V,REG_ART_61,fraction,V,,,Analyze the gap between existing security measures and those missing that are necessary for the protection of personal data;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_VI,REG_ART_61,fraction,VI,,,Prepare a work plan for the implementation of the missing security measures arising from the gap analysis;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_VII,REG_ART_61,fraction,VII,,,Carry out reviews and audits;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_VIII,REG_ART_61,fraction,VIII,,,"Train personnel who process personal data, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_F_IX,REG_ART_61,fraction,IX,,,Keep a record of personal data storage media.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_61_P2,REG_ART_61,paragraph,,2,,The data controller shall prepare a document setting out security measures arising from the previous paragraphs.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_62_P1,REG_ART_62,paragraph,,1,,Data controllers must update the document setting out security measures when the following events occur:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_62_F_I,REG_ART_62,fraction,I,,,"Modifications to the security measures or processes are made for their continuous improvement, arising from revisions of the security policy of the data controller;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_62_F_II,REG_ART_62,fraction,II,,,Substantial modifications are made in the processing arising from a change in the level of risk;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_62_F_III,REG_ART_62,fraction,III,,,"Processing systems are violated, as provided in Article 20 of the Law and Article 63 of these Regulations, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_62_F_IV,REG_ART_62,fraction,IV,,,There is an impact upon the personal data other than the above.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_62_P2,REG_ART_62,paragraph,,2,,"In the case of sensitive personal data, the data controller shall review, and if necessary update the security document once a year.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_63_P1,REG_ART_63,paragraph,,1,,Breaches of the security of personal data which occur in each processing phase are:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_63_F_I,REG_ART_63,fraction,I,,,Loss or unauthorized destruction;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_63_F_II,REG_ART_63,fraction,II,,,"Theft, misplacement or unauthorized copying;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_63_F_III,REG_ART_63,fraction,III,,,"Unauthorized use, access or processing, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_63_F_IV,REG_ART_63,fraction,IV,,,"Unauthorized damage, alteration or modification.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_64_P1,REG_ART_64,paragraph,,1,,"The data controller must inform the data subject, without delay, of breaches that significantly prejudice the property or non- pecuniary rights of the data subjects upon confirming the breach and having taken action to trigger an exhaustive review of the magnitude of the breach so that the prejudiced data subjects may take the appropriate measures.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_65_P1,REG_ART_65,paragraph,,1,,The data controller must inform the data subject of at least the following:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_65_F_I,REG_ART_65,fraction,I,,,The nature of the breach;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_65_F_II,REG_ART_65,fraction,II,,,The personal data compromised;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_65_F_III,REG_ART_65,fraction,III,,,Recommendations to the data subject concerning measures that the latter can adopt to protect his interests;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_65_F_IV,REG_ART_65,fraction,IV,,,"Corrective actions implemented immediately, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_65_F_V,REG_ART_65,fraction,V,,,The means by which he may obtain more information in this regard.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_66_P1,REG_ART_66,paragraph,,1,,"In case of a breach of the personal data, the data controller must analyze the causes of its occurrence and implement the corrective, preventive and improvement steps to make the security measures adequate in order to avoid a repetition of the breach.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_67_P1,REG_ART_67,paragraph,,1,,"A transfer refers to the communication of personal data to a person other than the data subject, data controller or data processor, within or outside Mexico.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_68_P1,REG_ART_68,paragraph,,1,,"Any transfer of personal data, whether national or international, is subject to the consent of the data subject, with the exceptions provided in Article 37 of the Law; the data subject must be so informed by a privacy notice and the transfer be limited to the purposes that justify it.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_69_P1,REG_ART_69,paragraph,,1,,"For purposes of demonstrating that the transfer, whether national or international, took place in accordance with the Law and these Regulations, the burden of proof in all cases rests upon the data controller that made the transfer and on the receiver of the personal data.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_70_P1,REG_ART_70,paragraph,,1,,"In the case of transfers of personal data among holding companies, subsidiaries, or affiliates under the common control of the same group as that of the data controller, or to a parent company or to any company belonging to the same group as that of the data controller, the mechanism to ensure that the receiver of the personal data complies with the provisions of the Law, these Regulations, and other applicable laws and regulations, may be the existence of internal rules to protect personal data whose observance is obligatory, provided that these comply with the requirements of the Law, these Regulations, and other applicable laws and regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_71_P1,REG_ART_71,paragraph,,1,,"To carry out a transfer of persona data within Mexico, it shall be necessary for the data controller to comply with the provisions of Article 36 of the Law and Article 68 of these Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_72_P1,REG_ART_72,paragraph,,1,,The receiver of personal data will be subject to the Law and these Regulations as a data controller and shall deal with personal data in accordance with that agreed upon in the privacy notice communicated to it by the transferring data controller.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_73_P1,REG_ART_73,paragraph,,1,,A transfer shall be formalized by a mechanism that allows it to be shown that the transferring data controller communicated to the receiving data controller the conditions under which the data subject consented to the processing of his personal data.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_74_P1,REG_ART_74,paragraph,,1,,"Without prejudice to the provisions of Article 37 of the Law, international transfers of personal data will be possible when the receiver of the personal data assumes the same obligations as those of the data controller transferring the personal data.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_75_P1,REG_ART_75,paragraph,,1,,"For such purposes, a data controller that transfers personal data may use contracts and other legal instruments which contain at least the same obligations as those to which the data controller transferring personal data is subject, as well as the conditions under which the data subject consented to the processing of his personal data.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_76_P1,REG_ART_76,paragraph,,1,,"Data controllers, if considered necessary, may request the opinion of the Institute as to whether an international transfer that they are carrying out complies with the Law and these Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
