source_id,target_id,rel_type,level
s41(4),s41(4)(d),HAS_CLAUSE,paragraph
s41(4),s41(4)(e),HAS_CLAUSE,paragraph
s41(4),s41(4)(f),HAS_CLAUSE,paragraph
s42,s42(1),HAS_CLAUSE,subsection
s42(1),s42(1)(a),HAS_CLAUSE,paragraph
s42(1),s42(1)(b),HAS_CLAUSE,paragraph
s42(1),s42(1)(c),HAS_CLAUSE,paragraph
s42(1),s42(1)(d),HAS_CLAUSE,paragraph
s42,s42(2),HAS_CLAUSE,subsection
s42(2),s42(2)(a),HAS_CLAUSE,paragraph
s42(2),s42(2)(b),HAS_CLAUSE,paragraph
s42,s42(3),HAS_CLAUSE,subsection
s42,s42(4),HAS_CLAUSE,subsection
s43,s43(1),HAS_CLAUSE,subsection
s43(1),s43(1)(a),HAS_CLAUSE,paragraph
s43(1),s43(1)(b),HAS_CLAUSE,paragraph
s43,s43(2),HAS_CLAUSE,subsection
s43,s43(3),HAS_CLAUSE,subsection
s43,s43(4),HAS_CLAUSE,subsection
s43,s43(5),HAS_CLAUSE,subsection
s43(5),s43(5)(a),HAS_CLAUSE,paragraph
s43(5),s43(5)(b),HAS_CLAUSE,paragraph
s43(5),s43(5)(c),HAS_CLAUSE,paragraph
s43(5),s43(5)(d),HAS_CLAUSE,paragraph
s43(5),s43(5)(e),HAS_CLAUSE,paragraph
s43,s43(6),HAS_CLAUSE,subsection
s43,s43(7),HAS_CLAUSE,subsection
s43,s43(8),HAS_CLAUSE,subsection
s43(8),s43(8)(a),HAS_CLAUSE,paragraph
s43(8),s43(8)(b),HAS_CLAUSE,paragraph
s43(8),s43(8)(c),HAS_CLAUSE,paragraph
s45,s45(a),HAS_CLAUSE,paragraph
s45(a),s45(a)(i),HAS_CLAUSE,subparagraph
s45(a),s45(a)(ii),HAS_CLAUSE,subparagraph
s45,s45(b),HAS_CLAUSE,paragraph
s45,s45(c),HAS_CLAUSE,paragraph
s45(c),s45(c)(i),HAS_CLAUSE,subparagraph
s45(c),s45(c)(ii),HAS_CLAUSE,subparagraph
s45(c),s45(c)(iii),HAS_CLAUSE,subparagraph
s46,s46(1),HAS_CLAUSE,subsection
s46(1),s46(1)(a),HAS_CLAUSE,paragraph
s46(1),s46(1)(b),HAS_CLAUSE,paragraph
s46,s46(2),HAS_CLAUSE,subsection
s46(2),s46(2)(a),HAS_CLAUSE,paragraph
s46(2),s46(2)(b),HAS_CLAUSE,paragraph
s47,s47(1),HAS_CLAUSE,subsection
s47,s47(2),HAS_CLAUSE,subsection
s47(2),s47(2)(a),HAS_CLAUSE,paragraph
s47(2),s47(2)(b),HAS_CLAUSE,paragraph
s47(2),s47(2)(c),HAS_CLAUSE,paragraph
s47(2),s47(2)(d),HAS_CLAUSE,paragraph
s47,s47(3),HAS_CLAUSE,subsection
s48,s48(a),HAS_CLAUSE,paragraph
s48,s48(b),HAS_CLAUSE,paragraph
s48,s48(c),HAS_CLAUSE,paragraph
s48(c),s48(c)(i),HAS_CLAUSE,subparagraph
s48(c),s48(c)(ii),HAS_CLAUSE,subparagraph
s48(c),s48(c)(iii),HAS_CLAUSE,subparagraph
s48(c),s48(c)(iv),HAS_CLAUSE,subparagraph
s48(c),s48(c)(v),HAS_CLAUSE,subparagraph
s48(c),s48(c)(vi),HAS_CLAUSE,subparagraph
s49,s49(1),HAS_CLAUSE,subsection
s49,s49(2),HAS_CLAUSE,subsection
s49,s49(3),HAS_CLAUSE,subsection
s51,s51(1),HAS_CLAUSE,subsection
s51,s51(2),HAS_CLAUSE,subsection
s51(2),s51(2)(a),HAS_CLAUSE,paragraph
s51(2),s51(2)(b),HAS_CLAUSE,paragraph
s51(2),s51(2)(c),HAS_CLAUSE,paragraph
s52,s52(1),HAS_CLAUSE,subsection
s52(1),s52(1)(a),HAS_CLAUSE,paragraph
s52(1),s52(1)(b),HAS_CLAUSE,paragraph
s52(1),s52(1)(c),HAS_CLAUSE,paragraph
s52,s52(2),HAS_CLAUSE,subsection
s52,s52(3),HAS_CLAUSE,subsection
s53,s53(1),HAS_CLAUSE,subsection
s53,s53(2),HAS_CLAUSE,subsection
s53,s53(3),HAS_CLAUSE,subsection
s53(3),s53(3)(a),HAS_CLAUSE,paragraph
s53(3),s53(3)(b),HAS_CLAUSE,paragraph
s53,s53(4),HAS_CLAUSE,subsection
s55,s55(1),HAS_CLAUSE,subsection
s55(1),s55(1)(a),HAS_CLAUSE,paragraph
s55(1),s55(1)(b),HAS_CLAUSE,paragraph
s55,s55(2),HAS_CLAUSE,subsection
s56,s56(1),HAS_CLAUSE,subsection
s56,s56(2),HAS_CLAUSE,subsection
s56,s56(3),HAS_CLAUSE,subsection
s56,s56(4),HAS_CLAUSE,subsection
s56,s56(5),HAS_CLAUSE,subsection
s57,s57(1),HAS_CLAUSE,subsection
s57(1),s57(1)(a),HAS_CLAUSE,paragraph
s57(1),s57(1)(b),HAS_CLAUSE,paragraph
s57(1),s57(1)(c),HAS_CLAUSE,paragraph
s57,s57(2),HAS_CLAUSE,subsection
s57,s57(3),HAS_CLAUSE,subsection
s58,s58(1),HAS_CLAUSE,subsection
s58,s58(2),HAS_CLAUSE,subsection
s58(2),s58(2)(a),HAS_CLAUSE,paragraph
s58(2),s58(2)(b),HAS_CLAUSE,paragraph
s58(2),s58(2)(c),HAS_CLAUSE,paragraph
s58(2),s58(2)(d),HAS_CLAUSE,paragraph
s58,s58(3),HAS_CLAUSE,subsection
s61,s61(a),HAS_CLAUSE,paragraph
s61,s61(b),HAS_CLAUSE,paragraph
s61,s61(c),HAS_CLAUSE,paragraph
s61,s61(d),HAS_CLAUSE,paragraph
s62,s62(1),HAS_CLAUSE,subsection
s62,s62(2),HAS_CLAUSE,subsection
s62(2),s62(2)(a),HAS_CLAUSE,paragraph
s62(2),s62(2)(b),HAS_CLAUSE,paragraph
s62(2),s62(2)(c),HAS_CLAUSE,paragraph
s62(2),s62(2)(d),HAS_CLAUSE,paragraph
s62(2),s62(2)(e),HAS_CLAUSE,paragraph
s62(2),s62(2)(f),HAS_CLAUSE,paragraph
s62(2),s62(2)(g),HAS_CLAUSE,paragraph
s62(2),s62(2)(h),HAS_CLAUSE,paragraph
s62(2),s62(2)(i),HAS_CLAUSE,paragraph
