subparagraph_id,article_id,paragraph_id,subparagraph_number,text,source_document
ART_32_P2_SP2,ART_32,ART_32_P2,2,"Personal information files that record the investigation of crimes, indictment and prosecution, punishment, and probation and custody, corrective orders, protective orders, security observation orders, and immigration;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P2_SP3,ART_32,ART_32_P2,3,Personal information files that record the investigations of violations of the Punishment of Tax Offenses Act and the Customs Act;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P2_SP4,ART_32,ART_32_P2,4,Personal information files exclusively used for internal job performance of public institutions;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P2_SP5,ART_32,ART_32_P2,5,Classified personal information files pursuant to other statutes.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32-2_P3_SP1,ART_32-2,ART_32-2_P3,1,Where personal information protection has been certified by fraud or other unjust means;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32-2_P3_SP2,ART_32-2,ART_32-2_P3,2,Where follow-up management provided for in paragraph (4) has been denied or obstructed;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32-2_P3_SP3,ART_32-2,ART_32-2_P3,3,Where the certification criteria provided for in paragraph (8) have not been satisfied;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32-2_P3_SP4,ART_32-2,ART_32-2_P3,4,Where personal information protection-related statutes are breached seriously.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_33_P2_SP1,ART_33,ART_33_P2,1,The number of personal information being processed;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_33_P2_SP2,ART_33,ART_33_P2,2,Whether the personal information is provided to a third party;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_33_P2_SP3,ART_33,ART_33_P2,3,The probability to violate the rights of the data subjects and the degree of risks;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_33_P2_SP4,ART_33,ART_33_P2,4,Other matters prescribed by Presidential Decree.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34_P1_SP1,ART_34,ART_34_P1,1,Particulars of the personal information divulged;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34_P1_SP2,ART_34,ART_34_P1,2,When and how personal information has been divulged;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34_P1_SP3,ART_34,ART_34_P1,3,"Any information about how the data subjects can minimize the risk of damage from divulgence, etc.;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34_P1_SP4,ART_34,ART_34_P1,4,Countermeasures taken by the personal information controller and remedial procedure;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34_P1_SP5,ART_34,ART_34_P1,5,Help desk and contact points for the data subjects to report damage.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34-2_P2_SP1,ART_34-2,ART_34-2_P2,1,Scale of efforts taken to perform the measures necessary to ensure safety under Article 24 (3);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34-2_P2_SP2,ART_34-2,ART_34-2_P2,2,"Status of the resident registration numbers which have been lost, stolen, divulged, forged, altered or damaged;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34-2_P2_SP3,ART_34-2,ART_34-2_P2,3,Fulfillment of subsequent measures to prevent further damage.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35_P4_SP1,ART_35,ART_35_P4,1,Where access is prohibited or limited by Acts;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35_P4_SP2,ART_35,ART_35_P4,2,"Where access may cause damage to the life or body of a third party, or unjustified infringement of property and other interests of any other person;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35_P4_SP3,ART_35,ART_35_P4,3,Where a public institution has grave difficulties in performing any of the following duties:,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_37_P2_SP1,ART_37,ART_37_P2,1,Where special provisions exist in other laws or it is inevitable to observe legal obligations;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_37_P2_SP2,ART_37,ART_37_P2,2,"Where access may cause damage to the life or body of a third party, or unjustified infringement of property and other interests of any other person;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_37_P2_SP3,ART_37,ART_37_P2,3,Where the public institution cannot perform its work as prescribed by any Act without processing the personal information in question;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_37_P2_SP4,ART_37,ART_37_P2,4,"Where it is impracticable to perform a contract such as the provision of services as agreed upon with the said data subject without processing the personal information in question, and the data subject has not clearly expressed the desire to terminate the agreement.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39_P4_SP1,ART_39,ART_39_P4,1,The degree of wrongful intent or expectation of damage;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39_P4_SP2,ART_39,ART_39_P4,2,The amount of loss caused by the violation;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39_P4_SP3,ART_39,ART_39_P4,3,Economic benefits the personal information controller gained in relation to the violation;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39_P4_SP4,ART_39,ART_39_P4,4,A fine and a penalty surcharge to be levied subject to the violation;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39_P4_SP5,ART_39,ART_39_P4,5,"The duration, frequency, etc. of violations;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39_P4_SP6,ART_39,ART_39_P4,6,The property of the personal information controller;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39_P4_SP7,ART_39,ART_39_P4,7,"The personal information controller’s efforts to retrieve the affected personal information after the loss, theft, or divulgence of personal information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39_P4_SP8,ART_39,ART_39_P4,8,The personal information controller’s efforts to remedy damage suffered by the data subject.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-3_P1_SP1,ART_39-3,ART_39-3_P1,1,The purpose of the collection and use of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-3_P1_SP2,ART_39-3,ART_39-3_P1,2,Particulars of personal information to be collected;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-3_P1_SP3,ART_39-3,ART_39-3_P1,3,The period for retaining and using personal information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-3_P2_SP1,ART_39-3,ART_39-3_P2,1,Where the information is necessary in implementing a contract for provision of information and communications services (referring to the information and communications services defined in Article 2,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-3_P1_dup2_SP2,ART_39-3,ART_39-3_P1_dup2,2,Where the information is necessary to calculate fees for the provision of information and communications services;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-3_P1_dup2_SP3,ART_39-3,ART_39-3_P1_dup2,3,Where special provisions exist in other laws.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-4_P1_SP1,ART_39-4,ART_39-4_P1,1,"Particulars of the personal information divulged, etc.;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-4_P1_SP2,ART_39-4,ART_39-4_P1,2,"The time when the personal information has been divulged, etc.;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-4_P1_SP3,ART_39-4,ART_39-4_P1,3,Any measure that users can take;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-4_P1_SP4,ART_39-4,ART_39-4_P1,4,"Countermeasures to be taken by of the information and communications service provider, etc.;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-4_P1_SP5,ART_39-4,ART_39-4_P1,5,Department and contact points to which the user can apply for consultation.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-11_P1_SP1,ART_39-11,ART_39-11_P1,1,Duties of a privacy officer under Article 31;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-11_P1_SP2,ART_39-11,ART_39-11_P1,2,Notification and reporting under Article 39-4;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-11_P1_SP3,ART_39-11,ART_39-11_P1,3,"Submission of related articles, documents, etc. under Article 63 (1).",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-11_P3_SP1,ART_39-11,ART_39-11_P3,1,"Name of the domestic agent (for a corporation, the title and name of the representative);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-11_P3_SP2,ART_39-11,ART_39-11_P3,2,"Address of the domestic agent (for a corporation, location of a business office), telephone number, e- mail address.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-12_P3_SP1,ART_39-12,ART_39-12_P3,1,Particulars of the personal information to be transferred;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-12_P3_SP2,ART_39-12,ART_39-12_P3,2,"The country to which the personal information is transferred, transfer date and method;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-12_P3_SP3,ART_39-12,ART_39-12_P3,3,"Name of the entity to which the personal information is transferred (referring to the name of a corporation and the contact information of the person responsible for the management of information, if the person is a corporation);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-12_P3_SP4,ART_39-12,ART_39-12_P3,4,The purpose of using personal information by the entity to which the information is transferred and the period of retaining and using personal information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P1_SP1,ART_39-15,ART_39-15_P1,1,"Using or providing personal information in violation of Articles 17 (1), 17 (2), 18 (1), 18 (2), and 19 (including applicable cases pursuant to Article 39-14);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P1_SP2,ART_39-15,ART_39-15_P1,2,Collecting personal information of a child aged under 14 without his/her legal representative’s consent in violation of Article 22 (6) (including applicable cases pursuant to Article 39-14);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P1_SP3,ART_39-15,ART_39-15_P1,3,Collecting sensitive information without the user’s consent in violation of Article 23 (1) 1 (including applicable cases pursuant to Article 39-14);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P1_SP4,ART_39-15,ART_39-15_P1,4,"Where it neglects its control, supervision, or education under Article 26 (4) (including where the aforesaid provisions apply mutatis mutandis pursuant to Article 39-14), thereby causing an outsourcee subject to special cases to violate this Act;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P1_SP5,ART_39-15,ART_39-15_P1,5,"Losing, stealing, divulging, forging, altering, or damaging users’ personal information and failing to take measures (excluding matters on the establishment of internal management plan) set forth in Article 29 (including applicable cases pursuant to Article 39-14);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P1_SP6,ART_39-15,ART_39-15_P1,6,Collecting users’ personal information without their consent in violation of Article 39-3 (1) (including applicable cases pursuant to Article 39-14);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P1_SP7,ART_39-15,ART_39-15_P1,7,Providing users’ personal information overseas without their consent in violation of the main clause of Article 39-12 (2) (including applicable cases pursuant to paragraph (5) of the same Article).,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P3_SP1,ART_39-15,ART_39-15_P3,1,Details and degree of the violation;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P3_SP2,ART_39-15,ART_39-15_P3,2,Period and number of the violation;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15_P3_SP3,ART_39-15,ART_39-15_P3,3,Size of profits gained from the violation.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_40_P3_SP1,ART_40,ART_40_P3,1,"Persons who previously served as members of the Senior Executive Service of the central administrative agencies in charge of personal information protection, or persons who presently work or have worked at equivalent positions in the public sector and related organizations, and have job experience in personal information protection;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_40_P3_SP2,ART_40,ART_40_P3,2,Persons who presently serve or have served as associate professors or higher positions in universities or in publicly recognized research institutes;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_40_P3_SP3,ART_40,ART_40_P3,3,"Persons who presently serve or have served as judges, public prosecutors, or attorneys-at-law;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_40_P3_SP4,ART_40,ART_40_P3,4,Persons recommended by data protection-related civic organizations or consumer groups;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_40_P3_SP5,ART_40,ART_40_P3,5,Persons who presently work or have worked as senior officers for the trade associations comprised of personal information controllers.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_42_P1_SP1,ART_42,ART_42_P1,1,The member or his/her current or former spouse is a party to the case or is a joint right holder or a joint obligator with respect to the case;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_42_P1_SP2,ART_42,ART_42_P1,2,The member is or was a relative of a party to the case;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_42_P1_SP3,ART_42,ART_42_P1,3,"The member has given any testimony, expert opinion, or legal advice with respect to the case;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_42_P1_SP4,ART_42,ART_42_P1,4,The member is or was involved in the case as an agent or representative of a party to the case.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_47_P1_SP1,ART_47,ART_47_P1,1,Suspension of the violation to be investigated;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_47_P1_SP2,ART_47,ART_47_P1,2,"Restitution, compensation and other necessary remedies;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_47_P1_SP3,ART_47,ART_47_P1,3,Any measure necessary to prevent recurrence of the identical or similar violations.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP1,ART_51,,1,A consumer group registered with the Fair Trade Commission pursuant to Article 29 of the Framework Act on Consumers that meets all of the following criteria:,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP2,ART_51,,2,"A non-profit, non-governmental organization referred to in Article 2 of the Assistance for Non-Profit, Non-Governmental Organizations Act that meets all of the following criteria:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_54_P1_SP1,ART_54,ART_54_P1,1,Plaintiff and his or her litigation attorney;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_54_P1_SP2,ART_54,ART_54_P1,2,Defendant;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_54_P1_SP3,ART_54,ART_54_P1,3,Detailed violation of the rights of data subjects.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_54_P2_SP1,ART_54,ART_54_P2,1,Materials that prove that the organization which has filed a lawsuit meets all criteria provided for in Article 51;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_54_P2_SP2,ART_54,ART_54_P2,2,Documentary evidence that proves that the personal information controller has rejected the dispute mediation or would not accept the mediation award.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_55_P1_SP1,ART_55,ART_55_P1,1,That the personal information controller has rejected the dispute mediation or would not accept the mediation award;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_55_P1_SP2,ART_55,ART_55_P1,2,That none of the descriptions in the application for permission of lawsuit filed under Article 54 is defective.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_56_SP1,ART_56,,1,"Where, after the judgment became conclusive, new evidence has been found by the State, a local government, or a State or local government-invested institution regarding the said case;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_56_SP2,ART_56,,2,Where the judgment dismissing the lawsuit proves to have been caused intentionally by the plaintiff.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_58_P1_SP1,ART_58,ART_58_P1,1,Personal information collected pursuant to the Statistics Act for processing by public institutions;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_58_P1_SP2,ART_58,ART_58_P1,2,Personal information collected or requested to be provided for the analysis of information related to national security;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_58_P1_SP3,ART_58,ART_58_P1,3,"Personal information processed temporarily where it is urgently necessary for the public safety and security, public health, etc.;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_58_P1_SP4,ART_58,ART_58_P1,4,"Personal information collected or used for its own purposes of reporting by the press, missionary activities by religious organizations, and nomination of candidates by political parties, respectively.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_59_SP1,ART_59,,1,"To acquire personal information or to obtain consent to personal information processing by fraud, improper or unjust means;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_59_SP2,ART_59,,2,"To divulge personal information acquired in the course of business, or to provide it for any third party’s use without authority;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_59_SP3,ART_59,,3,"To damage, destroy, alter, forge, or divulge other’s personal information without legal authority or beyond proper authority.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_60_SP1,ART_60,,1,Affairs of the Protection Commission provided for in Article 8;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_60_SP1-2,ART_60,,1-2,Certification of personal information protection provided for in Article 32-2;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_60_SP2,ART_60,,2,Impact assessments provided for in Article 33;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_60_SP3,ART_60,,3,Dispute mediation of the Dispute Mediation Committee established under Article 40.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_62_P3_SP1,ART_62,ART_62_P3,1,To receive claim reports and provide consultation in relation to personal information processing;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_62_P3_SP2,ART_62,ART_62_P3,2,To investigate and confirm incidents and hear opinions of related parties;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_62_P3_SP3,ART_62,ART_62_P3,3,Duties incidental to subparagraphs 1 and 2.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_63_P1_SP1,ART_63,ART_63_P1,1,Where any violation of this Act is found or suspected;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_63_P1_SP2,ART_63,ART_63_P1,2,Where any violation of this Act is reported or a civil complaint thereon is received;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_63_P1_SP3,ART_63,ART_63_P1,3,In cases prescribed by Presidential Decree where it is necessary to protect the personal information of data subjects.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_64_P1_SP1,ART_64,ART_64_P1,1,To suspend infringement with respect to personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_64_P1_SP2,ART_64,ART_64_P1,2,To temporarily suspend personal information processing;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_64_P1_SP3,ART_64,ART_64_P1,3,Other measures necessary to protect personal information and to prevent personal information infringement.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_67_P2_SP1,ART_67,ART_67_P2,1,Infringement on the rights of data subjects and the status of remedies thereof;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_67_P2_SP2,ART_67,ART_67_P2,2,Results of the survey in relation to the status of personal information processing;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_67_P2_SP3,ART_67,ART_67_P2,3,Status of implementation of the personal information protection policy measures and achievements;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_67_P2_SP4,ART_67,ART_67_P2,4,Global legislative and policy trends regarding personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_67_P2_SP5,ART_67,ART_67_P2,5,"Status of the enactment and amendment of Acts, Presidential Decrees, the National Assembly Regulations, the Supreme Court Regulations, the Constitutional Court Regulations, the National Election Commission Regulations, and the Board of Audit and Inspection Regulations, in relation to processing of resident registration numbers;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_67_P2_SP6,ART_67,ART_67_P2,6,Other matters to be disclosed or reported in relation to the personal information protection policy.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_70_SP1,ART_70,,1,"A person who causes the suspension, paralysis or other severe hardship of work of a public institution by altering or erasing the personal information processed by the public institution for the purpose of disturbing the personal information processing of such public institution;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_70_SP2,ART_70,,2,"A person who obtains any personal information processed by third parties by fraud or other unjust means or methods and provides it to a third party for a profit-making or unjust purpose, and a person who abets or arranges such conduct.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP1,ART_71,,1,"A person who provides personal information to a third party without the consent of a data subject in violation of Article 17 (1) 1 even through Article 17 (1) 2 is not applicable, and a person who knowingly receives such personal information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP2,ART_71,,2,"A person who uses personal information or provides personal information to a third party in violation of Articles 18 (1) and (2) (including where the aforesaid provisions apply mutatis mutandis pursuant to Article 39-14), 19, 26 (5), 27 (3), or 28-2 and a person who knowingly receives such personal information for a profit-making or unfair purpose;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP3,ART_71,,3,A person who processes sensitive information in violation of Article 23 (1);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP4,ART_71,,4,A person who processes personally identifiable information in violation of Article 24 (1);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP4-2,ART_71,,4-2,"A person who processes or provides a third party with pseudonymised information in violation of Article 28-3, and a person who knowingly receives such pseudonymised information for profit-making or unfair purposes;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP4-3,ART_71,,4-3,A person who processes pseudonymised information for the purpose of identifying a certain individual in violation of Article 28-5 (1);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP4-4,ART_71,,4-4,"An information and communications service provider who uses or provides a third party with personal information without taking necessary measures for correction or deletion requests (including necessary measures to be taken in accordance with a request for access, etc. provided for in Article 38 (2)) pursuant to Article 36 (2) (including a person to whom personal information has been transferred from information and communications service provider, etc. pursuant to Article 27 and applicable cases pursuant to Article 39-14);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP4-5,ART_71,,4-5,A person who collects personal information without users’ consent in violation of Article 39-3 (1) (including where the aforesaid provisions apply mutatis mutandis pursuant to Article 39-14);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP4-6,ART_71,,4-6,A person who collects the personal information of children aged under 14 without his or her legal representative’s consent or without confirming whether the legal representative has given consent or not in violation of Article 39-3 (4) (including applicable cases pursuant to Article 39-14);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP5,ART_71,,5,"A person who divulges personal information acquired in the course of business or provides it for any other person's use without authority in violation of subparagraph 2 of Article 59, and a person who knowingly receives such personal information for a profit-making or unfair purposes;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_71_SP6,ART_71,,6,"A person who damages, destroys, alters, forges, or divulges any third party's personal information in violation of subparagraph 3 of Article 59.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_72_SP1,ART_72,,1,"A person who arbitrarily handles visual data processing devices for any purpose other than the purpose for which the device was installed, directs such devices toward different spots, or uses a sound recording function in violation of Article 25 (5);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_72_SP2,ART_72,,2,"A person who acquires personal information or obtains consent to personal information processing by fraud or other unjust means in violation of subparagraph 1 of Article 59, and a person who knowingly receives such personal information for a profit-making or unfair purpose;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_72_SP3,ART_72,,3,"A person who divulges confidential information acquired while performing his or her duties, or uses such information for purposes other than for the purpose of discharging his/her duties in violation of Article 60.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_73_SP1,ART_73,,1,"A person who fails to take necessary measures to ensure safety in violation of Article 23 (2), 24 (3), 25 (6), 28-4 (1), or 29 and causes personal information to be lost, stolen, divulged, forged, altered, or damaged;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_73_SP1-2,ART_73,,1-2,"Information and communications service provider, etc. who fails to destroy personal information in violation of Article 21 (1) (including applicable cases pursuant to Article 39-14);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_73_SP2,ART_73,,2,"A person who fails to take necessary measures to rectify or erase personal information in violation of Article 36 (2), and continuously uses, or provides a third party with, the personal information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_73_SP3,ART_73,,3,"A person who fails to suspend processing of personal information in violation of Article 37 (2), and continuously uses, or provides a third party with, the personal information.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P1_SP1,ART_75,ART_75_P1,1,A person who collects personal information in violation of Article 15 (1);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P1_SP2,ART_75,ART_75_P1,2,A person who fails to obtain the consent of a legal representative in violation of Article 22 (6);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P1_SP3,ART_75,ART_75_P1,3,A person who installs and operates visual data processing devices in violation of Article 25 (2).,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP1,ART_75,ART_75_P2,1,"A person who fails to notify a data subject of necessary information in violation of Article 15 (2), 17 (2), 18 (3), or 26 (3);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP2,ART_75,ART_75_P2,2,A person who denies the provision of goods or services to a data subject in violation of Article 16 (3) or 22 (5);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP3,ART_75,ART_75_P2,3,A person who fails to notify a data subject of the matters provided for in Article 20 (1) or (2) in violation of Article 20 (1) or (2);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP4,ART_75,ART_75_P2,4,"A person who fails to take necessary measures, such as destroying personal information, in violation of Article 21 (1) or Article 39-6 (including applicable cases pursuant to Article 39-14);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP4-2,ART_75,ART_75_P2,4-2,A person who processes resident registration numbers in violation of Article 24-2 (1);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP4-3,ART_75,ART_75_P2,4-3,A person who fails to adopt encryption measures in violation of Article 24-2 (2);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP5,ART_75,ART_75_P2,5,A person who fails to provide a data subject with an alternative method without using his or her resident registration number in violation of Article 24-2 (3);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP6,ART_75,ART_75_P2,6,"A person who fails to take measures necessary to ensure safety in violation of Article 23 (2), 24 (3), 25 (6), 28-4 (1), or 29;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP7,ART_75,ART_75_P2,7,A person who installs and operates visual data processing devices in violation of Article 25 (1);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP7-2,ART_75,ART_75_P2,7-2,"A person who fails to cease the use of, collect or destroy, information which has been generated to identify a certain individual, in violation of Article 28-5 (2);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP7-3,ART_75,ART_75_P2,7-3,"A person who indicates and promotes the certification by fraud despite a failure to obtain such certification, in violation of Article 32-2 (6);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP8,ART_75,ART_75_P2,8,A person who fails to notify a data subject of the facts provided for in Article 34 (1) in violation of the same paragraph;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_75_P2_SP9,ART_75,ART_75_P2,9,"A person who fails to report the results of measures taken, in violation of Article 34 (3);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
