definition_id,term,definition_text,section_number,part_id,source_document
DEF-130.5,Fee or commission,"(a) Fee or commission means, except as provided in paragraph (b) of this section, any loan, gift, donation, or other payment of $1,000 or more made, or offered or agreed to be made directly or indirectly, whether in cash or in kind, and whether or not pursuant to a written contract, which is: (1) To or at the direction of any person, irrespective of nationality, whether or not employed by or affiliated with an applicant, a supplier or a vendor; and (2) For the solicitation or promotion or otherwise to secure the conclusion of a sale of defense articles or defense services to or for the use of the armed forces of a foreign country or international organization. (b) The term fee or commission does not include: (1) A political contribution or a payment excluded by § 130.6 from the definition of political contribution; (2) A normal salary (excluding contingent compensation) established at an annual rate and paid to a regular employee of an applicant, supplier or vendor; (3) General advertising or promotional expenses not directed to any particular sale or purchaser; or (4) Payments made, or offered or agreed to be made, solely for the purchase by an applicant, supplier or vendor of specific goods or technical, operational or advisory services, which payments are not disproportionate in amount with the value of the specific goods or services actually furnished.",130.5,PART-130,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-130.6,Political contribution,"Political contribution means any loan, gift, donation, or other payment of $1,000 or more made, or offered or agreed to be made, directly or indirectly, whether in cash or in kind, which is: (a) To or for the benefit of, or at the direction of, any foreign candidate, committee, political party, political faction, or government or governmental subdivision, or any individual elected, appointed or otherwise designated as an employee or officer thereof; and (b) For the solicitation or promotion or otherwise to secure the conclusion of a sale of defense articles or defense services to or for the use of the armed forces of a foreign country or international organization. Taxes, customs duties, license fees, and other charges required to be paid by applicable law or regulation are not regarded as political contributions.",130.6,PART-130,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-130.7,Supplier,"Supplier means any person who enters into a contract with the Department of Defense for the sale of defense articles or defense services valued in an amount of $500,000 or more under section 22 of the Arms Export Control Act (22 U.S.C. 2762).",130.7,PART-130,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-130.8,Vendor,"(a) Vendor means any distributor or manufacturer who, directly or indirectly, furnishes to an applicant or supplier defense articles valued in an amount of $500,000 or more which are end- items or major components as defined in § 120.45 of this subchapter. It also means any person who, directly or indirectly, furnishes to an applicant or supplier defense articles or services valued in an amount of $500,000 or more when such articles or services are to be delivered (or incorporated in defense articles or defense services to be delivered) to or for the use of the armed forces of a foreign country or international organization under: (1) A sale requiring a license or approval from the Directorate of Defense Trade Controls under this subchapter; or (2) A sale pursuant to a contract with the Department of Defense under section 22 of the Arms Export Control Act (22 U.S.C. 2762). (b) [Reserved]",130.8,PART-130,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-121.0-01,CCL,CCL. See Commerce Control List.,121.0,PART-121,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-121.0-02,Commerce Control List,"Commerce Control List means the Commerce Control List in 15 CFR part 774, supplement no. 1.",121.0,PART-121,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-121.0-03,Department of Defense,Department of Defense means the U.S. Department of Defense.,121.0,PART-121,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-121.0-04,DoD,DoD. See Department of Defense.,121.0,PART-121,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-121.0-05,EAR,EAR means the Export Administration Regulations in 15 CFR parts 730 through 774.,121.0,PART-121,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-121.0-06,ECCN,"ECCN means Export Control Classification Number, the alphanumeric designation used on the CCL. See definition at 15 CFR part 772.",121.0,PART-121,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-121.0-07,Foreign advanced military aircraft,"Foreign advanced military aircraft means an aircraft that is all of the following: 1) Non-U.S.-origin, including foreign derivatives of U.S.-origin aircraft; 2) In development, or entering production, after 2023; and 3) Has one or more of the following advanced military capabilities: (i) An Active Electronically Scanned Array (AESA) fire control radar; (ii) Integrated signature management; (iii) Integrated electronic warfare systems; or (iv) The ability to engage targets beyond visual range (BVR).",121.0,PART-121,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-121.0-08,Gross weight rating,"Gross weight rating means the maximum operating weight, or displacement, of the conveyance, including the fully configured weight of all fuel, fluids (excluding wet ballast open to the operating environment), payloads, other deployables or expendables (e.g., countermeasures, other autonomous commodities, and torpedoes), and cargo.",121.0,PART-121,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
