source_id,target_id,rel_type,next_label,source_document
sra_s5_q14_o2,sra_s5_q15,LEADS_TO,Q15,DTOP-OLD
sra_s5_q14_o3,sra_s5_q15,LEADS_TO,Q15,DTOP-OLD
sra_s5_q15_o1,sra_s5_q16,LEADS_TO,Q16,DTOP-OLD
sra_s5_q15_o2,sra_s5_q16,LEADS_TO,Q16,DTOP-OLD
sra_s5_q15_o3,sra_s5_q16,LEADS_TO,Q16,DTOP-OLD
sra_s5_q16_o1,sra_s5_q17,LEADS_TO,Q17,DTOP-OLD
sra_s5_q16_o2,sra_s5_q17,LEADS_TO,Q17,DTOP-OLD
sra_s5_q16_o3,sra_s5_q17,LEADS_TO,Q17,DTOP-OLD
sra_s5_q16_o4,sra_s5_q17,LEADS_TO,Q17,DTOP-OLD
sra_s5_q16_o5,sra_s5_q17,LEADS_TO,Q17,DTOP-OLD
sra_s5_q17_o1,sra_s5_q18,LEADS_TO,Q18,DTOP-OLD
sra_s5_q17_o2,sra_s5_q18,LEADS_TO,Q18,DTOP-OLD
sra_s5_q17_o3,sra_s5_q18,LEADS_TO,Q18,DTOP-OLD
sra_s5_q18_o1,sra_s5_q19,LEADS_TO,Q19,DTOP-OLD
sra_s5_q18_o2,sra_s5_q19,LEADS_TO,Q19,DTOP-OLD
sra_s5_q18_o3,sra_s5_q19,LEADS_TO,Q19,DTOP-OLD
sra_s5_q19_o1,sra_s5_q20,LEADS_TO,Q20,DTOP-OLD
sra_s5_q19_o2,sra_s5_q20,LEADS_TO,Q20,DTOP-OLD
sra_s5_q19_o3,sra_s5_q20,LEADS_TO,Q20,DTOP-OLD
sra_s5_q19_o4,sra_s5_q20,LEADS_TO,Q20,DTOP-OLD
sra_s5_q19_o5,sra_s5_q20,LEADS_TO,Q20,DTOP-OLD
sra_s5_q19_o6,sra_s5_q20,LEADS_TO,Q20,DTOP-OLD
sra_s5_q20_o1,sra_s5_q21,LEADS_TO,Q21,DTOP-OLD
sra_s5_q20_o2,sra_s5_q21,LEADS_TO,Q21,DTOP-OLD
sra_s5_q20_o3,sra_s5_q21,LEADS_TO,Q21,DTOP-OLD
sra_s5_q21_o1,sra_s5_q22,LEADS_TO,Q22,DTOP-OLD
sra_s5_q21_o2,sra_s5_q22,LEADS_TO,Q22,DTOP-OLD
sra_s5_q21_o3,sra_s5_q22,LEADS_TO,Q22,DTOP-OLD
sra_s5_q21_o4,sra_s5_q22,LEADS_TO,Q22,DTOP-OLD
sra_s5_q22_o1,sra_s5_q23,LEADS_TO,Q23,DTOP-OLD
sra_s5_q22_o2,sra_s5_q23,LEADS_TO,Q23,DTOP-OLD
sra_s6_q1_o1,sra_s6_q2,LEADS_TO,Q2,DTOP-OLD
sra_s6_q1_o2,sra_s6_q2,LEADS_TO,Q2,DTOP-OLD
sra_s6_q1_o3,sra_s6_q2,LEADS_TO,Q2,DTOP-OLD
sra_s6_q2_o1,sra_s6_q3,LEADS_TO,Q3,DTOP-OLD
sra_s6_q2_o2,sra_s6_q3,LEADS_TO,Q3,DTOP-OLD
sra_s6_q2_o3,sra_s6_q3,LEADS_TO,Q3,DTOP-OLD
sra_s6_q3_o1,sra_s6_q4,LEADS_TO,Q4,DTOP-OLD
sra_s6_q3_o2,sra_s6_q4,LEADS_TO,Q4,DTOP-OLD
sra_s6_q3_o3,sra_s6_q4,LEADS_TO,Q4,DTOP-OLD
sra_s6_q3_o4,sra_s6_q4,LEADS_TO,Q4,DTOP-OLD
sra_s6_q4_o1,sra_s6_q5,LEADS_TO,Q5,DTOP-OLD
sra_s6_q4_o2,sra_s6_q5,LEADS_TO,Q5,DTOP-OLD
sra_s6_q4_o3,sra_s6_q5,LEADS_TO,Q5,DTOP-OLD
sra_s6_q5_o1,sra_s6_q6,LEADS_TO,Q6,DTOP-OLD
sra_s6_q5_o2,sra_s6_q6,LEADS_TO,Q6,DTOP-OLD
sra_s6_q5_o3,sra_s6_q6,LEADS_TO,Q6,DTOP-OLD
sra_s6_q6_o1,sra_s6_q7,LEADS_TO,Q7,DTOP-OLD
sra_s6_q6_o2,sra_s6_q7,LEADS_TO,Q7,DTOP-OLD
sra_s6_q6_o3,sra_s6_q7,LEADS_TO,Q7,DTOP-OLD
