clause_id,section_id,clause_label,clause_type,parent_clause_id,text,source_document
s26_5_a,s26,(5)(a),sub-item,s26_5,"preventive medicine or occupational medicine, the assessment of working capacity of the employee, medical diagnosis, the provision of health or social care, medical treatment, the management of health or social care systems and services. In the event that it is not for compliance with the legal obligation, and such Personal Data is under the responsibility of the occupational or profession practitioner or person having the duty to keep such Personal Data as confidential under the law, it must be for compliance with the contract between the data subject and the medical practitioner;",KB 2/Thailand/Personal Data Protection Act.pdf
s26_5_b,s26,(5)(b),sub-item,s26_5,"public interest in public health, such as protecting against cross-border dangerous contagious disease or epidemics which may be contagious or pestilent, or ensuring standards or quality of medicines, medicinal products or medical devices, on the basis that there is a provision of suitable and specific measures to safeguard the rights and freedom of the data subject, in particular maintaining the secrecy of Personal Data in accordance with the duties or professional ethics;",KB 2/Thailand/Personal Data Protection Act.pdf
s26_5_c,s26,(5)(c),sub-item,s26_5,"employment protection, social security, national health security, social health welfare of the entitled person by law, the road accident victims protection, or social protection in which the collection of Personal Data is necessary for exercising the rights or carrying out the obligations of the Data Controller or the data subject, and the suitable measures have been provided to protect the fundamental rights and interest of the data subject;",KB 2/Thailand/Personal Data Protection Act.pdf
s26_5_d,s26,(5)(d),sub-item,s26_5,"it is for the scientific, historical, or statistic research purposes, or other public interests which must be carried out only to the extent necessary to achieve such purposes, and the suitable measures have been provided to protect the fundamental rights and interest of the data subject as prescribed by the Committee; or",KB 2/Thailand/Personal Data Protection Act.pdf
s26_5_e,s26,(5)(e),sub-item,s26_5,"the substantial public interest, and the suitable measures have been provided to protect the fundamental rights and interest of the data subject.",KB 2/Thailand/Personal Data Protection Act.pdf
s26_p2,s26,paragraph two,paragraph,,"The biometric data in paragraph one shall mean the Personal Data arising from the use of technics or technology related to the physical or behavioral dominance of Person, which can be used to identify such Person apart from other Persons, such as the facial recognition data, iris recognition data or fingerprint recognition data.",KB 2/Thailand/Personal Data Protection Act.pdf
s26_p3,s26,paragraph three,paragraph,,"In the case of the collection of the Personal Data relating to criminal record, such collection shall be carried out under the control of authorized official authority under the law, or the data protection measure has been implemented according to rules prescribed by the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s27_p1,s27,paragraph one,paragraph,,"The Data Controller shall not use or disclose Personal Data without the consent of the data subject, unless it is the Personal Data which is collected without requirement of consent under Section 24 or Section 26.",KB 2/Thailand/Personal Data Protection Act.pdf
s27_p2,s27,paragraph two,paragraph,,The Person or juristic person who obtains Personal Data as a result of the disclosure under paragraph one shall not use or disclose such Personal Data for any purpose other than the purpose previously notified to the Data Controller in the request to obtain such Personal Data.,KB 2/Thailand/Personal Data Protection Act.pdf
s27_p3,s27,paragraph three,paragraph,,"In the event that the Data Controller uses or discloses the Personal Data which is exempted from consent requirement in paragraph one, the Data Controller shall maintain a record of such use or disclosure in the record under Section 39.",KB 2/Thailand/Personal Data Protection Act.pdf
s28_p1,s28,paragraph one,paragraph,,"In the event that the Data Controller sends or transfers the Personal Data to a foreign country, the destination country or international organization that receives such Personal Data shall have adequate data protection standard, and shall be carried out in accordance with the rules for the protection of Personal Data as prescribed by the Committee in Section 16(5), except in the following circumstances:",KB 2/Thailand/Personal Data Protection Act.pdf
s28_1,s28,(1),item,s28_p1,where it is for compliance with the law;,KB 2/Thailand/Personal Data Protection Act.pdf
s28_2,s28,(2),item,s28_p1,"where the consent of the data subject has been obtained, provided that the data subject has been informed of the inadequate Personal Data protection standards of the destination country or international organization;",KB 2/Thailand/Personal Data Protection Act.pdf
s28_3,s28,(3),item,s28_p1,"where it is necessary for the performance of a contract to which the data subject is a party, or in order to take steps at the request of the data subject prior to entering into a contract;",KB 2/Thailand/Personal Data Protection Act.pdf
s28_4,s28,(4),item,s28_p1,"where it is for compliance with a contract between the Data Controller, and other Persons or juristic persons for the interests of the data subject;",KB 2/Thailand/Personal Data Protection Act.pdf
s28_5,s28,(5),item,s28_p1,"where it is to prevent or suppress a danger to the life, body, or health of the data subject or other Persons, when the data subject is incapable of giving the consent at such time; or",KB 2/Thailand/Personal Data Protection Act.pdf
s28_6,s28,(6),item,s28_p1,where it is necessary for carrying out the activities in relation to substantial public interest.,KB 2/Thailand/Personal Data Protection Act.pdf
s28_p2,s28,paragraph two,paragraph,,"In the event that there is a problem with regard to the adequacy of Personal Data protection standards of the destination country or international organization, such problem shall be submitted to the Committee to decide. The decision made by the Committee may be reviewed when there is a new evidence convincing that the destination country or international organization that receives such Personal Data has developed adequate Personal Data protection standards.",KB 2/Thailand/Personal Data Protection Act.pdf
s29_p1,s29,paragraph one,paragraph,,"In the event that the Data Controller or the Data Processor who is in the Kingdom of Thailand has put in place a Personal Data protection policy regarding the sending or transferring of Personal Data to another Data Controller or Data Processor who is in a foreign country, and is in the same affiliated business, or is in the same group of undertakings, in order to jointly operate the business or group of undertakings. If such Personal Data protection policy has been reviewed and certified by the Office, the sending or transferring of Personal Data to a foreign country, which is in accordance with such reviewed and certified Personal Data protection policy, can be carried out and shall be exempt from compliance with Section 28.",KB 2/Thailand/Personal Data Protection Act.pdf
s29_p2,s29,paragraph two,paragraph,,"The Personal Data protection policy, the nature of the same affiliated undertaking or affiliated business in order to jointly operate the undertaking or business, and the rules and methods for the review and certification in paragraph one shall be as prescribed and announced by the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s29_p3,s29,paragraph three,paragraph,,"In the absent of a decision by the Committee in accordance with Section 28, or the Personal Data protection policy referred in paragraph one, the Data Controller or the Data Processor may send or transfer the Personal Data to a foreign country in exemption to compliance with Section 28, if the Data Controller or the Data Processor provides suitable protection measures which enable the enforcement of the data subject’s rights, including effective legal remedial measures according to the rules and methods as prescribed and announced by the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s30_p1,s30,paragraph one,paragraph,,"The data subject is entitled to request access to and obtain a copy of the Personal Data related to him or her, which is under the responsibility of the Data Controller, or to request the disclosure of the acquisition of the Personal Data obtained without his or her consent.",KB 2/Thailand/Personal Data Protection Act.pdf
s30_p2,s30,paragraph two,paragraph,,"The Data Controller shall perform as requested in paragraph one. The request can be rejected only where it is permitted by law or pursuant to a court order, and such access and obtaining a copy of the Personal Data would adversely affect the rights and freedoms of others.",KB 2/Thailand/Personal Data Protection Act.pdf
s30_p3,s30,paragraph three,paragraph,,"In the case that the Data Controller rejects the requests in paragraph one, the Data Controller shall record its rejection together with supporting reasons in the record as prescribed in Section 39.",KB 2/Thailand/Personal Data Protection Act.pdf
s30_p4,s30,paragraph four,paragraph,,"When the data subject makes a request as in paragraph one, and such request cannot be rejected based on the reasons in paragraph two, the Data Controller shall fulfill the request without delay, but shall not exceed thirty days from the date of receiving such request.",KB 2/Thailand/Personal Data Protection Act.pdf
s30_p5,s30,paragraph five,paragraph,,"The Committee may prescribe rules for the access to and request to obtain a copy of the Personal Data in paragraph one, including the extension of the period under paragraph four, or other rules as appropriate.",KB 2/Thailand/Personal Data Protection Act.pdf
s31_p1,s31,paragraph one,paragraph,,"The data subject shall have the right to receive the Personal Data concerning him or her from the Data Controller. The Data Controller shall arrange such Personal Data to be in the format which is readable or commonly used by ways of automatic tools or equipment, and can be used or disclosed by automated means. The data subject is also entitled to:",KB 2/Thailand/Personal Data Protection Act.pdf
s31_1,s31,(1),item,s31_p1,request the Data Controller to send or transfer the Personal Data in such formats to other Data Controllers if it can be done by the automatic means;,KB 2/Thailand/Personal Data Protection Act.pdf
s31_2,s31,(2),item,s31_p1,"request to directly obtain the Personal Data in such formats that the Data Controller sends or transfers to other Data Controllers, unless it is impossible to do so because of the technical circumstances.",KB 2/Thailand/Personal Data Protection Act.pdf
s31_p2,s31,paragraph two,paragraph,,"The Personal Data in paragraph one must be the Personal Data that the data subject has given consent for the collection, use, or disclosure of such Personal Data according to the rules under this Act, or the Personal Data that is exempted from consent requirements under Section 24(3), or any other Personal Data referred to under Section 24 as prescribed by the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s31_p3,s31,paragraph three,paragraph,,"The exercise of rights of the data subject in paragraph one shall not apply to the sending or transferring of Personal Data by the Data Controller which is the performance of a task carried out in the public interest, or for compliance with law, or such exercise of rights shall not violate the rights and freedoms of others. In the event that the Data Controller rejects the request by such reasons, the Data Controller shall make a record of such rejection of the request together with reasons in the record as prescribed in Section 39.",KB 2/Thailand/Personal Data Protection Act.pdf
s32_p1,s32,paragraph one,paragraph,,"The data subject has the right to object the collection, use, or disclosure of the Personal Data concerning him or her, at any time, in the following circumstances:",KB 2/Thailand/Personal Data Protection Act.pdf
s32_1,s32,(1),item,s32_p1,"Where the Personal Data is collected with the exemption to consent requirements under Section 24(4) or (5), unless the Data Controller can prove that:",KB 2/Thailand/Personal Data Protection Act.pdf
s32_1_a,s32,(1)(a),sub-item,s32_1,"the collection, use, or disclosure of such Personal Data can be demonstrated by the Data Controller that there is a compelling legitimate ground;",KB 2/Thailand/Personal Data Protection Act.pdf
s32_1_b,s32,(1)(b),sub-item,s32_1,"the collection, use, or disclosure of such Personal Data is carried out for the establishment, compliance or exercise of legal claims, or defense of legal claims;",KB 2/Thailand/Personal Data Protection Act.pdf
s32_2,s32,(2),item,s32_p1,"the collection, use, or disclosure of such Personal Data is for the purpose of direct marketing; or",KB 2/Thailand/Personal Data Protection Act.pdf
s32_3,s32,(3),item,s32_p1,"the collection, use, or disclosure of the Personal Data for the purpose of scientific, historical or statistic research, unless it is necessary to performance of a task carried out for reasons of public interest by the Data Controller.",KB 2/Thailand/Personal Data Protection Act.pdf
s32_p2,s32,paragraph two,paragraph,,"In the event that the data subject exercises his or her right to object in paragraph one, the Data Controller shall no longer be able to collect, use, or disclose such Personal Data. And the Data Controller shall immediately distinguish such personal data clearly from the other matters at the time when the data subject gives the notice of objection to the Data Controller.",KB 2/Thailand/Personal Data Protection Act.pdf
s32_p3,s32,paragraph three,paragraph,,"In the event that the Data Controller rejects the objection by the reasons in (1) (a) or (b) or (3), the Data Controller shall record such rejection of objection request together with reasons in the record as prescribed in Section 39.",KB 2/Thailand/Personal Data Protection Act.pdf
s33_p1,s33,paragraph one,paragraph,,"The data subject shall have the right to request the Data Controller to erase or destroy the Personal Data, or anonymize the Personal Data to become the anonymous data which can not identify the data subject, where the following ground applies:",KB 2/Thailand/Personal Data Protection Act.pdf
s33_1,s33,(1),item,s33_p1,"the Personal Data is no longer necessary in relation to the purposes for which it was collected, used or disclosed;",KB 2/Thailand/Personal Data Protection Act.pdf
s33_2,s33,(2),item,s33_p1,"the data subject withdraws consent on which the collection, use, or disclosure is based on, and where the Data Controller has no legal ground for such collection, use, or disclosure;",KB 2/Thailand/Personal Data Protection Act.pdf
s33_3,s33,(3),item,s33_p1,"the data subject objects to the collection, use, or disclosure of the Personal Data referred in Section 32(1), and the Data Controller can not reject to such request as referred in Section 32(1) (a) or (b), or where the data subject exercise his or her right to object as referred in Section 32(2); or",KB 2/Thailand/Personal Data Protection Act.pdf
s33_4,s33,(4),item,s33_p1,"the Personal Data have been unlawfully collected, used, or disclosed under this Chapter.",KB 2/Thailand/Personal Data Protection Act.pdf
s33_p2,s33,paragraph two,paragraph,,"Paragraph one shall not apply to the extent that such Personal Data retention is necessary for the purpose of freedom of expression, the purpose under Section 24(1) or (4) or Section 26(5)(a) or (b), the purpose of establishment, compliance or exercise of legal claims, or defense of legal claims, or the purpose for compliance with the law.",KB 2/Thailand/Personal Data Protection Act.pdf
s33_p3,s33,paragraph three,paragraph,,"Where the Data Controller has made the Personal Data public and is requested to erase or destroy the Personal Data, or make the Personal Data become the anonymous data which can not identify the data subject pursuant to paragraph one, the Data Controller shall be responsible for the course of action, both the implementation of technology and the expenses to fulfil the request, and inform other Data Controllers in order to obtain their responses regarding the action to be taken to fulfil such request.",KB 2/Thailand/Personal Data Protection Act.pdf
s33_p4,s33,paragraph four,paragraph,,"In the event that the Data Controller does not take action in accordance with paragraph one or three, the data subject shall have the right to complain to expert committee to order the Data Controller to take such action.",KB 2/Thailand/Personal Data Protection Act.pdf
s33_p5,s33,paragraph five,paragraph,,"The Committee may announce the rules for the erasure or destruction of Personal Data, or anonymization of the Personal Data to become the anonymous data which can not identify the data subject pursuant to paragraph one.",KB 2/Thailand/Personal Data Protection Act.pdf
s34_p1,s34,paragraph one,paragraph,,"The data subject shall have the right to request the Data Controller to restrict the use of the Personal Data, where the following applies:",KB 2/Thailand/Personal Data Protection Act.pdf
s34_1,s34,(1),item,s34_p1,when the Data Controller is pending examination process in accordance with the data subject's request pursuant to Section 36;,KB 2/Thailand/Personal Data Protection Act.pdf
s34_2,s34,(2),item,s34_p1,"when it is the Personal Data which shall be erased or destroyed pursuant to Section 33 (4), but the data subject requests the restriction of the use of such Personal Data instead.",KB 2/Thailand/Personal Data Protection Act.pdf
s34_3,s34,(3),item,s34_p1,"when it is no longer necessary to retain such Personal Data for the purposes of such collection, but the data subject has necessity to request for further retention for the purposes of the establishment, compliance or exercise of legal claims, or defense of legal claims;",KB 2/Thailand/Personal Data Protection Act.pdf
s34_4,s34,(4),item,s34_p1,"when the Data Controller is pending verification with regard to Section 32 (1), or pending examination with regard to Section 32 (3) in order to reject the objection request made by the data subject in accordance to Section 32 paragraph three.",KB 2/Thailand/Personal Data Protection Act.pdf
s34_p2,s34,paragraph two,paragraph,,"In the event that the Data Controller does not take action in accordance with paragraph one, the data subject shall have the right to complain to expert committee to order the Data Controller to take such action.",KB 2/Thailand/Personal Data Protection Act.pdf
s34_p3,s34,paragraph three,paragraph,,The Committee may prescribe and announce rules regarding the suspension of use in accordance with paragraph one.,KB 2/Thailand/Personal Data Protection Act.pdf
s35_p1,s35,paragraph one,paragraph,,"The Data Controller shall ensure that the Personal Data remains accurate, up-to-date, complete, and not misleading.",KB 2/Thailand/Personal Data Protection Act.pdf
s36_p1,s36,paragraph one,paragraph,,"In the case where the data subject requests the Data Controller to act in compliance with Section 35, if the Data Controller does not take action regarding the request of the data subject, the Data Controller shall record such request of the data subject together with reasons, in the record as prescribed in Section 39.",KB 2/Thailand/Personal Data Protection Act.pdf
s36_p2,s36,paragraph two,paragraph,,The provisions of Section 34 paragraph two shall apply mutatis mutandis.,KB 2/Thailand/Personal Data Protection Act.pdf
s37_p1,s37,paragraph one,paragraph,,The Data Controller shall have the following duties:,KB 2/Thailand/Personal Data Protection Act.pdf
s37_1,s37,(1),item,s37_p1,"provide appropriate security measures for preventing the unauthorized or unlawful loss, access to, use, alteration, correction or disclosure of Personal Data, and such measures must be reviewed when it is necessary, or when the technology has changed in order to efficiently maintain the appropriate security and safety. It shall also be in accordance with the minimum standard specified and announced by the Committee;",KB 2/Thailand/Personal Data Protection Act.pdf
s37_2,s37,(2),item,s37_p1,"in the circumstance where the Personal Data is to be provided to other Persons or legal persons, apart from the Data Controller, the Data Controller shall take action to prevent such person from using or disclosing such Personal Data unlawfully or without authorization;",KB 2/Thailand/Personal Data Protection Act.pdf
s37_3,s37,(3),item,s37_p1,"put in place the examination system for erasure or destruction of the Personal Data when the retention period ends, or when the Personal Data is irrelevant or beyond the purpose necessary for which it has been collected, or when the data subject has request to do so, or when the data subject withdraws consent, except where the retention of such Personal Data is for the purpose of freedom of expression, the purpose under Section 24(1) or (4) or Section 26 (5) (a) or (b), the purpose of the establishment, compliance or exercise of legal claims, or defense of legal claims, or the purpose of compliance with the law. The provision in Section 33 paragraph five shall be used to govern the erasure or destruction of Personal Data mutatis mutandis.",KB 2/Thailand/Personal Data Protection Act.pdf
s37_4,s37,(4),item,s37_p1,"notify the Office of any Personal Data breach without delay and, where feasible, within 72 hours after having become aware of it, unless such Personal Data breach is unlikely to result in a risk to the rights and freedoms of the Persons. If the Personal Data breach is likely to result in a high risk to the rights and freedoms of the Persons, the Data Controller shall also notify the Personal Data breach and the remedial measures to the data subject without delay. The notification and the exemption to the notification shall be made in accordance with the rules and procedures set forth by the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s37_5,s37,(5),item,s37_p1,"in the event of being the Data Controller pursuant to Section 5 paragraph two, the Data Controller shall designate in writing a representative of the Data Controller who must be in the Kingdom of Thailand and be authorized to act on behalf of the Data Controller without any limitation of liability with respect to the collection, use or disclosure of the Personal Data according to the purposes of the Data Controller.",KB 2/Thailand/Personal Data Protection Act.pdf
s38_p1,s38,paragraph one,paragraph,,The provisions of the representative designation in Section 37(5) shall not apply to the following Data Controller:,KB 2/Thailand/Personal Data Protection Act.pdf
s38_1,s38,(1),item,s38_p1,"the Data Controller which is a public authority as prescribed and announced by the Committee,",KB 2/Thailand/Personal Data Protection Act.pdf
s38_2,s38,(2),item,s38_p1,"the Data Controller which engages in the profession or business of collecting, using, or disclosing Personal Data, that does not have the nature pursuant to Section 26, and does not have a large amount of Personal Data as prescribed by the Committee in Section 41 (2).",KB 2/Thailand/Personal Data Protection Act.pdf
s38_p2,s38,paragraph two,paragraph,,"In the event that the Data Controller in Section 5 paragraph two has a Data Processor, the provisions of Section 37 (5) and the provisions in paragraph one shall apply to such Data Processor mutatis mutandis.",KB 2/Thailand/Personal Data Protection Act.pdf
s39_p1,s39,paragraph one,paragraph,,"The Data Controller shall maintain, at least, the following records in order to enable the data subject and the Office to check upon, which can be either in a written or electronic form:",KB 2/Thailand/Personal Data Protection Act.pdf
s39_1,s39,(1),item,s39_p1,the collected Personal Data;,KB 2/Thailand/Personal Data Protection Act.pdf
s39_2,s39,(2),item,s39_p1,the purpose of the collection of the Personal Data in each category;,KB 2/Thailand/Personal Data Protection Act.pdf
s39_3,s39,(3),item,s39_p1,details of the Data Controller;,KB 2/Thailand/Personal Data Protection Act.pdf
s39_4,s39,(4),item,s39_p1,the retention period of the Personal Data;,KB 2/Thailand/Personal Data Protection Act.pdf
s39_5,s39,(5),item,s39_p1,"rights and methods for access to the Personal Data, including the conditions regarding the Person having the right to access the Personal Data and the conditions to access such Personal Data;",KB 2/Thailand/Personal Data Protection Act.pdf
s39_6,s39,(6),item,s39_p1,the use or disclosure under Section 27 paragraph three;,KB 2/Thailand/Personal Data Protection Act.pdf
s39_7,s39,(7),item,s39_p1,"the rejection of request or objection according to Section 30 paragraph three, Section 31 paragraph three, Section 32 paragraph three, and Section 36 paragraph one; and",KB 2/Thailand/Personal Data Protection Act.pdf
s39_8,s39,(8),item,s39_p1,details of the appropriate security measures pursuant to Section 37 (1).,KB 2/Thailand/Personal Data Protection Act.pdf
s39_p2,s39,paragraph two,paragraph,,The provisions in paragraph one shall apply to the representative of the Data Controller under Section 5 paragraph two mutatis mutandis.,KB 2/Thailand/Personal Data Protection Act.pdf
s39_p3,s39,paragraph three,paragraph,,"The provisions in (1) (2) (3) (4) (5) (6) and (8) may not apply to the Data Controller who is a small organization pursuant to the rules as prescribed by the Committee, unless the collection, use, or disclosure of such Personal Data is likely to result in a risk to the rights and freedoms of data subjects, or not a business where the collection, use, or disclosure of the Personal Data is occasional, or involving in the collection, use, or disclosure of the Personal Data pursuant to Section 26.",KB 2/Thailand/Personal Data Protection Act.pdf
s40_p1,s40,paragraph one,paragraph,,The Personal Data Processor shall have the following duties:,KB 2/Thailand/Personal Data Protection Act.pdf
s40_1,s40,(1),item,s40_p1,"carry out the activities related to the collection, use or disclosure of Personal Data only pursuant to the instruction given by the Data Controller, except where such instruction is contrary to the law or any provisions regarding Personal Data protection under this Act;",KB 2/Thailand/Personal Data Protection Act.pdf
s40_2,s40,(2),item,s40_p1,"provide appropriate security measures for preventing unauthorized or illegal loss, access to, use, alteration, correction or disclosure, of Personal Data, and notify the Data Controller of the Personal Data breach that occurred; and",KB 2/Thailand/Personal Data Protection Act.pdf
s40_3,s40,(3),item,s40_p1,prepare and maintain records of personal data processing activities in accordance with the rules and methods set forth by the Committee.,KB 2/Thailand/Personal Data Protection Act.pdf
s40_p2,s40,paragraph two,paragraph,,"The Data Processor, who fails to comply with (1) for the collection, use, or disclosure of the Personal Data, shall be regarded as the Data Controller for the collection, use or disclosure of such Personal Data.",KB 2/Thailand/Personal Data Protection Act.pdf
s40_p3,s40,paragraph three,paragraph,,"In carrying out the activities in accordance with the Data Processor's obligations as assigned by the Data Controller under paragraph one, the Data Controller shall prepare an agreement between the parties to control the activities carried out by the Data Processor to be in accordance with the Data Processor's obligations for compliance with this Act.",KB 2/Thailand/Personal Data Protection Act.pdf
s40_p4,s40,paragraph four,paragraph,,"The provisions in (3) may not apply to the Data Processor who is a small organization pursuant to the rules as prescribed by the Committee, unless the collection, use, or disclosure of such Personal Data is likely to result in a risk to the rights and freedoms of data subjects, or not a business where the collection, use, or disclosure of the Personal Data is occasional, or involving in the collection, use, or disclosure of the Personal Data pursuant to Section 26.",KB 2/Thailand/Personal Data Protection Act.pdf
s41_p1,s41,paragraph one,paragraph,,The Data Controller and the Data Processor shall designate a data protection officer in the following circumstances:,KB 2/Thailand/Personal Data Protection Act.pdf
s41_1,s41,(1),item,s41_p1,the Data Controller or the Data Processor is a public authority as prescribed and announced by the Committee;,KB 2/Thailand/Personal Data Protection Act.pdf
s41_2,s41,(2),item,s41_p1,"the activities of the Data Controller or the Data Processor in the collection, use, or disclosure of the Personal Data require a regular monitoring of the Personal Data or the system, by the reason of having a large number of Personal Data as prescribed and announced by the Committee; or",KB 2/Thailand/Personal Data Protection Act.pdf
s41_3,s41,(3),item,s41_p1,"the core activity of the Data Controller or the Data Processor is the collection, use or disclosure of the Personal Data according to Section 26.",KB 2/Thailand/Personal Data Protection Act.pdf
s41_p2,s41,paragraph two,paragraph,,"In the event that the Data Controller or the Data Processor are in the same affiliated business or are in the same group of undertakings, in order to jointly operate the business or group of undertakings as prescribed and announced by the Committee according to Section 29 paragraph two, such Data Controller or Data Processor may jointly designate a data protection officer. In this regard, each establishment of the Data Controller or the Data Processor in the same affiliated business or in the same group of undertakings must be able to easily contact the data protection officer.",KB 2/Thailand/Personal Data Protection Act.pdf
s41_p3,s41,paragraph three,paragraph,,The provisions in paragraph two shall apply to the Data Controller or the Data Processor who is a public authority in (1) that is large in size or has several establishments mutatis mutandis.,KB 2/Thailand/Personal Data Protection Act.pdf
s41_p4,s41,paragraph four,paragraph,,"In the event that the Data Controller or the Data Processor in paragraph one has to designate the representative according to Section 37 (5), the provisions in paragraph one shall apply to the representative mutatis mutandis.",KB 2/Thailand/Personal Data Protection Act.pdf
s41_p5,s41,paragraph five,paragraph,,"The Data Controller and the Data Processor shall have an obligation to inform the information of the data protection officer, contact address and contact channels to the data subject and the Office. The data subject shall be able to contact the data protection officer with respect to the collection, use or disclosure of the Personal Data and the exercise of rights of the data subject under this Act.",KB 2/Thailand/Personal Data Protection Act.pdf
s41_p6,s41,paragraph six,paragraph,,The Committee may prescribe and announce the qualifications of the data protection officer by taking into account the knowledge or expertise with respect to the Personal Data protection.,KB 2/Thailand/Personal Data Protection Act.pdf
s41_p7,s41,paragraph seven,paragraph,,"The personal data protection officer may be a staff of the Data Controller or the Data Processor, or a service provider under the contract with the Data Controller or the Data Processor.",KB 2/Thailand/Personal Data Protection Act.pdf
s42_p1,s42,paragraph one,paragraph,,The data protection officer shall have the following duties:,KB 2/Thailand/Personal Data Protection Act.pdf
s42_1,s42,(1),item,s42_p1,"give advices to the Data Controller or the Data Processor, including the employees or service providers of the Data Controller or of the Data Processor with respect to compliance with this Act;",KB 2/Thailand/Personal Data Protection Act.pdf
s42_2,s42,(2),item,s42_p1,"investigate the performance of the Data Controller or the Data Processor, including the employees or service providers of the Data Controller or of the Data Processor with respect to the collection, use or disclosure of the Personal Data for compliance with this Act;",KB 2/Thailand/Personal Data Protection Act.pdf
s42_3,s42,(3),item,s42_p1,"coordinate and cooperate with the Office in the circumstance where there are problems with respect to the collection, use or disclosure of the Personal Data undertaken by the Data Controller or the Data Processor, including the employees or service providers of the Data Controller or of the Data Processor with respect to the compliance with this Act; and",KB 2/Thailand/Personal Data Protection Act.pdf
s42_4,s42,(4),item,s42_p1,keep confidential the Personal Data known or acquired in the course of his or her performance of duty under this Act.,KB 2/Thailand/Personal Data Protection Act.pdf
s42_p2,s42,paragraph two,paragraph,,"The Data Controller or the Data Processor shall support the data protection officer in performing the tasks by providing adequate tools or equipment, as well as facilitate the access to the Personal Data in order to perform the duties.",KB 2/Thailand/Personal Data Protection Act.pdf
s42_p3,s42,paragraph three,paragraph,,"The Data Controller or the Data Processor shall not dismiss or terminate the data protection officer’s employment by the reason that the data protection officer performs his or her duties under this Act. In the event that there is any problem when performing the duties, the data protection officer must be able to directly report to the highest management person of the Data Controller or the Data Processor.",KB 2/Thailand/Personal Data Protection Act.pdf
s42_p4,s42,paragraph four,paragraph,,The data protection officer may be able to perform other duties or tasks but the Data Controller or the Data Processor must warrant to the Office that such duties or tasks are not against or contrary to the performance of the duties under this Act.,KB 2/Thailand/Personal Data Protection Act.pdf
s43_p1,s43,paragraph one,paragraph,,"There shall be an Office of the Personal Data Protection Committee, whose objectives are to protect Personal Data, encourage and support the country’s development regarding Personal Data protection.",KB 2/Thailand/Personal Data Protection Act.pdf
s43_p2,s43,paragraph two,paragraph,,"The Office shall act as a government agency, with the status of a juristic person. The Office shall not be deemed a public sector under the law on administrative organization of the state, or a state enterprise under the law on budget procedures or other laws.",KB 2/Thailand/Personal Data Protection Act.pdf
s43_p3,s43,paragraph three,paragraph,,"The Office’s operation shall not be governed by the laws on labor protection, labor relations, state enterprise labor relations, social security, and workmen’s compensation. However, the staff and employees of the Office shall be entitled to compensation at the rate not less than the rate stipulated by the laws on labor protection, social security, and workmen’s compensation.",KB 2/Thailand/Personal Data Protection Act.pdf
s43_p4,s43,paragraph four,paragraph,,The Office shall be deemed a government agency under the law on tort liability of government official.,KB 2/Thailand/Personal Data Protection Act.pdf
s44_p1,s44,paragraph one,paragraph,,"In addition to the Office’s duty to carry out its operations to achieve the objectives as set out in Section 43 paragraph one, the Office shall have the duty to perform academic and administrative tasks for the Committee, the commission supervising the Office of Personal Data Protection Committee, the expert committee, and the sub-committee. The Office shall also have the following duties and power:",KB 2/Thailand/Personal Data Protection Act.pdf
s44_1,s44,(1),item,s44_p1,"To draft the master plan on the operation for the promotion and protection of Personal Data, which are coherent with national policies, national strategies and relevant national plans, and to draft the master plan and corrective measures regarding the difficulties in carrying out such national level policies, strategies and plans in order to propose to the Committee;",KB 2/Thailand/Personal Data Protection Act.pdf
s44_2,s44,(2),item,s44_p1,To promote and support the research for the development of technology relating to the protection of Personal Data;,KB 2/Thailand/Personal Data Protection Act.pdf
s44_3,s44,(3),item,s44_p1,"To analyze and verify the compliance with and accuracy of the standards or measures, or the supervision mechanism in connection with Personal Data protection, as well as to review and certify the Personal Data protection policy according to Section 29;",KB 2/Thailand/Personal Data Protection Act.pdf
s44_4,s44,(4),item,s44_p1,"To conduct surveys, collect information, and follow the latest updates and trends on Personal Data protection, as well as to conduct analysis and research on Personal Data protection issues that affect the country’s development, to propose to the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s44_5,s44,(5),item,s44_p1,"To liaise with the public sector, state enterprises, local government administration, public organizations, or other organizations of the country regarding Personal Data protection;",KB 2/Thailand/Personal Data Protection Act.pdf
s44_6,s44,(6),item,s44_p1,To provide consultations to government agency and private agency in acting in compliance with this Act;,KB 2/Thailand/Personal Data Protection Act.pdf
s44_7,s44,(7),item,s44_p1,"To act as the center to provide academic services or services related to Personal Data protection to the government agency, private agencies, and the public, including to promote and provide knowledge and understanding regarding Personal Data protection;",KB 2/Thailand/Personal Data Protection Act.pdf
s44_8,s44,(8),item,s44_p1,"To establish course outlines and provide training of the performance of the Data Controller, Data Processor, data protection officer, employees, service providers, or the people in general;",KB 2/Thailand/Personal Data Protection Act.pdf
s44_9,s44,(9),item,s44_p1,"To enter into agreements and cooperate with organizations or agencies both domestic and international, in the matters relating to the Office’s operation carried out under the Office’s duties and power, upon obtaining the approval from the Committee;",KB 2/Thailand/Personal Data Protection Act.pdf
