criterion_id,area_id,title,section_number,source_document
PI-02,PI,Contractual Agreements for the Provision of Data,5.10,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PI-03,PI,Secure Deletion of Data,5.10,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-01,DEV,Policies for the Development/Procurement of System Components,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-02,DEV,Outsourcing of the Development,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-03,DEV,Policies for Changes to System Components,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-04,DEV,"Safety Training and Awareness Programme Regarding Continuous Software Delivery and Associated Systems, Components or Tools",5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-05,DEV,Design Documentation for Security Features,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-06,DEV,"Risk Assessment, Categorisation and Prioritisation of Changes",5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-07,DEV,Testing Changes,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-08,DEV,Logging of Changes,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-09,DEV,Version Control,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-10,DEV,Approvals for Provision in the Production Environment,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-11,DEV,Protection of Development and Test Environments,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-12,DEV,Separation of Environments,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-13,DEV,Transparency about Software Components,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-14,DEV,Secure Use of Third Party Hardware and Software,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEV-15,DEV,Exceptions to the Change Management Process,5.11,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SSO-01,SSO,Policies and Procedures for Controlling and Monitoring Service Organisations,5.12,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SSO-02,SSO,Risk Assessment of Service Organisations,5.12,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SSO-03,SSO,Data Processing of Service Organisations,5.12,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SSO-04,SSO,Directory of Service Organisations,5.12,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SSO-05,SSO,Monitoring of Compliance with Requirements,5.12,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SSO-06,SSO,Contract Termination Strategy for Service Organisations,5.12,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SSO-07,SSO,Ensuring Transparency within Service Organisations,5.12,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SSO-08,SSO,Controlling Exchanges with Suppliers of Functional Components,5.12,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SIM-01,SIM,Policy for Security Incident Management,5.13,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SIM-02,SIM,Security Incident Response Plans,5.13,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SIM-03,SIM,Processing of Security Incidents,5.13,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SIM-04,SIM,Documentation and Reporting of Security Incidents,5.13,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SIM-05,SIM,Duty of the Personnel to Report Security Incidents to a Central Body,5.13,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SIM-06,SIM,Evaluation and Learning Process,5.13,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
BCM-01,BCM,Business Continuity and Emergency Management System,5.14,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
BCM-02,BCM,Business Impact Analysis,5.14,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
BCM-03,BCM,Business Continuity Plans,5.14,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
BCM-04,BCM,Testing Business Continuity,5.14,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
COM-01,COM,"Identification of Applicable Legal, Regulatory, Self-imposed or Contractual Requirements",5.15,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
COM-02,COM,Policy for Planning and Conducting Audits,5.15,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
COM-03,COM,Internal Audits of the Information Security Management System,5.15,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
COM-04,COM,Information on Information Security Performance and Management Assessment of the ISMS,5.15,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
INQ-01,INQ,Legal Assessment of Investigation Requests,5.16,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
INQ-02,INQ,Informing Cloud Service Customers about Investigation Requests,5.16,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
INQ-03,INQ,Limiting Access to or Disclosure of Data in Investigation Requests,5.16,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
INQ-04,INQ,Communication of Technical Procedures for Data Disclosure in Investigation Requests,5.16,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-01,PSS,Guidelines and Recommendations for Cloud Service Customers,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-02,PSS,Identification of Vulnerabilities of the Cloud Service,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-03,PSS,Informing Customers about Known Vulnerabilities,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-04,PSS,Error handling and Logging Mechanisms,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-05,PSS,Authentication Mechanisms,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-06,PSS,Session Management,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-07,PSS,Confidentiality of Authentication Information,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-08,PSS,Roles and Rights Framework,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-09,PSS,Authorisation Mechanisms,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-10,PSS,Software Defined Networking,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-11,PSS,Images for Virtual Machines and Containers,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
PSS-12,PSS,Region of Data Processing and Storage,5.17,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
