letter_id,parent_paragraph_id,article_id,article_number,paragraph_number,letter,citation,text,source_document
art_39_p1_c,art_39_p1,art_39,39,1,c,Art. 39 para. 1 let. c,the recipient only transmits the data to third parties with the consent of the federal body that disclosed the data; and,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_39_p1_d,art_39_p1,art_39,39,1,d,Art. 39 para. 1 let. d,the results are only published in such a manner that the data subjects are not identifiable.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p1_a,art_41_p1,art_41,41,1,a,Art. 41 para. 1 let. a,stop the unlawful processing of the personal data concerned;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p1_b,art_41_p1,art_41,41,1,b,Art. 41 para. 1 let. b,redress the consequences of unlawful processing;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p1_c,art_41_p1,art_41,41,1,c,Art. 41 para. 1 let. c,declare the processing to be unlawful.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p2_a,art_41_p2,art_41,41,2,a,Art. 41 para. 2 let. a,"correct, delete or destroy the personal data concerned;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p2_b,art_41_p2,art_41,41,2,b,Art. 41 para. 2 let. b,"communicate its decision, in particular about correcting, deleting or destroying personal data, the objection against the disclosure under Article 37 or marking data as disputed under paragraph 4, to third parties or publish the decision.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p3_a,art_41_p3,art_41,41,3,a,Art. 41 para. 3 let. a,the data subject disputes the accuracy of the personal data and neither its accuracy nor its inaccuracy can be established;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p3_b,art_41_p3,art_41,41,3,b,Art. 41 para. 3 let. b,the overriding interests of third parties so require;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p3_c,art_41_p3,art_41,41,3,c,Art. 41 para. 3 let. c,"an overriding public interest, in particular Switzerland's internal or external security, so requires;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p3_d,art_41_p3,art_41,41,3,d,Art. 41 para. 3 let. d,"deleting or destroying the data may jeopardise an enquiry, an investigation or an administrative or judicial procedure.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_44_p3_a,art_44_p3,art_44,44,3,a,Art. 44 para. 3 let. a,has wilfully or through gross negligence committed a serious violation of his or her official duties; or,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_44_p3_b,art_44_p3,art_44,44,3,b,Art. 44 para. 3 let. b,has permanently lost the capacity to carry out his or her official duties.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_50_p1_a,art_50_p1,art_50,50,1,a,Art. 50 para. 1 let. a,"access to all information, documents, records of processing activities and personal data that are required for the investigation;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_50_p1_b,art_50_p1,art_50,50,1,b,Art. 50 para. 1 let. b,access to premises and installations;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_50_p1_c,art_50_p1,art_50,50,1,c,Art. 50 para. 1 let. c,questioning of witnesses;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_50_p1_d,art_50_p1,art_50,50,1,d,Art. 50 para. 1 let. d,appraisals by experts.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_51_p3_a,art_51_p3,art_51,51,3,a,Art. 51 para. 3 let. a,provide him or her with information in accordance with Articles 16 paragraph 2 letters b and c and 17 paragraph 2;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_51_p3_b,art_51_p3,art_51,51,3,b,Art. 51 para. 3 let. b,take the measures in accordance with Articles 7 and 8;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_51_p3_c,art_51_p3,art_51,51,3,c,Art. 51 para. 3 let. c,inform the data subjects in accordance with Articles 19 and 21;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_51_p3_d,art_51_p3,art_51,51,3,d,Art. 51 para. 3 let. d,conduct a data protection impact assessment in accordance with Article 22;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_51_p3_e,art_51_p3,art_51,51,3,e,Art. 51 para. 3 let. e,consult him or her in accordance with Article 23;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_51_p3_f,art_51_p3,art_51,51,3,f,Art. 51 para. 3 let. f,"provide him or her or, if applicable, the data subject with information in accordance with Article 24;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_51_p3_g,art_51_p3,art_51,51,3,g,Art. 51 para. 3 let. g,provide the data subject with the information specified in Article 25.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_54_p2_a,art_54_p2,art_54,54,2,a,Art. 54 para. 2 let. a,the authorities responsible for data protection in Switzerland;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_54_p2_b,art_54_p2,art_54,54,2,b,Art. 54 para. 2 let. b,"the competent prosecution authorities, where the matter relates to an offence reported under Article 65 paragraph 2;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_54_p2_c,art_54_p2,art_54,54,2,c,Art. 54 para. 2 let. c,the federal authorities and the cantonal and communal police for the implementation of measures in accordance with Articles 50 paragraph 3 and 51.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p1_a,art_55_p1,art_55,55,1,a,Art. 55 para. 1 let. a,Reciprocity with regard to administrative assistance is guaranteed.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p1_b,art_55_p1,art_55,55,1,b,Art. 55 para. 1 let. b,The information and personal data are used only in the proceedings related to data protection that are the subject of the request for administrative assistance.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p1_c,art_55_p1,art_55,55,1,c,Art. 55 para. 1 let. c,The recipient authority undertakes to preserve professional secrecy as well as trade and manufacturing secrecy.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p1_d,art_55_p1,art_55,55,1,d,Art. 55 para. 1 let. d,The information and personal data are only disclosed to third parties if the authority that provided them gives its approval beforehand.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p1_e,art_55_p1,art_55,55,1,e,Art. 55 para. 1 let. e,The recipient authority undertakes to comply with the requirements and restrictions imposed by the authority that provided the information and personal data.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p2_a,art_55_p2,art_55,55,2,a,Art. 55 para. 2 let. a,"the identity of the controller, of the processor or of other third parties involved;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p2_b,art_55_p2,art_55,55,2,b,Art. 55 para. 2 let. b,the categories of data subjects;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p2_c,art_55_p2,art_55,55,2,c,Art. 55 para. 2 let. c,"the identity the data subjects, provided:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p2_d,art_55_p2,art_55,55,2,d,Art. 55 para. 2 let. d,processed personal data or categories of processed personal data;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p2_e,art_55_p2,art_55,55,2,e,Art. 55 para. 2 let. e,the purpose of processing;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p2_f,art_55_p2,art_55,55,2,f,Art. 55 para. 2 let. f,the recipients or the categories of recipients;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p2_g,art_55_p2,art_55,55,2,g,Art. 55 para. 2 let. g,technical and organisational measures.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_58_p1_a,art_58_p1,art_58,58,1,a,Art. 58 para. 1 let. a,"It shall inform, train and advise federal bodies and private persons on data protection matters.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_58_p1_b,art_58_p1,art_58,58,1,b,Art. 58 para. 1 let. b,It shall support the cantonal bodies and work with Swiss and foreign authorities that are responsible for data protection.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_58_p1_c,art_58_p1,art_58,58,1,c,Art. 58 para. 1 let. c,"It shall raise public awareness, and in particular that of persons in need of protection, in relation to data protection.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_58_p1_d,art_58_p1,art_58,58,1,d,Art. 58 para. 1 let. d,It shall provide data subjects on request with information on how they may exercise their rights.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_58_p1_e,art_58_p1,art_58,58,1,e,Art. 58 para. 1 let. e,It shall comment on draft federal legislation and measures that involve data processing.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_58_p1_f,art_58_p1,art_58,58,1,f,Art. 58 para. 1 let. f,It shall carry out the duties assigned to it under the Freedom of Information Act of 17 December 2004 or other federal acts.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_58_p1_g,art_58_p1,art_58,58,1,g,Art. 58 para. 1 let. g,"It shall develop working instruments as recommendations of good practice for use by controllers, processors and data subjects; for this purpose, it shall take into account the specifics of the field concerned and the need to protect vulnerable persons.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_59_p1_a,art_59_p1,art_59,59,1,a,Art. 59 para. 1 let. a,its opinion on a code of conduct in accordance with Article 11 paragraph 2;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_59_p1_b,art_59_p1,art_59,59,1,b,Art. 59 para. 1 let. b,the approval of standard data protection clauses and binding corporate rules in accordance with Article 16 paragraph 2 letters d and e;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_59_p1_c,art_59_p1,art_59,59,1,c,Art. 59 para. 1 let. c,consultation in connection with a data protection impact assessment in accordance with Article 23 paragraph 2;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_59_p1_d,art_59_p1,art_59,59,1,d,Art. 59 para. 1 let. d,precautionary measures and measures under Article 51;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_59_p1_e,art_59_p1,art_59,59,1,e,Art. 59 para. 1 let. e,advice on data protection issues in accordance with Article 58 paragraph 1 letter a.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_60_p1_a,art_60_p1,art_60,60,1,a,Art. 60 para. 1 let. a,"violate their duties under Articles 19, 21 and 25-27, in that they wilfully provide false or incomplete information;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_60_p1_b,art_60_p1,art_60,60,1,b,Art. 60 para. 1 let. b,fail wilfully:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_61_p0_a,art_61_p0,art_61,61,,a,Art. 61 let. a,disclose personal data abroad in violation of Article 16 paragraphs 1 and 2 without satisfying the requirements of Article 17;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_61_p0_b,art_61_p0,art_61,61,,b,Art. 61 let. b,assign the data processing to a processor without satisfying the requirements of Article 9 paragraphs 1 and 2;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_61_p0_c,art_61_p0,art_61,61,,c,Art. 61 let. c,fail to comply with the minimum requirements for data security stipulated by the Federal Council in Article 8 paragraph 3.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_67_p0_a,art_67_p0,art_67,67,,a,Art. 67 let. a,international cooperation between data protection authorities;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_67_p0_b,art_67_p0,art_67,67,,b,Art. 67 let. b,the mutual acknowledgement of an adequate level of protection for the disclosure of personal data abroad.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
