scf_control_id,pci_dss_v4_req_id
PES-02,9.3
PES-02,9.3.1
PES-02.1,8.3.11
PES-02.1,9.1
PES-02.1,9.2
PES-02.1,9.2.1
PES-02.1,9.3
PES-02.1,9.3.1
PES-02.1,9.3.1.1
PES-03,9.1
PES-03,9.1.2
PES-03,9.2
PES-03,9.2.1
PES-03.1,9.2
PES-03.1,9.2.1
PES-03.1,9.3
PES-03.1,9.3.1
PES-03.2,9.2.4
PES-03.3,9.2.1
PES-03.3,9.2.1.1
PES-04,9.3.1.1
PES-04.1,9.3.1.1
PES-05,9.2.1.1
PES-05.1,9.2.1.1
PES-05.2,9.2.1.1
PES-06,9.3.2
PES-06,9.3.3
PES-06,9.3.4
PES-06.1,9.3.2
PES-06.2,9.3.2
PES-06.3,9.3.2
PES-06.4,9.3.4
PES-06.5,9.3.4
PES-06.6,9.3.3
PES-12,9.2.2
PES-12,9.2.3
PES-12,9.2.4
PES-12.1,9.2.2
PES-12.1,9.2.3
PES-12.2,9.2.2
PES-12.2,9.2.3
PRI-01.6,12.9.1
PRI-05,9.4.6
PRI-05,9.4.7
PRI-05,10.5.1
PRI-05.1,6.5.5
PRI-05.3,3.4.1
PRI-05.4,6.5.5
PRI-05.5,12.5.1
PRI-08,A3.1.4
PRM-04,1.1
PRM-05,1.1
RSK-01,12.3
RSK-01.1,12.3.1
RSK-01.1,12.3.2
RSK-02,9.4.2
RSK-03,12.3
RSK-03,12.3.1
RSK-03,12.3.2
RSK-04,12.3
RSK-04,12.3.1
RSK-04,12.3.2
RSK-04.1,12.3.1
RSK-04.1,12.3.2
RSK-05,12.3
RSK-05,12.3.1
RSK-06,10.7
RSK-06,10.7.1
RSK-06,10.7.2
RSK-06,10.7.3
RSK-06,12.3
RSK-06,12.3.1
RSK-06.1,10.7
RSK-06.1,10.7.1
RSK-06.1,10.7.2
RSK-06.1,10.7.3
RSK-06.2,1.2.6
RSK-06.2,2.2.4
RSK-06.2,12.3.1
RSK-06.2,12.3.2
RSK-07,12.3.1
RSK-07,12.3.2
RSK-08,A3.2.2
RSK-10,A3.2.2
SEA-01,1.2
SEA-01,6.1
SEA-01,6.2
SEA-01,6.2.1
SEA-01,8.5
SEA-01,8.5.1
SEA-01.1,1.1
SEA-01.1,10.7
SEA-01.1,10.7.1
SEA-01.1,10.7.2
SEA-01.1,10.7.3
SEA-02,1.2
SEA-02.3,12.3.4
SEA-03,1.2.1
SEA-03,1.4.1
SEA-04.1,2.2.3
SEA-04.1,10.7.1
SEA-04.1,11.4.5
SEA-04.1,11.4.6
SEA-07.1,12.3.4
SEA-20,10.6
SEA-20,10.6.1
SEA-20,10.6.2
SEA-20,10.6.3
OPS-01,1.1.1
OPS-01,2.1.1
OPS-01,3.1.1
OPS-01,4.1.1
OPS-01,5.1.1
OPS-01,6.1.1
OPS-01,7.1.1
OPS-01,8.1.1
OPS-01,8.3.8
OPS-01,9.1.1
OPS-01,9.3.2
OPS-01,10.1.1
OPS-01,11.1.1
OPS-01.1,1.1.1
OPS-01.1,2.1.1
OPS-01.1,3.1.1
OPS-01.1,3.7
OPS-01.1,3.7.1
OPS-01.1,3.7.2
OPS-01.1,3.7.3
OPS-01.1,3.7.5
OPS-01.1,3.7.6
OPS-01.1,3.7.7
OPS-01.1,3.7.8
OPS-01.1,4.1.1
OPS-01.1,5.1.1
OPS-01.1,6.1.1
OPS-01.1,6.5.1
OPS-01.1,7.1.1
OPS-01.1,8.1.1
OPS-01.1,8.3.8
OPS-01.1,9.1.1
OPS-01.1,9.3.2
OPS-01.1,10.1.1
OPS-01.1,11.1.1
SAT-01,8.3.8
SAT-01,9.5.1
SAT-01,9.5.1.3
SAT-01,12.6
SAT-01,12.6.1
SAT-01,12.6.2
SAT-01,12.6.3
SAT-01,A3.1.4
SAT-02,8.3.8
SAT-02,9.5.1
SAT-02,9.5.1.3
SAT-02,12.6
SAT-02,12.6.1
SAT-02,12.6.3
SAT-02,12.6.3.1
SAT-02.2,12.6.3.1
SAT-03,1.1.2
SAT-03,6.2.2
SAT-03,8.3.8
SAT-03,9.5.1
SAT-03,9.5.1.3
SAT-03,12.6
SAT-03,12.6.1
SAT-03,12.6.3
SAT-03,12.6.3.1
SAT-03,12.6.3.2
SAT-03.2,11.5
SAT-03.2,11.5.1
SAT-03.2,11.5.1.1
SAT-03.3,9.5.1
SAT-03.3,9.5.1.3
SAT-03.3,12.6.3.1
SAT-03.3,12.6.3.2
SAT-03.5,1.1.2
SAT-03.8,6.2.2
SAT-04,12.6
SAT-04,12.6.1
SAT-04,12.6.3
TDA-01,6.2
TDA-01,6.2.1
TDA-02.1,1.2.4
TDA-02.3,6.2
TDA-02.3,6.2.1
TDA-02.5,1.2.5
TDA-02.6,1.2.6
TDA-02.6,2.2.5
TDA-04.2,6.3.2
TDA-05,6.2
TDA-05,6.2.1
TDA-05.1,2.2.6
TDA-06,6.2
TDA-06,6.2.1
TDA-06,6.2.4
TDA-06.3,6.2.2
TDA-06.5,6.2.3
TDA-07,6.5.3
TDA-07,11.4.5
TDA-07,11.4.6
TDA-08,6.5.3
TDA-08,6.5.6
TDA-08.1,6.5.6
TDA-09,6.2.3
TDA-09,6.2.3.1
TDA-09,6.2.4
TDA-09,6.5.6
TDA-09.2,6.2.4
TDA-09.3,6.2.4
TDA-09.4,6.2.4
TDA-09.5,6.2.4
TDA-10,6.5.5
TDA-13,6.2.2
TDA-15,6.2.1
TDA-15,6.2.2
TDA-15,6.2.3
TDA-15,6.2.3.1
TDA-15,6.2.4
TDA-15,6.3.1
TDA-15,6.4.1
TDA-15,6.4.2
TDA-15,11.4.1
TDA-15,11.4.4
TDA-15,12.4.2.1
TDA-15,A1.2.3
TPM-01,8.2.3
TPM-01,12.8
TPM-01,12.8.1
TPM-01,12.9
TPM-01,12.9.1
TPM-01,12.9.2
TPM-01,A2.1.3
TPM-01.1,12.8
TPM-01.1,12.8.1
TPM-04,8.2.3
TPM-04,12.8.2
TPM-04,12.9
TPM-04,12.9.1
TPM-04,12.9.2
TPM-04.1,12.8.3
TPM-04.2,1.2.5
TPM-04.4,3.2.1
TPM-04.4,12.5.2
TPM-05,8.2.3
TPM-05,12.4.2
TPM-05,12.4.2.1
TPM-05,12.8.2
TPM-05,12.8.5
TPM-05,12.9
TPM-05,12.9.1
TPM-05,12.9.2
TPM-05.3,8.2.3
TPM-05.4,12.4.1
TPM-05.4,12.8.2
TPM-05.4,12.8.5
TPM-05.4,12.9
TPM-05.4,12.9.1
TPM-05.4,12.9.2
TPM-05.5,12.5.2.1
TPM-05.5,12.5.3
TPM-05.5,12.8
TPM-05.5,12.8.1
TPM-05.5,A3.2.1
TPM-05.5,A3.2.3
TPM-08,12.4.2
TPM-08,12.4.2.1
TPM-08,12.8.4
TPM-11,10.7
TPM-11,10.7.1
TPM-11,10.7.2
TPM-11,10.7.3
THR-01,6.3
THR-03,6.3.1
