scf_control_id,nist_rmf_control_id
TDA-16,SA-16
TDA-17,SA-22
TDA-17.1,SA-22
TDA-18,AC-2
TDA-18,AC-3
TDA-18,AC-5
TDA-18,SI-3
TDA-18,SI-4
TDA-18,SI-5
TDA-18,SI-7
TDA-18,SI-10
TDA-19,SI-11
TDA-20,SA-4(2)
TPM-01,SA-4
TPM-01,SR-1
TPM-02,PM-30(1)
TPM-02,RA-9
TPM-02,SA-9(3)
TPM-03,SA-9(3)
TPM-03,SR-2
TPM-03,SR-2(1)
TPM-03.1,SR-5
TPM-03.1,SR-3(1)
TPM-03.2,SR-3(2)
TPM-03.3,SR-3
TPM-03.4,SR-5(1)
TPM-04,SA-9
TPM-04.1,SA-9(1)
TPM-04.2,SA-9(2)
TPM-04.3,SA-9(4)
TPM-04.4,PE-23
TPM-04.4,SA-9(5)
TPM-05,SR-3(3)
TPM-05.1,SR-8
TPM-05.2,SR-3(3)
TPM-05.4,SA-9(3)
TPM-05.7,SA-9(3)
TPM-08,SR-6
TPM-08,SR-6(1)
TPM-10,SA-4
TPM-11,IR-4(10)
THR-01,PM-15
THR-01,PM-16
THR-03,PM-16(1)
THR-03,SI-5
THR-03,SI-5(1)
THR-04,PM-12
THR-05,AT-2(2)
THR-06,RA-5(11)
THR-07,RA-10
THR-07,SC-48
THR-08,SI-20
VPM-01,SI-2
VPM-01,SI-3
VPM-01.1,SA-11(6)
VPM-01.1,SA-11(7)
VPM-02,PM-4
VPM-02,SC-18(1)
VPM-04,SC-18(1)
VPM-05,SI-2
VPM-05,SI-2(4)
VPM-05,SI-3
VPM-05.1,PL-9
VPM-05.1,SI-2(4)
VPM-05.2,SI-2(2)
VPM-05.2,SI-2(4)
VPM-05.3,SI-2(3)
VPM-05.4,SI-2(4)
VPM-05.4,SI-2(5)
VPM-05.5,SI-2(6)
VPM-06,RA-5
VPM-06.1,RA-5
VPM-06.1,RA-5(2)
VPM-06.2,RA-5(3)
VPM-06.3,RA-5(5)
VPM-06.4,RA-5(6)
VPM-06.5,RA-5(8)
VPM-06.8,RA-5(4)
VPM-06.9,RA-5(10)
VPM-07,CA-8
VPM-07,SA-11(5)
VPM-07.1,CA-8(1)
VPM-08,RA-6
VPM-10,CA-8(2)
WEB-03,SC-7(17)
