odp_id,parent_id,parent_type,odp_text,source_document
AU-9(6)-ODP1,AU-9(6),ControlEnhancement,[Assignment: organization-defined subset of privileged users or roles],NIST SP 800-53r5
AU-10-ODP1,AU-10,Control,[Assignment: organization-defined actions to be covered by non-repudiation],NIST SP 800-53r5
AU-10(1)-a-ODP1,AU-10(1)-a,ControlItem,[Assignment: organization-defined strength of binding],NIST SP 800-53r5
AU-10(2)-a-ODP1,AU-10(2)-a,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-10(2)-b-ODP1,AU-10(2)-b,ControlItem,[Assignment: organization-defined actions],NIST SP 800-53r5
AU-10(4)-a-ODP1,AU-10(4)-a,ControlItem,[Assignment: organization-defined security domains],NIST SP 800-53r5
AU-10(4)-b-ODP1,AU-10(4)-b,ControlItem,[Assignment: organization-defined actions],NIST SP 800-53r5
AU-11-ODP1,AU-11,Control,[Assignment: organization-defined time period consistent with records retention policy],NIST SP 800-53r5
AU-11(1)-ODP1,AU-11(1),ControlEnhancement,[Assignment: organization-defined measures],NIST SP 800-53r5
AU-12-a-ODP1,AU-12-a,ControlItem,[Assignment: organization-defined system components],NIST SP 800-53r5
AU-12-b-ODP1,AU-12-b,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AU-12(1)-ODP1,AU-12(1),ControlEnhancement,[Assignment: organization-defined system components],NIST SP 800-53r5
AU-12(1)-ODP2,AU-12(1),ControlEnhancement,[Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail],NIST SP 800-53r5
AU-12(3)-ODP1,AU-12(3),ControlEnhancement,[Assignment: organization-defined individuals or roles],NIST SP 800-53r5
AU-12(3)-ODP2,AU-12(3),ControlEnhancement,[Assignment: organization-defined system components],NIST SP 800-53r5
AU-12(3)-ODP3,AU-12(3),ControlEnhancement,[Assignment: organization-defined selectable event criteria],NIST SP 800-53r5
AU-12(3)-ODP4,AU-12(3),ControlEnhancement,[Assignment: organization-defined time thresholds],NIST SP 800-53r5
AU-13-a-ODP1,AU-13-a,ControlItem,[Assignment: organization-defined open-source information and/or information sites],NIST SP 800-53r5
AU-13-a-ODP2,AU-13-a,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-13-b-1-ODP1,AU-13-b-1,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AU-13-b-2-ODP1,AU-13-b-2,ControlItem,[Assignment: organization-defined additional actions],NIST SP 800-53r5
AU-13(1)-ODP1,AU-13(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST SP 800-53r5
AU-13(2)-ODP1,AU-13(2),ControlEnhancement,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-14-a-ODP1,AU-14-a,ControlItem,[Assignment: organization-defined users or roles],NIST SP 800-53r5
AU-14-a-ODP2,AU-14-a,ControlItem,[Selection (one or more): record; view; hear; log],NIST SP 800-53r5
AU-14-a-ODP3,AU-14-a,ControlItem,[Assignment: organization-defined circumstances],NIST SP 800-53r5
AU-16-ODP1,AU-16,Control,[Assignment: organization-defined methods],NIST SP 800-53r5
AU-16-ODP2,AU-16,Control,[Assignment: organization-defined audit information],NIST SP 800-53r5
AU-16(2)-ODP1,AU-16(2),ControlEnhancement,[Assignment: organization-defined organizations],NIST SP 800-53r5
AU-16(2)-ODP2,AU-16(2),ControlEnhancement,[Assignment: organization-defined cross-organizational sharing agreements],NIST SP 800-53r5
AU-16(3)-ODP1,AU-16(3),ControlEnhancement,[Assignment: organization-defined measures],NIST SP 800-53r5
CA-1-a-ODP1,CA-1-a,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
CA-1-a-1-ODP1,CA-1-a-1,ControlItem,[Selection (one or more): Organization-level; Mission/business process-level; System-level],NIST SP 800-53r5
CA-1-b-ODP1,CA-1-b,ControlItem,[Assignment: organization-defined official],NIST SP 800-53r5
CA-1-c-1-ODP1,CA-1-c-1,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-1-c-1-ODP2,CA-1-c-1,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
CA-1-c-2-ODP1,CA-1-c-2,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-1-c-2-ODP2,CA-1-c-2,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
CA-2-d-ODP1,CA-2-d,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-2-f-ODP1,CA-2-f,ControlItem,[Assignment: organization-defined individuals or roles],NIST SP 800-53r5
CA-2(2)-ODP1,CA-2(2),ControlEnhancement,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-2(2)-ODP2,CA-2(2),ControlEnhancement,[Selection: announced; unannounced],NIST SP 800-53r5
CA-2(2)-ODP3,CA-2(2),ControlEnhancement,[Assignment: organization-defined other forms of assessment],NIST SP 800-53r5
CA-2(3)-ODP1,CA-2(3),ControlEnhancement,[Assignment: organization-defined external organization],NIST SP 800-53r5
CA-2(3)-ODP2,CA-2(3),ControlEnhancement,[Assignment: organization-defined system],NIST SP 800-53r5
CA-2(3)-ODP3,CA-2(3),ControlEnhancement,[Assignment: organization-defined requirements],NIST SP 800-53r5
CA-3-a-ODP1,CA-3-a,ControlItem,[Assignment: organization-defined type of agreement],NIST SP 800-53r5
CA-3-c-ODP1,CA-3-c,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-5-b-ODP1,CA-5-b,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-5(1)-ODP1,CA-5(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST SP 800-53r5
CA-6-e-ODP1,CA-6-e,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-7-a-ODP1,CA-7-a,ControlItem,[Assignment: organization-defined system-level metrics],NIST SP 800-53r5
CA-7-b-ODP1,CA-7-b,ControlItem,[Assignment: organization-defined frequencies],NIST SP 800-53r5
CA-7-b-ODP2,CA-7-b,ControlItem,[Assignment: organization-defined frequencies],NIST SP 800-53r5
CA-7-g-ODP1,CA-7-g,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
CA-7-g-ODP2,CA-7-g,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-7(5)-ODP1,CA-7(5),ControlEnhancement,[Assignment: organization-defined actions],NIST SP 800-53r5
CA-7(6)-ODP1,CA-7(6),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST SP 800-53r5
CA-8-ODP1,CA-8,Control,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-8-ODP2,CA-8,Control,[Assignment: organization-defined systems or system components],NIST SP 800-53r5
CA-8(2)-ODP1,CA-8(2),ControlEnhancement,[Assignment: organization-defined red team exercises],NIST SP 800-53r5
CA-8(3)-ODP1,CA-8(3),ControlEnhancement,[Assignment: organization-defined frequency],NIST SP 800-53r5
CA-8(3)-ODP2,CA-8(3),ControlEnhancement,[Selection: announced; unannounced],NIST SP 800-53r5
CA-9-a-ODP1,CA-9-a,ControlItem,[Assignment: organization-defined system components or classes of components],NIST SP 800-53r5
CA-9-c-ODP1,CA-9-c,ControlItem,[Assignment: organization-defined conditions],NIST SP 800-53r5
CA-9-d-ODP1,CA-9-d,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
CM-14::ODP1,CM-14,Control,[Assignment: organization-defined software and firmware components],NIST.SP.800-53r5.pdf
CP-8::ODP1,CP-8,Control,[Assignment: organization-defined system operations],NIST.SP.800-53r5.pdf
CP-8::ODP2,CP-8,Control,[Assignment: organization-defined time period],NIST.SP.800-53r5.pdf
CP-10::ODP1,CP-10,Control,[Assignment: organization-defined time period consistent with recovery time and recovery point objectives],NIST.SP.800-53r5.pdf
CP-11::ODP1,CP-11,Control,[Assignment: organization-defined alternative communications protocols],NIST.SP.800-53r5.pdf
CP-12::ODP1,CP-12,Control,[Assignment: organization-defined conditions],NIST.SP.800-53r5.pdf
CP-12::ODP2,CP-12,Control,[Assignment: organization-defined restrictions of safe mode of operation],NIST.SP.800-53r5.pdf
CP-13::ODP1,CP-13,Control,[Assignment: organization-defined alternative or supplemental security mechanisms],NIST.SP.800-53r5.pdf
CP-13::ODP2,CP-13,Control,[Assignment: organization-defined security functions],NIST.SP.800-53r5.pdf
IA-3::ODP1,IA-3,Control,[Assignment: organization-defined devices and/or types of devices],NIST.SP.800-53r5.pdf
IA-3::ODP2,IA-3,Control,[Selection (one or more): local; remote; network],NIST.SP.800-53r5.pdf
IA-9::ODP1,IA-9,Control,[Assignment: organization-defined system services and applications],NIST.SP.800-53r5.pdf
IA-10::ODP1,IA-10,Control,[Assignment: organization-defined supplemental authentication techniques or mechanisms],NIST.SP.800-53r5.pdf
IA-10::ODP2,IA-10,Control,[Assignment: organization-defined circumstances or situations],NIST.SP.800-53r5.pdf
IA-11::ODP1,IA-11,Control,[Assignment: organization-defined circumstances or situations requiring re-authentication],NIST.SP.800-53r5.pdf
IR-3::ODP1,IR-3,Control,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
IR-3::ODP2,IR-3,Control,[Assignment: organization-defined tests],NIST.SP.800-53r5.pdf
CM-2(2)::ODP1,CM-2(2),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-2(3)::ODP1,CM-2(3),ControlEnhancement,[Assignment: organization-defined number],NIST.SP.800-53r5.pdf
CM-3(1)::ODP1,CM-3(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-3(3)::ODP1,CM-3(3),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-3(4)::ODP1,CM-3(4),ControlEnhancement,[Assignment: organization-defined security and privacy representatives],NIST.SP.800-53r5.pdf
CM-3(4)::ODP2,CM-3(4),ControlEnhancement,[Assignment: organization-defined configuration change control element],NIST.SP.800-53r5.pdf
CM-3(5)::ODP1,CM-3(5),ControlEnhancement,[Assignment: organization-defined security responses],NIST.SP.800-53r5.pdf
CM-3(6)::ODP1,CM-3(6),ControlEnhancement,[Assignment: organization-defined controls],NIST.SP.800-53r5.pdf
CM-3(7)::ODP1,CM-3(7),ControlEnhancement,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-3(7)::ODP2,CM-3(7),ControlEnhancement,[Assignment: organization-defined circumstances],NIST.SP.800-53r5.pdf
CM-3(8)::ODP1,CM-3(8),ControlEnhancement,[Assignment: organization-defined circumstances],NIST.SP.800-53r5.pdf
CM-5(4)::ODP1,CM-5(4),ControlEnhancement,[Assignment: organization-defined system components and system-level information],NIST.SP.800-53r5.pdf
CM-6(1)::ODP1,CM-6(1),ControlEnhancement,[Assignment: organization-defined system components],NIST.SP.800-53r5.pdf
CM-6(1)::ODP2,CM-6(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-6(2)::ODP1,CM-6(2),ControlEnhancement,[Assignment: organization-defined configuration settings],NIST.SP.800-53r5.pdf
CM-6(2)::ODP2,CM-6(2),ControlEnhancement,[Assignment: organization-defined actions],NIST.SP.800-53r5.pdf
CM-7(2)::ODP1,CM-7(2),ControlEnhancement,"[Selection (one or more): [Assignment: organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage]",NIST.SP.800-53r5.pdf
CM-7(3)::ODP1,CM-7(3),ControlEnhancement,"[Assignment: organization-defined registration requirements for functions, ports, protocols, and services]",NIST.SP.800-53r5.pdf
CM-7(6)::ODP1,CM-7(6),ControlEnhancement,[Assignment: organization-defined user-installed software],NIST.SP.800-53r5.pdf
CM-7(7)::ODP1,CM-7(7),ControlEnhancement,[Assignment: organization-defined personnel or roles],NIST.SP.800-53r5.pdf
CM-8(2)::ODP1,CM-8(2),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-8(4)::ODP1,CM-8(4),ControlEnhancement,[Selection (one or more): name; position; role],NIST.SP.800-53r5.pdf
CM-8(8)::ODP1,CM-8(8),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-10(1)::ODP1,CM-10(1),ControlEnhancement,[Assignment: organization-defined restrictions],NIST.SP.800-53r5.pdf
CM-11(3)::ODP1,CM-11(3),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-12(1)::ODP1,CM-12(1),ControlEnhancement,[Assignment: organization-defined information by information type],NIST.SP.800-53r5.pdf
CM-12(1)::ODP2,CM-12(1),ControlEnhancement,[Assignment: organization-defined system components],NIST.SP.800-53r5.pdf
CP-2(3)::ODP1,CP-2(3),ControlEnhancement,[Selection: all; essential],NIST.SP.800-53r5.pdf
CP-2(3)::ODP2,CP-2(3),ControlEnhancement,[Assignment: organization-defined time period],NIST.SP.800-53r5.pdf
CP-2(5)::ODP1,CP-2(5),ControlEnhancement,[Selection: all; essential],NIST.SP.800-53r5.pdf
CP-2(6)::ODP1,CP-2(6),ControlEnhancement,[Selection: all; essential],NIST.SP.800-53r5.pdf
CP-2(8)::ODP1,CP-2(8),ControlEnhancement,[Selection: all; essential],NIST.SP.800-53r5.pdf
CP-4(3)::ODP1,CP-4(3),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CP-4(5)::ODP1,CP-4(5),ControlEnhancement,[Assignment: organization-defined mechanisms],NIST.SP.800-53r5.pdf
CP-4(5)::ODP2,CP-4(5),ControlEnhancement,[Assignment: organization-defined system or system component],NIST.SP.800-53r5.pdf
CP-8(5)::ODP1,CP-8(5),ControlEnhancement,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CP-9(1)::ODP1,CP-9(1),ControlEnhancement,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CP-9(3)::ODP1,CP-9(3),ControlEnhancement,[Assignment: organization-defined critical system software and other security-related information],NIST.SP.800-53r5.pdf
CP-9(5)::ODP1,CP-9(5),ControlEnhancement,[Assignment: organization-defined time period and transfer rate consistent with the recovery time and recovery point objectives],NIST.SP.800-53r5.pdf
CP-9(7)::ODP1,CP-9(7),ControlEnhancement,[Assignment: organization-defined backup information],NIST.SP.800-53r5.pdf
CP-9(8)::ODP1,CP-9(8),ControlEnhancement,[Assignment: organization-defined backup information],NIST.SP.800-53r5.pdf
CP-10(4)::ODP1,CP-10(4),ControlEnhancement,[Assignment: organization-defined restoration time periods],NIST.SP.800-53r5.pdf
IA-2(6)::ODP1,IA-2(6),ControlEnhancement,[Selection (one or more): local; network; remote],NIST.SP.800-53r5.pdf
IA-2(6)::ODP2,IA-2(6),ControlEnhancement,[Selection (one or more): privileged accounts; non-privileged accounts],NIST.SP.800-53r5.pdf
IA-2(8)::ODP1,IA-2(8),ControlEnhancement,[Selection (one or more): privileged accounts; non-privileged accounts],NIST.SP.800-53r5.pdf
IA-2(10)::ODP1,IA-2(10),ControlEnhancement,[Assignment: organization-defined system accounts and services],NIST.SP.800-53r5.pdf
IA-2(13)::ODP1,IA-2(13),ControlEnhancement,[Assignment: organization-defined conditions],NIST.SP.800-53r5.pdf
IA-2(13)::ODP2,IA-2(13),ControlEnhancement,[Assignment: organization-defined out-of-band authentication],NIST.SP.800-53r5.pdf
IA-3(1)::ODP1,IA-3(1),ControlEnhancement,[Assignment: organization-defined devices and/or types of devices],NIST.SP.800-53r5.pdf
IA-3(1)::ODP2,IA-3(1),ControlEnhancement,[Selection (one or more): local; remote; network],NIST.SP.800-53r5.pdf
IA-3(4)::ODP1,IA-3(4),ControlEnhancement,[Assignment: organization-defined configuration management process],NIST.SP.800-53r5.pdf
IA-4(4)::ODP1,IA-4(4),ControlEnhancement,[Assignment: organization-defined characteristic identifying individual status],NIST.SP.800-53r5.pdf
IA-4(5)::ODP1,IA-4(5),ControlEnhancement,[Assignment: organization-defined dynamic identifier policy],NIST.SP.800-53r5.pdf
IA-4(6)::ODP1,IA-4(6),ControlEnhancement,[Assignment: organization-defined external organizations],NIST.SP.800-53r5.pdf
IA-4(9)::ODP1,IA-4(9),ControlEnhancement,[Assignment: organization-defined protected central storage],NIST.SP.800-53r5.pdf
IA-5(8)::ODP1,IA-5(8),ControlEnhancement,[Assignment: organization-defined security controls],NIST.SP.800-53r5.pdf
IA-5(9)::ODP1,IA-5(9),ControlEnhancement,[Assignment: organization-defined external organizations],NIST.SP.800-53r5.pdf
IA-5(10)::ODP1,IA-5(10),ControlEnhancement,[Assignment: organization-defined binding rules],NIST.SP.800-53r5.pdf
IA-5(12)::ODP1,IA-5(12),ControlEnhancement,[Assignment: organization-defined biometric quality requirements],NIST.SP.800-53r5.pdf
IA-5(13)::ODP1,IA-5(13),ControlEnhancement,[Assignment: organization-defined time period],NIST.SP.800-53r5.pdf
IA-5(16)::ODP1,IA-5(16),ControlEnhancement,[Assignment: organization-defined types of and/or specific authenticators],NIST.SP.800-53r5.pdf
IA-5(16)::ODP2,IA-5(16),ControlEnhancement,[Selection: in person; by a trusted external party],NIST.SP.800-53r5.pdf
IA-5(16)::ODP3,IA-5(16),ControlEnhancement,[Assignment: organization-defined registration authority],NIST.SP.800-53r5.pdf
IA-5(16)::ODP4,IA-5(16),ControlEnhancement,[Assignment: organization-defined personnel or roles],NIST.SP.800-53r5.pdf
IA-8(4)::ODP1,IA-8(4),ControlEnhancement,[Assignment: organization-defined identity management profiles],NIST.SP.800-53r5.pdf
IA-8(5)::ODP1,IA-8(5),ControlEnhancement,[Assignment: organization-defined policy],NIST.SP.800-53r5.pdf
IA-8(6)::ODP1,IA-8(6),ControlEnhancement,[Assignment: organization-defined measures],NIST.SP.800-53r5.pdf
IA-12(3)::ODP1,IA-12(3),ControlEnhancement,[Assignment: organizational defined methods of validation and verification],NIST.SP.800-53r5.pdf
IA-12(5)::ODP1,IA-12(5),ControlEnhancement,[Selection: registration code; notice of proofing],NIST.SP.800-53r5.pdf
IA-12(6)::ODP1,IA-12(6),ControlEnhancement,[Assignment: organization-defined identity assurance level],NIST.SP.800-53r5.pdf
IR-2(2)::ODP1,IR-2(2),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
IR-3(1)::ODP1,IR-3(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
IR-4(1)::ODP1,IR-4(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
IR-4(2)::ODP1,IR-4(2),ControlEnhancement,[Assignment: organization-defined system components],NIST.SP.800-53r5.pdf
IR-4(2)::ODP2,IR-4(2),ControlEnhancement,[Assignment: organization-defined types of dynamic reconfiguration],NIST.SP.800-53r5.pdf
IR-4(3)::ODP1,IR-4(3),ControlEnhancement,[Assignment: organization-defined classes of incidents],NIST.SP.800-53r5.pdf
IR-4(3)::ODP2,IR-4(3),ControlEnhancement,[Assignment: organization-defined actions to take in response to classes of incidents],NIST.SP.800-53r5.pdf
IR-4(5)::ODP1,IR-4(5),ControlEnhancement,[Assignment: organization-defined security violations],NIST.SP.800-53r5.pdf
IR-4(7)::ODP1,IR-4(7),ControlEnhancement,[Assignment: organization-defined entities],NIST.SP.800-53r5.pdf
IR-4(8)::ODP1,IR-4(8),ControlEnhancement,[Assignment: organization-defined external organizations],NIST.SP.800-53r5.pdf
IR-4(8)::ODP2,IR-4(8),ControlEnhancement,[Assignment: organization-defined incident information],NIST.SP.800-53r5.pdf
IR-4(9)::ODP1,IR-4(9),ControlEnhancement,[Assignment: organization-defined dynamic response capabilities],NIST.SP.800-53r5.pdf
IR-4(11)::ODP1,IR-4(11),ControlEnhancement,[Assignment: organization-defined time period],NIST.SP.800-53r5.pdf
IR-4(13)::ODP1,IR-4(13),ControlEnhancement,[Assignment: organization-defined environments or resources],NIST.SP.800-53r5.pdf
IR-5(1)::ODP1,IR-5(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
IR-6(1)::ODP1,IR-6(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
IR-6(2)::ODP1,IR-6(2),ControlEnhancement,[Assignment: organization-defined personnel or roles],NIST.SP.800-53r5.pdf
IR-7(1)::ODP1,IR-7(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
IR-9(2)::ODP1,IR-9(2),ControlEnhancement,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
IR-9(3)::ODP1,IR-9(3),ControlEnhancement,[Assignment: organization-defined procedures],NIST.SP.800-53r5.pdf
IR-9(4)::ODP1,IR-9(4),ControlEnhancement,[Assignment: organization-defined controls],NIST.SP.800-53r5.pdf
CM-1::a.::ODP1,CM-1::a.,ControlItem,[Assignment: organization-defined personnel or roles],NIST.SP.800-53r5.pdf
CM-1::a.::1.::ODP1,CM-1::a.::1.,ControlItem,[Selection (one or more): Organization-level; Mission/business process-level; System-level],NIST.SP.800-53r5.pdf
CM-1::b.::ODP1,CM-1::b.,ControlItem,[Assignment: organization-defined official],NIST.SP.800-53r5.pdf
CM-1::c.::1.::ODP1,CM-1::c.::1.,ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-1::c.::1.::ODP2,CM-1::c.::1.,ControlItem,[Assignment: organization-defined events],NIST.SP.800-53r5.pdf
CM-1::c.::2.::ODP1,CM-1::c.::2.,ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-1::c.::2.::ODP2,CM-1::c.::2.,ControlItem,[Assignment: organization-defined events],NIST.SP.800-53r5.pdf
CM-2::b.::1.::ODP1,CM-2::b.::1.,ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-2::b.::2.::ODP1,CM-2::b.::2.,ControlItem,[Assignment: organization-defined circumstances],NIST.SP.800-53r5.pdf
CM-2(7)::(a)::ODP1,CM-2(7)::(a),ControlItem,[Assignment: organization-defined systems or system components],NIST.SP.800-53r5.pdf
CM-2(7)::(a)::ODP2,CM-2(7)::(a),ControlItem,[Assignment: organization-defined configurations],NIST.SP.800-53r5.pdf
CM-2(7)::(b)::ODP1,CM-2(7)::(b),ControlItem,[Assignment: organization-defined controls],NIST.SP.800-53r5.pdf
CM-3::e.::ODP1,CM-3::e.,ControlItem,[Assignment: organization-defined time period],NIST.SP.800-53r5.pdf
CM-3::g.::ODP1,CM-3::g.,ControlItem,[Assignment: organization-defined configuration change control element],NIST.SP.800-53r5.pdf
CM-3::g.::ODP2,CM-3::g.,ControlItem,[Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]],NIST.SP.800-53r5.pdf
CM-3(1)::(b)::ODP1,CM-3(1)::(b),ControlItem,[Assignment: organization-defined approval authorities],NIST.SP.800-53r5.pdf
CM-3(1)::(c)::ODP1,CM-3(1)::(c),ControlItem,[Assignment: organization-defined time period],NIST.SP.800-53r5.pdf
CM-3(1)::(f)::ODP1,CM-3(1)::(f),ControlItem,[Assignment: organization-defined personnel],NIST.SP.800-53r5.pdf
CM-5(1)::(a)::ODP1,CM-5(1)::(a),ControlItem,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-5(5)::(b)::ODP1,CM-5(5)::(b),ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-6::a.::ODP1,CM-6::a.,ControlItem,[Assignment: organization-defined common secure configurations],NIST.SP.800-53r5.pdf
CM-6::c.::ODP1,CM-6::c.,ControlItem,[Assignment: organization-defined system components],NIST.SP.800-53r5.pdf
CM-6::c.::ODP2,CM-6::c.,ControlItem,[Assignment: organization-defined operational requirements],NIST.SP.800-53r5.pdf
CM-7::a.::ODP1,CM-7::a.,ControlItem,[Assignment: organization-defined mission essential capabilities],NIST.SP.800-53r5.pdf
CM-7::b.::ODP1,CM-7::b.,ControlItem,"[Assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services]",NIST.SP.800-53r5.pdf
CM-7(1)::(a)::ODP1,CM-7(1)::(a),ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-7(1)::(b)::ODP1,CM-7(1)::(b),ControlItem,"[Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure]",NIST.SP.800-53r5.pdf
CM-7(4)::(a)::ODP1,CM-7(4)::(a),ControlItem,[Assignment: organization-defined software programs not authorized to execute on the system],NIST.SP.800-53r5.pdf
CM-7(4)::(c)::ODP1,CM-7(4)::(c),ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-7(5)::(a)::ODP1,CM-7(5)::(a),ControlItem,[Assignment: organization-defined software programs authorized to execute on the system],NIST.SP.800-53r5.pdf
CM-7(5)::(c)::ODP1,CM-7(5)::(c),ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-7(9)::(a)::ODP1,CM-7(9)::(a),ControlItem,[Assignment: organization-defined hardware components authorized for system use],NIST.SP.800-53r5.pdf
CM-7(9)::(c)::ODP1,CM-7(9)::(c),ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-8::a.::5.::ODP1,CM-8::a.::5.,ControlItem,[Assignment: organization-defined information deemed necessary to achieve effective system component accountability],NIST.SP.800-53r5.pdf
CM-8::b.::ODP1,CM-8::b.,ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-8(3)::(a)::ODP1,CM-8(3)::(a),ControlItem,[Assignment: organization-defined automated mechanisms],NIST.SP.800-53r5.pdf
CM-8(3)::(a)::ODP2,CM-8(3)::(a),ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-8(3)::(b)::ODP1,CM-8(3)::(b),ControlItem,[Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]],NIST.SP.800-53r5.pdf
CM-8(9)::(b)::ODP1,CM-8(9)::(b),ControlItem,[Assignment: organization-defined personnel or roles],NIST.SP.800-53r5.pdf
CM-9::d.::ODP1,CM-9::d.,ControlItem,[Assignment: organization-defined personnel or roles],NIST.SP.800-53r5.pdf
CM-11::a.::ODP1,CM-11::a.,ControlItem,[Assignment: organization-defined policies],NIST.SP.800-53r5.pdf
CM-11::b.::ODP1,CM-11::b.,ControlItem,[Assignment: organization-defined methods],NIST.SP.800-53r5.pdf
CM-11::c.::ODP1,CM-11::c.,ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CM-12::a.::ODP1,CM-12::a.,ControlItem,[Assignment: organization-defined information],NIST.SP.800-53r5.pdf
CP-1::a.::ODP1,CP-1::a.,ControlItem,[Assignment: organization-defined personnel or roles],NIST.SP.800-53r5.pdf
CP-1::a.::1.::ODP1,CP-1::a.::1.,ControlItem,[Selection (one or more): Organization-level; Mission/business process-level; System-level],NIST.SP.800-53r5.pdf
CP-1::b.::ODP1,CP-1::b.,ControlItem,[Assignment: organization-defined official],NIST.SP.800-53r5.pdf
CP-1::c.::1.::ODP1,CP-1::c.::1.,ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CP-1::c.::1.::ODP2,CP-1::c.::1.,ControlItem,[Assignment: organization-defined events],NIST.SP.800-53r5.pdf
CP-1::c.::2.::ODP1,CP-1::c.::2.,ControlItem,[Assignment: organization-defined frequency],NIST.SP.800-53r5.pdf
CP-1::c.::2.::ODP2,CP-1::c.::2.,ControlItem,[Assignment: organization-defined events],NIST.SP.800-53r5.pdf
CP-2::a.::7.::ODP1,CP-2::a.::7.,ControlItem,[Assignment: organization-defined personnel or roles],NIST.SP.800-53r5.pdf
