item_id,parent_id,parent_type,item_label,item_text,source_document
SA-11::e,SA-11,Control,e.,Correct flaws identified during testing and evaluation.,NIST SP 800-53r5
SA-11(2)::a,SA-11(2),ControlEnhancement,(a),"Uses the following contextual information: [Assignment: organization-defined information concerning impact, environment of operations, known or assumed threats, and acceptable risk levels];",NIST SP 800-53r5
SA-11(2)::b,SA-11(2),ControlEnhancement,(b),Employs the following tools and methods: [Assignment: organization-defined tools and methods];,NIST SP 800-53r5
SA-11(2)::c,SA-11(2),ControlEnhancement,(c),Conducts the modeling and analyses at the following level of rigor: [Assignment: organization-defined breadth and depth of modeling and analyses]; and,NIST SP 800-53r5
SA-11(2)::d,SA-11(2),ControlEnhancement,(d),Produces evidence that meets the following acceptance criteria: [Assignment: organization-defined acceptance criteria].,NIST SP 800-53r5
SA-11(3)::a,SA-11(3),ControlEnhancement,(a),Require an independent agent satisfying [Assignment: organization-defined independence criteria] to verify the correct implementation of the developer security and privacy assessment plans and the evidence produced during testing and evaluation; and,NIST SP 800-53r5
SA-11(3)::b,SA-11(3),ControlEnhancement,(b),Verify that the independent agent is provided with sufficient information to complete the verification process or granted the authority to obtain such information.,NIST SP 800-53r5
SA-11(5)::a,SA-11(5),ControlEnhancement,(a),At the following level of rigor: [Assignment: organization-defined breadth and depth of testing]; and,NIST SP 800-53r5
SA-11(5)::b,SA-11(5),ControlEnhancement,(b),Under the following constraints: [Assignment: organization-defined constraints].,NIST SP 800-53r5
SA-15::a,SA-15,Control,a.,"Require the developer of the system, system component, or system service to follow a documented development process that:",NIST SP 800-53r5
SA-15::a.1,SA-15::a,ControlItem,1.,Explicitly addresses security and privacy requirements;,NIST SP 800-53r5
SA-15::a.2,SA-15::a,ControlItem,2.,Identifies the standards and tools used in the development process;,NIST SP 800-53r5
SA-15::a.3,SA-15::a,ControlItem,3.,Documents the specific tool options and tool configurations used in the development process; and,NIST SP 800-53r5
SA-15::a.4,SA-15::a,ControlItem,4.,"Documents, manages, and ensures the integrity of changes to the process and/or tools used in development; and",NIST SP 800-53r5
SA-15::b,SA-15,Control,b.,"Review the development process, standards, tools, tool options, and tool configurations [Assignment: organization-defined frequency] to determine if the process, standards, tools, tool options and tool configurations selected and employed can satisfy the following security and privacy requirements: [Assignment: organization-defined security and privacy requirements].",NIST SP 800-53r5
SA-15(1)::a,SA-15(1),ControlEnhancement,(a),Define quality metrics at the beginning of the development process; and,NIST SP 800-53r5
SA-15(1)::b,SA-15(1),ControlEnhancement,(b),Provide evidence of meeting the quality metrics [Selection (one or more): [Assignment: organization-defined frequency]; [Assignment: organization-defined program review milestones]; upon delivery].,NIST SP 800-53r5
SA-15(3)::a,SA-15(3),ControlEnhancement,(a),At the following decision points in the system development life cycle: [Assignment: organization-defined decision points in the system development life cycle]; and,NIST SP 800-53r5
SA-15(3)::b,SA-15(3),ControlEnhancement,(b),At the following level of rigor: [Assignment: organization-defined breadth and depth of criticality analysis].,NIST SP 800-53r5
