ig_maturity_criterion_id,ig_metric_id,maturity_level_id,maturity_level,text,source_document
IGCRIT-19-5,IG-19,ML-5,Optimized,The organization is making demonstrated progress towards implementing EL3’s advanced requirements for user behavior monitoring to detect and alert on privileged user compromise.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-21-1,IG-21,ML-1,Ad Hoc,The organization has not defined its policies and procedures in one or more of the specified areas.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-21-2,IG-21,ML-2,Defined,"The organization's policies and procedures have been defined and communicated for Further, the policies and procedures have been tailored to the organization's environment and include specific considerations based on data classification and sensitivity.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-21-3,IG-21,ML-3,Consistently Implemented,"The organization's policies and procedures have been consistently implemented for the specified areas, including (i) use of FIPS- validated encryption of PII and other agency sensitive data, as appropriate, both at rest and in transit, (ii) prevention and detection of untrusted removable media, (iii) destruction or reuse of media containing PII or other sensitive agency data, (iv) backups of PII, including protection and testing of backups, and (v) access to personal email, external file sharing and storage sites, and personal communication applications are blocked, as appropriate.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-21-4,IG-21,ML-4,Managed and Measurable,"The organization ensures that the security controls for protecting PII and other agency sensitive data, as appropriate, throughout the data lifecycle are subject to the monitoring processes defined within the organization's ISCM strategy.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-21-5,IG-21,ML-5,Optimized,"The organization employs advanced capabilities to enhance protective controls, including: • Remote wiping • Dual authorization for sanitization of media devices • Exemption of media marking as long as the media remains within organizationallydefined control areas • Configuring systems to record the date the PII was collected, created, or updated and when the data is to be deleted or destroyed according to an approved data retention schedule Continuously backup critical data in near real-time.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-22-1,IG-22,ML-1,Ad Hoc,"The organization has not defined its policies and procedures related to data exfiltration, endpoint detection and response, enhanced network defenses, email authentication processes, and mitigation against DNS infrastructure tampering.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-22-2,IG-22,ML-2,Defined,"The organization has defined and communicated its policies and procedures for data exfiltration, endpoint detection and response, enhanced network defenses, email authentication processes, and mitigation against DNS infrastructure tampering.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-22-3,IG-22,ML-3,Consistently Implemented,"The organization consistently monitors inbound and outbound network traffic, ensuring that all traffic passes through a web content filter that protects against phishing, malware, and blocks against known malicious sites. Additionally, the organization checks outbound communications traffic to detect encrypted exfiltration of information, anomalous traffic patterns, and elements of PII. Also, suspected malicious traffic is quarantined or blocked. In addition, the organization uses email authentication technology and ensures the use of valid encryption certificates for its domains. The organization consistently implements EDR capabilities to support host-level visibility, attribution, and response for its information systems.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-22-4,IG-22,ML-4,Managed and Measurable,"The organization analyzes qualitative and quantitative measures on the performance of its data exfiltration and enhanced network defenses. The organization also conducts exfiltration exercises to measure the effectiveness of its data exfiltration and enhanced network defenses. Further, the organization monitors its DNS infrastructure for potential tampering, in accordance with its ISCM strategy. In addition, the organization audits its DNS records. Further, the organization has assessed its current EDR capabilities, identified any gaps, and is coordinating with CISA for future EDR solution deployments.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-22-5,IG-22,ML-5,Optimized,"The organization’s data exfiltration and enhanced network defenses are fully integrated into the ISCM and incident response programs to provide near real-time monitoring of the data that is entering and exiting the network, and other suspicious inbound and outbound communications. The organization continuously runs device posture assessments (e.g., using EDR tools) to maintain visibility and analytics capabilities related to data exfiltration.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-24-1,IG-24,ML-1,Ad Hoc,"The organization has not defined its processes for assessing the knowledge, skills, and abilities of its workforce.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-24-2,IG-24,ML-2,Defined,"The organization has defined its processes for assessing the knowledge, skills, and abilities of its workforce to determine its specialized training needs and periodically updating its assessment to account for a changing risk environment.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-24-3,IG-24,ML-3,Consistently Implemented,"The organization has assessed the knowledge, skills, and abilities of its workforce; tailored its specialized training; and has identified its skill gaps. Further, the organization periodically updates its assessment to account for a changing risk environment. In addition, the assessment serves as a key input to updating the organization’s awareness and training strategy/plans.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-24-4,IG-24,ML-4,Managed and Measurable,"The organization has addressed its identified knowledge, skills, and abilities gaps through training or talent acquisition.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-24-5,IG-24,ML-5,Optimized,The organization’s personnel collectively possess a training level such that the organization can demonstrate that security incidents resulting from personnel actions or inactions are being reduced over time.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-26-1,IG-26,ML-1,Ad Hoc,"The organization has not developed, tailored, and communicated its ISCM policies and an organization wide ISCM strategy.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-26-2,IG-26,ML-2,Defined,"The organization has developed, tailored, and communicated its ISCM policies and strategy. The following areas are included: • Monitoring requirements at each organizational tier • The minimum monitoring frequencies for implemented controls across the organization (The criteria for determining minimum frequencies is established in coordination with organizational officials [e.g., senior accountable official for risk management, system owners, and common control providers] and in accordance with organizational risk tolerance). • The organization’s ongoing control assessment approach • How ongoing assessments are to be conducted • Analyzing ISCM data, reporting findings, and reviewing and updating the ISCM policies, procedures, and strategy",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-26-3,IG-26,ML-3,Consistently Implemented,"The organization's ISCM policies and strategy are consistently implemented at the organization, business process, and information system levels. In addition, the strategy supports clear visibility into assets, awareness into vulnerabilities, upto-date threat information, and mission/business impacts. The organization also consistently captures lessons learned to make improvements to the ISCM policies and strategy.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-26-4,IG-26,ML-4,Managed and Measurable,"The organization monitors and analyzes qualitative and quantitative performance measures on the effectiveness of its ISCM policies and strategy and makes updates, as appropriate. The organization ensures that data supporting metrics are obtained accurately, consistently, and in a reproducible format. The organization has transitioned to ongoing control and system authorization through the implementation of its continuous monitoring policies and strategy.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-26-5,IG-26,ML-5,Optimized,"The organization's ISCM policies and strategy are fully integrated with its enterprise and supply chain risk management, configuration management, incident response, and business continuity programs. The organization can demonstrate that it is using its ISCM policies and strategy to reduce the cost and increase the efficiency of security and privacy programs.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-27-1,IG-27,ML-1,Ad Hoc,The organization has not defined its policies and procedures to monitor and measure the integrity and security posture of all owned and associated assets.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-27-2,IG-27,ML-2,Defined,The organization has defined its policies and procedures to monitor and measure the integrity and security posture of all owned and associated assets.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-27-3,IG-27,ML-3,Consistently Implemented,The organization consistently analyzes the data it collects on potentially adverse events to better understand associated activities. The agency consistently implements monitoring and enforcement mechanisms to identify and manually disconnect or isolate non-compliant devices and virtual assets. The agency employs network monitoring capabilities based on known indicators of compromise to develop situational awareness and correlates telemetry from multiple sources for analysis and monitoring.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-27-4,IG-27,ML-4,Managed and Measurable,"The organization uses up to date cyber threat intelligence in log analysis tools to improve detection accuracy and characterize threat actors, their methods, and indicators of compromise. Further, manual reviews are conducted for technologies that cannot be sufficiently monitored through automation. The organization automates both inventory collection (including endpoint monitoring on all standard user devices and anomaly detection to detect unauthorized devices.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-27-5,IG-27,ML-5,Optimized,"The organization has institutionalized the implementation of advanced ISCM technologies for analysis of trends and identification of potentially adverse events and adjusts its ISCM processes and security measures accordingly. The organization continuously verifies insights and enforces compliance throughout the lifetime of devices and virtual assets. The agency integrates device, software, configuration, and vulnerability management across all agency environments, including for virtual assets. The organization employs more sophisticated approaches to continuous monitoring (e.g., combines audit logs with other sources of event data).",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-28-1,IG-28,ML-1,Ad Hoc,"The organization has not developed system level continuous monitoring strategies/policies that define its processes for performing ongoing security control assessments, granting system authorizations, including developing and maintaining system security plans, monitoring security controls for individual systems; and time-based triggers for ongoing authorization.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-28-2,IG-28,ML-2,Defined,"The organization has developed system level continuous monitoring strategies/policies that define its processes for performing ongoing security control assessments, granting system authorizations, including developing and maintaining system security plans; monitoring security controls for individual systems; and time-based triggers for ongoing authorization. The system level strategy/policies address the monitoring of those controls that are not addressed by the organizational level strategy, as well as how changes to the system are monitored and reported.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-28-3,IG-28,ML-3,Consistently Implemented,"The organization consistently implements its system level continuous monitoring strategies and related processes, including performing ongoing security control assessments, granting system authorizations, including developing and maintaining system security plans, and monitoring security controls to provide a view of the organizational security posture, as well as each system’s contribution to said security posture. In conjunction with the overall ISCM strategy, all security control classes (management, operational, and technical) and types (common, hybrid, and systemspecific) are assessed and monitored, and their status updated regularly (as defined in the agency’s information security policy) in security plans.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-28-4,IG-28,ML-4,Managed and Measurable,"The organization uses the results of security control assessments and monitoring to maintain ongoing authorizations of information systems, including the maintenance of system security plans. Organization authorization processes include automated analysis tools and manual expert analysis, as appropriate.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-28-5,IG-28,ML-5,Optimized,"The organization's system level ISCM policies and strategies are fully integrated with its enterprise and supply chain risk management, configuration management, incident response, and business continuity programs. The organization can demonstrate that it is using its system level ISCM policies and strategy to reduce the cost and increase the efficiency of security and privacy programs.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-30-1,IG-30,ML-1,Ad Hoc,"The organization has not defined and communicated its policies, procedures, and processes for incident detection and analysis. In addition, the organization has not defined a common threat vector taxonomy for classifying incidents and its processes for detecting, analyzing, and prioritizing incidents.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-30-2,IG-30,ML-2,Defined,"The organization has defined and communicated its policies, procedures, and processes for incident detection and analysis. In addition, the organization has defined a common threat vector taxonomy and developed handling procedures for specific types of incidents, as appropriate. In addition, the organization has defined its processes and supporting technologies for detecting and analyzing incidents, including the potential adverse events and indicators and how they are generated and reviewed, and for prioritizing incidents.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-30-3,IG-30,ML-3,Consistently Implemented,"The organization consistently implements enterprise-wide policies, procedures, and processes for incident detection and analysis. In addition, the organization consistently uses its enterprise-wide threat vector taxonomy to classify incidents and consistently implements its processes for incident detection, analysis, and prioritization. In addition, the organization consistently implements, and analyzes potential adverse events and indicators generated by, for example, the following enterprise-wide technologies: intrusion detection/prevention, security information and event management (SIEM), antivirus and antispam software, and file integrity checking software. Further, the organization is consistently capturing and sharing lessons learned on the effectiveness of its incident detection policies and procedures and making updates as necessary. In addition, the organization is meeting logging requirements at maturity EL1 (basic), in accordance with M-21-31.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-30-4,IG-30,ML-4,Managed and Measurable,"The organization monitors and analyzes qualitative and quantitative performance measures on the effectiveness of its incident detection and analysis policies and procedures. The organization ensures that data supporting metrics are obtained accurately, consistently, and in a reproducible format. The organization uses profiling techniques to measure the characteristics of expected activities on its networks and systems so that it can more effectively detect security incidents. Examples of profiling include running file integrity checking software on hosts to derive checksums for critical files and monitoring network bandwidth usage to determine what the average and peak usage levels are on various days and times. Through profiling techniques, the organization maintains a comprehensive baseline of network operations and expected data flows for users and systems. In addition, the organization is meeting logging requirements at maturity EL2 (intermediate)as required by OMB M-21-31.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-30-5,IG-30,ML-5,Optimized,The organization is making demonstrated progress towards implementing EL3’s (advanced) requirements for its logging capabilities.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-31-1,IG-31,ML-1,Ad Hoc,"The organization has not defined its policies, procedures, and processes for incident handling to include containment strategies for various types of major incidents, eradication activities to eliminate components of an incident and mitigate any vulnerabilities that the potential damage target system(s) and recovers were exploited, and recovery of systems.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-31-2,IG-31,ML-2,Defined,"The organization has defined its policies, procedures, and processes for incident handling to include containment strategies for each key incident type. In developing its strategies, the organization takes into consideration: to and theft of resources, the need for evidence preservation, service availability, time and resources needed to implement the strategy, effectiveness of the strategy, and duration of the solution. In addition, the organization has defined its processes to eradicate components of an incident, mitigate any vulnerabilities that were exploited, and recover system operations.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-31-3,IG-31,ML-3,Consistently Implemented,"The organization consistently implements an enterprise-wide incident handling policies, procedures, containment strategies, and incident eradication processes. In addition, the organization consistently implements enterprise-wide processes to remediate vulnerabilities that may have been exploited on the system operations. Further, the organization is consistently capturing and protecting incident data and metadata at an enterprise-wide level and sharing lessons learned on the effectiveness of its incident handling policies and procedures and making updates as necessary.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-31-4,IG-31,ML-4,Managed and Measurable,"The organization monitors and analyzes qualitative and quantitative performance measures on the effectiveness of its incident handling policies and procedures. The organization ensures that data supporting metrics are obtained accurately, consistently, and in a rules for reproducible format. The organization manages and measures the impact of successful incidents and can quickly mitigate related vulnerabilities on other systems so that they are not subject to exploitation of the same vulnerability.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-31-5,IG-31,ML-5,Optimized,"The organization uses dynamic reconfiguration (e.g., changes to router rules, access control lists, and filter firewalls and gateways) to stop attacks, misdirect attackers, and to isolate components of systems.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-33-1,IG-33,ML-1,Ad Hoc,"The organization has not defined its policies, procedures, and processes for conducting organizational and system-level BIAs and for incorporating the results into strategy and plan development efforts.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-33-2,IG-33,ML-2,Defined,"The organization has defined its policies, procedures, and processes for conducting organizational and system-level BIAs and for incorporating the results into strategy and plan development efforts, such as its incident response plan, information system contingency plans, and continuity of operations plan (COOP).",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-33-3,IG-33,ML-3,Consistently Implemented,"The organization consistently incorporates the results of organizational and system level BIAs into strategy and plan development efforts. System level BIAs are integrated with the organizational level BIA and include: • Characterization of all system components • Determination of missions/business processes and recovery criticality • Identification of resource requirements • Identification of recovery priorities for system resources. The results of the BIA are consistently used to determine contingency planning requirements and priorities, including mission essential functions/high value assets.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-33-4,IG-33,ML-4,Managed and Measurable,"The organization ensures that the results of organizational and system level BIAs are integrated with enterprise risk management processes, for consistently evaluating, recording, and monitoring the criticality and sensitivity of enterprise assets. As appropriate, the organization uses the results of its BIA in conjunction with its risk register to calculate potential losses and inform senior level decision making.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-33-5,IG-33,ML-5,Optimized,"The organization integrates its BIA and asset management processes to improve risk identification, accurate exposure consideration (based on realistic calculations of harmful impacts), and effective risk response.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-34-1,IG-34,ML-1,Ad Hoc,"The organization has not defined its policies, procedures, and processes for information system contingency plan testing/exercises. ISCP tests are performed in an ad-hoc, reactive manner.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-34-2,IG-34,ML-2,Defined,"Policies, procedures, and processes for information system contingency plan testing and exercises have been defined and include, as applicable, notification procedures, system recovery on an alternate platform from backup media, internal and external connectivity, system performance using alternate equipment, restoration of normal procedures, and coordination with other business areas/continuity plans, and tabletop and functional exercises.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-34-3,IG-34,ML-3,Consistently Implemented,"Information system contingency plan testing and exercises are consistently implemented. ISCP testing and exercises are integrated, to the extent practicable, with testing of related plans, such as incident response plan/COOP/Business Continuity Plan (BCP).",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-34-4,IG-34,ML-4,Managed and Measurable,"The organization employs automated mechanisms to test system contingency plans more thoroughly and effectively. In addition, the organization coordinates plan testing with external stakeholders (e.g., Information and Communications Technology (ICT) supply chain partners/providers), as appropriate.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-34-5,IG-34,ML-5,Optimized,"Based on risk, the organization performs a full recovery and reconstitution of systems to a known state. In addition, the organization proactively employs [organization defined mechanisms] to disrupt or adversely affect the system or system component and test the effectiveness of contingency planning processes.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
