source_evidence_id,guide_metric_id,text,source_document
EVID-147,GUIDE-24,Cybersecurity Workforce assessment considers the agency’s risk profile and includes any relevant skill gaps;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-148,GUIDE-24,Content of awareness and role-based training programs;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-149,GUIDE-24,Action plan to close gaps identified through its workforce assessment;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-150,GUIDE-26,"ISCM strategy, including evidence that the strategy was developed for selected systems;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-151,GUIDE-26,ISCM policies and procedures;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-152,GUIDE-26,Agency-wide information security policy;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-153,GUIDE-26,"List of approved continuous monitoring tools and technologies. assessment products, for selected systems; functional with visibility of all organizational assets; process. schedules, POA&Ms, SSPs, SARs, and ATO letters).",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-154,GUIDE-26,"Evidence supporting continuous monitoring tools and technologies are used in other security domains, including risk management, configuration management, incident response, and business continuity.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-155,GUIDE-27,Information security program policy;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-156,GUIDE-27,"ISCM strategy, policies, and procedures;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-157,GUIDE-27,Organizational charts;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-158,GUIDE-27,Delegations of authority;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-159,GUIDE-27,Defined roles and responsibilities.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-160,GUIDE-27,"Evidence that individuals that are assigned the ISCM defined roles are carrying out their responsibilities at all levels (organization, business process, and information system);",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-161,GUIDE-27,Agency's IT security budget;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-162,GUIDE-27,Interviews with system security staff.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-163,GUIDE-27,"Evidence that input/knowledge/guidance/lessons learned from oversight agencies (DHS, OMB, CISA, etc.) are being incorporated into decision making for ISCM resource allocation.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-164,GUIDE-28,ISCM strategy;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-165,GUIDE-28,Assessment schedules;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-166,GUIDE-28,ISCM policies and procedures;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-167,GUIDE-28,Agency-wide information security policy.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-168,GUIDE-28,Evidence of ongoing security control assessments for a sample of systems at the appropriate level of rigor and frequency;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-169,GUIDE-28,"Evidence of system authorizations for select systems (including OSA schedules, POA&Ms, SSPs, SARs, and ATO letters);",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-170,GUIDE-28,"Organization-wide risk management strategy, appetite, and tolerance.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-171,GUIDE-28,"Evidence of the generation and collection of security-related information for all implemented security controls, including inherited common controls, at the frequencies specified in the ISCM strategy.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-172,GUIDE-28,See assessor best practices below.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-173,GUIDE-30,"Incident detection and analysis strategies, policies, procedures, and standards, including a common threat vector taxonomy;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-174,GUIDE-30,Enterprise-level incident response plan;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-175,GUIDE-30,Network architecture diagram highlighting the layers of protection/technologies in place to detect and analyze incidents;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-176,GUIDE-30,SOPs for supporting technologies used to detect/analyze potential incidents.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-177,GUIDE-30,"Sample of incident tickets, including those submitted to US-CERT; precursors and indicators captured for the tools listed in Question #58 and for the following tools:",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-178,GUIDE-30,"Web application protections, such as web application firewalls.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-179,GUIDE-30,"Event and incident management, such as intrusion detection and prevention tools, and incident tracking and reporting tools.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-180,GUIDE-30,"Aggregation and analysis, such as security information and event management (SIEM) products.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-181,GUIDE-30,"Malware detection, such as antivirus and antispam software technologies.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-182,GUIDE-30,"Information management, such as data loss prevention",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-183,GUIDE-30,"File integrity and endpoint and server security tools. the effectiveness of the incident detection and analysis policies and procedures; (EDR); implementation gaps, coordinate deployment of EDR tools;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-184,GUIDE-31,Containment strategies for each major incident type;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-185,GUIDE-31,"Incident response policies, procedures, and plans.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-186,GUIDE-31,"Sample of incident tickets to obtain evidence that incident handling policies and procedures, containment strategies, and incident eradication processes were",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-187,GUIDE-33,"Information security strategy and policy; planning strategy, policies, and procedures, including the requirements to use Business Impact. procedures, and processes. ensure it includes system-level components, missions, and recovery critically/priorities into strategy and plan development; information system contingency plans to ensure that BIAs are used to determine contingency planning requirements and priorities, including mission essential functions/high value assets; ensure organizational systems are covered by business impact analysis. with organizational ERM processes; that the enterprise risk management processes include BIAs as part of the evaluating and monitoring of the criticality and sensitivity of enterprise assets; with the organization’s risk register to calculate potential losses and inform decision making.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-188,GUIDE-34,Information security strategy and policy;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-189,GUIDE-34,"Information system contingency planning strategy, policies, and procedures, including the requirements to perform tests or exercises.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-190,GUIDE-34,Sample information system contingency planning testing results;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-191,GUIDE-34,"Results of testing of continuity of operations, business continuity, or disaster recovery plans;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-192,GUIDE-34,"Review the independent assessment of CP-4 security control across the organization. Assessment determines whether contingency plans are tested,",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
