guidelineprovision_id,guideline_id,schedule_id,label,level,text,act_section_refs,schedule_refs,para_refs,source_document
S2-P6.6-c1,S2-P6.6,SCH-II,(1),num,"All information assets shall be assigned an ""owner"" responsible for the integrity of that data/resource. Custodians shall be assigned and shall be jointly responsible for information assets by providing computer controls to assist owners.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.6-c2,S2-P6.6,SCH-II,(2),num,The operating system or security system of the computer system shall:,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.6-c2-i,S2-P6.6,SCH-II,(2)(i),roman,Define user authority and enforce access control to data within the computer system;,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.6-c2-ii,S2-P6.6,SCH-II,(2)(ii),roman,"Be capable of specifying, for each named individual, a list of named data objects (e.g. file, programme) or groups of named objects, and the type of access allowed.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.6-c3,S2-P6.6,SCH-II,(3),num,"For networked or shared computer systems, system users shall be limited to a profile of data objects required to perform their needed tasks.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.6-c4,S2-P6.6,SCH-II,(4),num,Access controls for any data and/or resources shall be determined as part of the systems analysis and design process.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.6-c5,S2-P6.6,SCH-II,(5),num,Application Programmer shall not be allowed to access the production system.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P7-c1,S2-P7,SCH-II,(1),num,"Security tokens/smart cards/bio-metric technologies such as Iris recognition, finger print verification technologies etc. shall be used to complement the usage of passwords to access the computer system.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P7-c2,S2-P7,SCH-II,(2),num,"For computer system processing sensitive data, access by other organisations shall be prohibited or strictly controlled.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P7-c3,S2-P7,SCH-II,(3),num,"For sensitive data, encryption of data in storage shall be considered to protect its confidentiality and integrity.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.1-c1,S2-P8.1,SCH-II,(1),num,Procedures shall be established to ensure that all changes to the job schedules are appropriately approved. The authority to approve changes to job schedules shall be clearly assigned.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.1-c2,S2-P8.1,SCH-II,(2),num,"As far as possible, automated job scheduling should be used. Manual job scheduling should require prior approval from the competent authority.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.2-c1,S2-P8.2,SCH-II,(1),num,Procedures shall be established to ensure that only authorised and correct job stream and parameter changes are made.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.2-c2,S2-P8.2,SCH-II,(2),num,Procedures shall be established to maintain logs of system activities. Such logs shall be reviewed by a competent independent party for indications of dubious activities. Appropriate retention periods shall be set for such logs.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.2-c3,S2-P8.2,SCH-II,(3),num,Procedures shall be established to ensure that people other than well- trained computer operators are prohibited from operating the computer equipment.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.2-c4,S2-P8.2,SCH-II,(4),num,"Procedures shall be implemented to ensure the secure storage or distribution of all outputs/reports, in accordance with procedures defined by the owners for each system.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c1,S2-P8.3,SCH-II,(1),num,Responsibilities for media library management and protection shall be clearly defined and assigned.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c2,S2-P8.3,SCH-II,(2),num,"All media containing sensitive data shall be stored in a locked room or cabinets, which must be fire resistant and free of toxic chemicals.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c3,S2-P8.3,SCH-II,(3),num,Access to the media library (both on-site and off-site) shall be restricted to the authorized persons only. A list of personnel authorised to enter the library shall be maintained.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c4,S2-P8.3,SCH-II,(4),num,"The media containing sensitive and back up data must be stored at three different physical locations in the country, which can be reached in few hours.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c5,S2-P8.3,SCH-II,(5),num,A media management system shall be in place to account for all media stored on-site and off-site.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c6,S2-P8.3,SCH-II,(6),num,All incoming/outgoing media transfers shall be authorised by management and users.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c7,S2-P8.3,SCH-II,(7),num,An independent physical inventory check of all media shall be conducted at least every six months.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c8,S2-P8.3,SCH-II,(8),num,"All media shall have external volume identification. Internal labels shall be fixed, where available.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c9,S2-P8.3,SCH-II,(9),num,Procedures shall be in place to ensure that only authorised addition/removal of media from the library is allowed.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.3-c10,S2-P8.3,SCH-II,(10),num,Media retention periods shall be established and approved by management in accordance with legal/regulatory and user requirements.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.4-c1,S2-P8.4,SCH-II,(1),num,Proper records of all movements of computer tapes/disks between on- site and off-site media library must be maintained.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.4-c2,S2-P8.4,SCH-II,(2),num,There shall be procedures to ensure the authorized and secure transfer to media to/from external parties and the off-site location. A means to authenticate the receipt shall be in place.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P8.4-c3,S2-P8.4,SCH-II,(3),num,Computer media that are being transported to off-site data backup locations should be stored in locked carrying cases that provide magnetic field protection and protection from impact while loading and unloading and during transportation.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c1,S2-P9,SCH-II,(1),num,"Back-up procedures shall be documented, scheduled and monitored.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2,S2-P9,SCH-II,(2),num,Up-to-date backups of all critical items shall be maintained to ensure the continued provision of the minimum essential level of service. These items include:,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2-i,S2-P9,SCH-II,(2)(i),roman,Data files,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2-ii,S2-P9,SCH-II,(2)(ii),roman,Utilities programmes,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2-iii,S2-P9,SCH-II,(2)(iii),roman,Databases,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2-iv,S2-P9,SCH-II,(2)(iv),roman,Operating system software,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2-v,S2-P9,SCH-II,(2)(v),roman,Applications system software,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2-vi,S2-P9,SCH-II,(2)(vi),roman,Encryption keys,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2-vii,S2-P9,SCH-II,(2)(vii),roman,Pre-printed forms,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c2-viii,S2-P9,SCH-II,(2)(viii),roman,Documentation (including a copy of the business continuity plans),,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c3,S2-P9,SCH-II,(3),num,"One set of the original disks for all operating system and application software must be maintained to ensure that a valid, virus-free backup exists and is available for use at any time.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c4,S2-P9,SCH-II,(4),num,"Backups of the system, application and data shall be performed on a regular basis. Backups should also be made for application under development and data conversion efforts.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c5,S2-P9,SCH-II,(5),num,"Data backup is required for all systems including personal computers, servers and distributed systems and databases.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c6,S2-P9,SCH-II,(6),num,Critical system data and file server software must have full backups taken weekly.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c7,S2-P9,SCH-II,(7),num,"The backups must be kept in an area physically separate from the server. If critical system data on the LAN represents unique versions of the information assets, then the information backups must be rotated on a periodic basis to an off-site storage location.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c8,S2-P9,SCH-II,(8),num,Critical system data and file server software must have incremental backups taken daily.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c9,S2-P9,SCH-II,(9),num,"Systems that are completely static may not require periodic backup, but shall be backed up after changes or updates in the information.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c10,S2-P9,SCH-II,(10),num,Each LAN/system should have a primary and backup operator to ensure continuity of business operations.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P9-c11,S2-P9,SCH-II,(11),num,The business recovery plan should be prepared and tested on an annual basis.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c1,S2-P10,SCH-II,(1),num,Transactions that meet exception criteria shall be completely and accurately highlighted and reviewed by personnel independent of those that initiate the transaction.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c2,S2-P10,SCH-II,(2),num,"Adequate audit trails shall be captured and certain information needed to determine sensitive events and pattern analysis that would indicate possible fraudulent use of the system (e.g. repeated unsuccessful logons, access attempts over a series of days) shall be analyzed. This information includes such information as who, what, when, where, and any special information such as:",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c2-i,S2-P10,SCH-II,(2)(i),roman,Success or failure of the event,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c2-ii,S2-P10,SCH-II,(2)(ii),roman,"Use of authentication keys, where applicable",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c3,S2-P10,SCH-II,(3),num,"Automated or manual procedures shall be used to monitor and promptly report all significant security events, such as accesses, which are out-of-pattern relative to time, volume, frequency, type of information asset, and redundancy. Other areas of analysis include:",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c3-i,S2-P10,SCH-II,(3)(i),roman,"Significant computer system events (e.g. configuration updates, system crashes)",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c3-ii,S2-P10,SCH-II,(3)(ii),roman,Security profile changes,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c3-iii,S2-P10,SCH-II,(3)(iii),roman,"Actions taken by computer operations, system administrators, system programmers, and/or security administrators",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c4,S2-P10,SCH-II,(4),num,"The real time clock of the computer system shall be set accurately to ensure the accuracy of audit logs, which may be required for investigations or as evidence in legal or disciplinary cases.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c5,S2-P10,SCH-II,(5),num,The real time clock of the computer or communications device shall be set to Indian Standard Time (IST). Further there shall be a procedure that checks and corrects drift in the real time clock.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c6,S2-P10,SCH-II,(6),num,"Computer system access records shall be kept for a minimum of two years, in either hard copy or electronic form. Records, which are of legal nature and necessary for any legal or regulation requirement or investigation of criminal behaviour, shall be retained as per laws of the land.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P10-c7,S2-P10,SCH-II,(7),num,Computer records of applications transactions and significant events must be retained for a minimum period of two years or longer depending on specific record retention requirements.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c1,S2-P11,SCH-II,(1),num,Responsibilities and duties shall be assigned to ensure that all file servers and personal computers are equipped with up-to-date virus protection and detection software.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c2,S2-P11,SCH-II,(2),num,Virus detection software must be used to check storage drives both internal and external to the system on a periodic basis.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c3,S2-P11,SCH-II,(3),num,"All diskettes and software shall be screened and verified by virus detection software before being loaded onto the computer system. No magnetic media like tape cartridge, floppies etc. brought from outside shall be used on the data, file, PKI or computer server or personal computer on Intranet and Internet without proper screening and verification by virus detection software.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c4,S2-P11,SCH-II,(4),num,"A team shall be designated to deal with reported or suspected incidents of computer virus. The designated team shall ensure that latest version of anti-virus software is loaded on all data, file, PKI servers and personal computers.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c5,S2-P11,SCH-II,(5),num,Procedures shall be established to limit the spread of viruses to other organization information assets. Such procedures inter alia shall include:,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c5-i,S2-P11,SCH-II,(5)(i),roman,Communication to other business partners and users who may be at risk from an infected resource,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c5-ii,S2-P11,SCH-II,(5)(ii),roman,Eradication and recovery procedures,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c5-iii,S2-P11,SCH-II,(5)(iii),roman,Incident report must be documented and communicated per established procedures.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P11-c6,S2-P11,SCH-II,(6),num,"An awareness and training programme shall be established to communicate virus protection practices, available controls, areas of high risk to virus infection and responsibilities.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P12-t1,S2-P12,SCH-II,,text,"Whenever computers or computer peripherals are relocated (e.g. for maintenance, installation at different sites or storage), the following guidelines shall apply:",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P12-ci,S2-P12,SCH-II,(i),roman,All removable media will be removed from the computer system and kept at secure location.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P12-cii,S2-P12,SCH-II,(ii),roman,"Internal drives will be overwritten, reformatted or removed as the situation may be.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P12-ciii,S2-P12,SCH-II,(iii),roman,"If applicable, ribbons will be removed from printers.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P12-civ,S2-P12,SCH-II,(iv),roman,All paper will be removed from printers.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-t1,S2-P13,SCH-II,,text,"Whenever, the hardware and software maintenance of the computer or computer network is being carried out, the following should be considered:",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c1,S2-P13,SCH-II,(1),num,Proper placement and installation of Information Technology equipment to reduce the effects of interference due to electromagnetic emanations.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c2,S2-P13,SCH-II,(2),num,Maintenance of an inventory and configuration chart of hardware.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c3,S2-P13,SCH-II,(3),num,Identification and use of security features implemented within hardware.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c4,S2-P13,SCH-II,(4),num,"Authorization, documentation, and control of change made to the hardware.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c5,S2-P13,SCH-II,(5),num,Identification of support facilities including power and air conditioning.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c6,S2-P13,SCH-II,(6),num,Provision of an uninterruptible power supply.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c7,S2-P13,SCH-II,(7),num,Maintenance of equipment and services.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c8,S2-P13,SCH-II,(8),num,"Organisation must make proper arrangements for maintenance of computer hardware, software (both system and application) and firmware installed and used by them. It shall be the responsibility of the officer in charge of the operational site to ensure that contract for annual maintenance of hardware is always in place.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c9,S2-P13,SCH-II,(9),num,"Organisation must enter into maintenance agreements, if necessary, with the supplier of computer and communication hardware, software (both system and application) and firmware.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c10,S2-P13,SCH-II,(10),num,Maintenance personnel will sign non-disclosure agreements.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c11,S2-P13,SCH-II,(11),num,The identities of all hardware and software vendor maintenance staff should be verified before allowing them to carry out maintenance work.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c12,S2-P13,SCH-II,(12),num,All maintenance personnel should be escorted within the operational site/computer system and network installation room by the authorized personnel of the organisation.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c13,S2-P13,SCH-II,(13),num,"After maintenance, any exposed security parameters such as passwords, user IDs, and accounts will be changed or reset to eliminate any potential security exposures.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P13-c14,S2-P13,SCH-II,(14),num,"If the computer system, computer network or any of its devices is vulnerable to computer viruses as a result of performing maintenance, system managers or users shall scan the computer system and its devices and any media affected for viruses as a result of maintenance.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P14-c1,S2-P14,SCH-II,(1),num,"Hardware and software products that contain or are to be used to enforce security, and intended for use or interface into any organisation system or network, must be verified to comply with these Information Technology Security Guidelines prior to the signing of any contract, purchase or lease.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P14-c2,S2-P14,SCH-II,(2),num,"Software, which is capable of bypassing or modifying the security system or operating system, integrity features, must be verified to determine that they conform to these Information Technology Security Guidelines. Where such compliance is not possible, then procedures shall be in place to ensure that the implementation and operation of that software does not compromise the security of the system.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P14-c3,S2-P14,SCH-II,(3),num,"There shall be procedures to identify, select, implement and control software (system and application software) acquisition and installation to ensure compliance with the Indian Copyright Act and Information Technology Security Guidelines.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P14-c4,S2-P14,SCH-II,(4),num,"It is prohibited to knowingly install on any system whether test or production, any software which is not licensed for use on the specific systems or networks.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P14-c5,S2-P14,SCH-II,(5),num,"No software will be installed and used on the system when appropriate licensing agreements do not exist, except during evaluation periods for which the user has documented permission to install and test the software under evaluation.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P14-c6,S2-P14,SCH-II,(6),num,"Illegally acquired or unauthorized software must not be used on any computer, computer network or data communication equipment. In the event that any illegally acquired or unauthorized software is detected by the System Administrator or Network Administrator, the same must be removed immediately.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c1,S2-P15,SCH-II,(1),num,All system software options and parameters shall be reviewed and approved by the management.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c2,S2-P15,SCH-II,(2),num,System software shall be comprehensively tested and its security functionality validated prior to implementation.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c3,S2-P15,SCH-II,(3),num,All vendor supplied default user IDs shall be deleted or password changed before allowing users to access the computer system.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c4,S2-P15,SCH-II,(4),num,Versions of system software installed on the computer system and communication devices shall be regularly updated.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c5,S2-P15,SCH-II,(5),num,All changes proposed in the system software must be appropriately justified and approved by an authorised party.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c6,S2-P15,SCH-II,(6),num,"A log of all changes to system software shall be maintained, completely documented and tested to ensure the desired results.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c7,S2-P15,SCH-II,(7),num,"Procedures to control changes initiated by vendors shall be in accordance with para 21 pertaining to ""Change Management "".",,,21,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c8,S2-P15,SCH-II,(8),num,"There shall be no standing ""Write"" access to the system libraries. All ""Write"" access shall be logged and reviewed by the System Administrator for dubious activities.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c9,S2-P15,SCH-II,(9),num,System Programmers shall not be allowed to have access to the application system's data and programme files in the production environment.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P15-c10,S2-P15,SCH-II,(10),num,Procedures to control the use of sensitive system utilities and system programmes that could bypass intended security controls shall be in place and documented. All usage shall be logged and reviewed by the System Administrator and another person independent of System Administrator for dubious activities.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P16-c1,S2-P16,SCH-II,(1),num,"All documentation pertaining to application software and sensitive system software and changes made therein shall be updated to the current time, accurately and stored securely. An up-to-date inventory list of all documentation shall be maintained to ensure control and accountability.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P16-c2,S2-P16,SCH-II,(2),num,All documentation and subsequent changes shall be reviewed and approved by an independent authorised party prior to issue.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P16-c3,S2-P16,SCH-II,(3),num,"Access to application software documentation and sensitive system software documentation shall be restricted to authorised personnel on a ""need-to-use"" basis only.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P16-c4,S2-P16,SCH-II,(4),num,Adequate backups of all documentation shall be maintained and a copy of all critical documentation and manuals shall be stored off-site.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P16-c5,S2-P16,SCH-II,(5),num,Documentation shall be classified according to the sensitivity of its contents/implications.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P16-c6,S2-P16,SCH-II,(6),num,"Organisations shall adopt a clean desk policy for papers, diskettes and other documentation in order to reduce the risks of unauthorised access, loss of and damage to information outside normal working hours.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P17-c1,S2-P17,SCH-II,(1),num,"All sensitive information on the network shall be protected by using appropriate techniques. The critical network devices such as routers, switches and modems should be protected from physical damage.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P17-c2,S2-P17,SCH-II,(2),num,The network configuration and inventories shall be documented and maintained.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P17-c3,S2-P17,SCH-II,(3),num,Prior authorization of the Network Administrator shall be obtained for making any changes to the network configuration. The changes made in the network configuration shall be documented. The threat and risk assessment of the network after changes in the network configuration shall be reviewed. The network operation shall be monitored for any security irregularity. A formal procedure should be in place for identifying and resolving security problems.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P17-c4,S2-P17,SCH-II,(4),num,Physical access to communications and network sites shall be controlled and restricted to authorized individuals only in accordance with para 4.4 pertaining to “Physical Access”.,,,4.4,KB 2/India/Information Technology Act 2000.pdf
S2-P17-c5,S2-P17,SCH-II,(5),num,Communication and network systems shall be controlled and restricted to authorized individuals only in accordance with para 6.2 – System Access Control.,,,6.2,KB 2/India/Information Technology Act 2000.pdf
S2-P17-c6,S2-P17,SCH-II,(6),num,"As far as possible, transmission medium within the Certifying Authority’s operational site should be secured against electro magnetic transmission. In this regard, use of Optical Fibre Cable and armoured cable may be preferred as transmission media as the case may be.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P17-c7,S2-P17,SCH-II,(7),num,"Network diagnostic tools, e.g., spectrum analyzer, protocol analyzer should be used on a need basis.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P18-c1,S2-P18,SCH-II,(1),num,Intelligent devices generally known as “Firewalls” shall be used to isolate organisation’s data network with the external network. Firewall device should also be used to limit network connectivity for unauthorized use.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P18-c2,S2-P18,SCH-II,(2),num,Networks that operate at varying security levels shall be isolated from each other by appropriate firewalls. The internal network of the organization shall be physically and logically isolated from the Internet and any other external connection by a firewall.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P18-c3,S2-P18,SCH-II,(3),num,All firewalls shall be subjected to thorough test for vulnerability prior to being put to use and at least half-yearly thereafter.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P18-c4,S2-P18,SCH-II,(4),num,All web servers for access by Internet users shall be isolated from other data and host servers.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P19-c1,S2-P19,SCH-II,(1),num,Organisation shall establish procedure for allowing connectivity of their computer network or computer system to non- organisation computer system or networks. The permission to connect other networks and computer system shall be approved by the Network Administrator and documented.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P19-c2,S2-P19,SCH-II,(2),num,All unused connections and network segments should be disconnected from active networks. The computer system/personal computer or outside terminal accessing an organisation’s host system must adhere to the general system security and access control guidelines.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P19-c3,S2-P19,SCH-II,(3),num,The suitability of new hardware/software particularly the protocol compatibility should be assessed before connecting the same to the organisation’s network.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P19-c4,S2-P19,SCH-II,(4),num,"As far as possible, no Internet access should be allowed to database server/ file server or server hosting sensitive data.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P19-c5,S2-P19,SCH-II,(5),num,The level of protection for communication and network resources should be commensurate with the criticality and sensitivity of the data transmitted.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P20-c1,S2-P20,SCH-II,(1),num,"Each organization shall designate a properly trained “Network Administrator” who will be responsible for operation, monitoring security and functioning of the network.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P20-c2,S2-P20,SCH-II,(2),num,"Network Administrator shall regularly undertake the review of network and also take adequate measures to provide physical, logical and procedural safeguards for its security. Appropriate follow up of any unusual activity or pattern of access on the computer network shall be investigated promptly by the Network Administrator.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P20-c3,S2-P20,SCH-II,(3),num,"System must include a mechanism for alerting the Network Administrator of possible breaches in security, e.g., unauthorized access, virus infection and hacking.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P20-c4,S2-P20,SCH-II,(4),num,Secure Network Management System should be implemented to monitor functioning of the computer network. Broadcast of network traffic should be minimized.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P20-c5,S2-P20,SCH-II,(5),num,Only authorized and legal software shall be used on the network.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P20-c6,S2-P20,SCH-II,(6),num,"Shared computer systems, network devices used for business applications shall comply with the requirement established in para 6 – System Integrity and Security Measures.",,,6,KB 2/India/Information Technology Act 2000.pdf
S2-P21.1-c1,S2-P21.1,SCH-II,(1),num,"Procedures for tracking and managing changes in application software, system software, hardware and data in the production system shall be established. Organisational responsibilities for the change management process shall be defined and assigned.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.1-c2,S2-P21.1,SCH-II,(2),num,"A risk and impact analysis, classification and prioritisation process shall be established.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.1-c3,S2-P21.1,SCH-II,(3),num,No changes to a production system shall be implemented until such changes have been formally authorised. Authorisation procedures for change control shall be defined and documented.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.1-c4,S2-P21.1,SCH-II,(4),num,Owners/Users shall be notified of all changes made to production system which may affect the processing of information on the said production system.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.1-c5,S2-P21.1,SCH-II,(5),num,Fall-back procedures in the event of a failure in the implementation of the change process shall be established and documented.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.1-c6,S2-P21.1,SCH-II,(6),num,"Procedures to protect, control access and changes to production source code, data, execution statements and relevant system documentation shall be documented and implemented.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.1-c7,S2-P21.1,SCH-II,(7),num,Version changes of application software and all system software installed on the computer systems and all communication devices shall be documented. Different versions of application software and system software must be kept in safe custody.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.2-c1,S2-P21.2,SCH-II,(1),num,All changes in computer resource proposed in the production system shall be tested and the test results shall be reviewed and accepted by all concerned parties prior to implementation.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.2-c2,S2-P21.2,SCH-II,(2),num,"All user acceptance tests in respect of changes in computer resource in production system shall be performed in a controlled environment which includes: (i) Test objectives, (ii) A documented test plan, and (iii) acceptance criteria.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.3-c1,S2-P21.3,SCH-II,(1),num,Procedures shall be established for an independent review of programme changes before they are moved into a production environment to detect unauthorised or malicious codes.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.3-c2,S2-P21.3,SCH-II,(2),num,Procedures shall be established to schedule and review the implementation of the changes in computer resource in the production system so as to ensure proper functioning.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.3-c3,S2-P21.3,SCH-II,(3),num,All emergency changes/fixes in computer resource in the production system shall be reviewed and approved.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P21.3-c4,S2-P21.3,SCH-II,(4),num,Periodic management reports on the status of the changes implemented in the computer resourcde in the production system shall be submitted for management review.,,,,KB 2/India/Information Technology Act 2000.pdf
