glossaryterm_id,schedule_id,term,definition,act_section_refs,source_document
GLOSS-NONREPUDIATION,SCH-V,NONREPUDIATION,"Provides proof of the origin or delivery of data in order to protect the sender against a false denial by the recipient that the data has been received or to protect the recipient against false denial by the sender that the data has been sent. Note: Only a trier of fact (someone with the authority to resolve disputes) can make an ultimate determination of non-repudiation. By way of illustration, a digital signature verified pursuant to this Certification Practice Statement can provide proof in support of a determination of non-repudiation by a trier of fact, but does not by itself constitute non- repudiation.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-NOTARY,SCH-V,NOTARY,"A natural person authorized by an executive governmental agency to perform notarial services such as taking acknowledgments, administering oaths or affirmations, witnessing or attesting signatures, and noting protests of negotiable instruments.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ON-LINE,SCH-V,ON-LINE,Communications that provide a real-time connection.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-OPERATIONS-ZONE,SCH-V,OPERATIONS ZONE,"An area where access is limited to personnel who work there and to properly escorted visitors. Operations Zones should be monitored at least periodically, based on a threat risk assessment (TRA), and should preferably be accessible from a Reception Zone.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-OPERATIONAL-CERTIFICATE,SCH-V,OPERATIONAL CERTIFICATE,"A Digital Signature Certificate which is within its operational period at the present date and time or at a different specified date and time, depending on the context.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-OPERATIONAL-MANAGEMENT,SCH-V,OPERATIONAL MANAGEMENT,Refers to all business/service unit management (i.e. the user management) as well as Information Technology management.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-OPERATIONAL-PERIOD,SCH-V,OPERATIONAL PERIOD,The period starting with the date and time a Digital Signature Certificate is issued (or on a later date and time certain if stated in the Digital Signature Certificate) and ending with the date and time on which the Digital Signature Certificate expires or is earlier suspended or revoked.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ORGANIZATION,SCH-V,ORGANIZATION,An entity with which a user is affiliated. An organization may also be a user.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ORIGINATOR,SCH-V,ORIGINATOR,"A person who sends, generates, stores or transmits any electronic message or causes any electronic message to be sent, generated, stored or transmitted to any other person but does not include an intermediary.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PASSWORD-PASS-PHRASE-PIN-NUMBER,SCH-V,PASSWORD (PASS PHRASE; PIN NUMBER),Confidential authentication information usually composed of a string of characters used to provide access to a computer resource.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PARTICULARLY-SENSITIVE,SCH-V,PARTICULARLY SENSITIVE,"Applies to information that, if compromised, could reasonably be expected to cause serious injury outside the national interest, for example loss of reputation or competitive advantage.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PC-CARD-SEE-ALSO-SMART-CARD,SCH-V,PC CARD (SEE ALSO SMART CARD),"A hardware token compliant with standards promulgated by the Personal Computer Memory Card International Association (PCMCIA) providing expansion capabilities to computers, including the facilitation of information security.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PERSON,SCH-V,PERSON,"Means any company or association or individual or body of individuals, whether incorporated or not.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PERSONAL-PRESENCE,SCH-V,PERSONAL PRESENCE,The act of appearing (physically rather than virtually or figuratively) before a Certifying Authority or its designee and proving one's identity as a prerequisite to Digital Signature Certificate issuance under certain circumstances.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PKI-PUBLIC-KEY-INFRASTRUCTURE-PKI-SERVER,SCH-V,PKI (PUBLIC KEY INFRASTRUCTURE) / PKI SERVER,"A set of policies, processes, server platforms, software and workstations used for the purpose of administering Digital Signature Certificates and public-private key pairs, including the ability to generate, issue, maintain, and revoke public key certificates.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PKI-HIERARCHY,SCH-V,PKI HIERARCHY,A set of Certifying Authorities whose functions are organized according to the principle of delegation of authority and related to each other as subordinate and superior Certifying Authority.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PLEDGE-SEE-SOFTWARE-PUBLISHER-S-PLEDGE,SCH-V,PLEDGE (See SOFTWARE PUBLISHER’S PLEDGE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-POLICY,SCH-V,POLICY,"A brief document that states the high-level organization position, states the scope, and establishes who is responsible for compliance with the policy and the corresponding standards. Following is an abbreviated example of what a policy may contain • Introduction • Definitions • Policy Statement identifying the need for “something” (e.g. data security) • Scope • People playing a role and their responsibilities • Statement of Enforcement, including responsibility",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PRIVATE-KEY,SCH-V,PRIVATE KEY,The key of a key pair used to create a digital signature.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PROCEDURE,SCH-V,PROCEDURE,A set of steps performed to ensure that a guideline is met.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PROGRAM,SCH-V,PROGRAM,"A detailed and explicit set of instructions for accomplishing some purpose, the set being expressed in some language suitable for input to a computer, or in machine language.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PROXY-SERVER,SCH-V,PROXY SERVER,"A server that sits between a client application such as a web browser and a real server. It intercepts all requests to the real server to see if it can fulfill the request itself. If not, it forwards the request to the real server.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PUBLIC-ACCESS-ZONE,SCH-V,PUBLIC ACCESS ZONE,"Generally surrounds or forms part of a government facility. Examples include the grounds surrounding a building, and public corridors and elevator lobbies in multiple-occupancy buildings. Boundary designators such as signs and direct or remote surveillance may be used to discourage unauthorized activity.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PUBLIC-KEY,SCH-V,PUBLIC KEY,The key of a key pair used to verify a digital signature and listed in the Digital Signature Certificate.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PUBLIC-KEY-CERTIFICATE-SEE-CERTIFICATE,SCH-V,PUBLIC KEY CERTIFICATE (See CERTIFICATE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PUBLIC-KEY-CRYPTOGRAPHY-SEE-CRYPTOGRAPHY,SCH-V,PUBLIC KEY CRYPTOGRAPHY        (See CRYPTOGRAPHY),A type of cryptography that uses a key pair of mathematically related cryptographic keys. The public key can be made available to anyone who wishes to use it and can encrypt information or verify a digital signature; the private key is kept secret by its holder and can decrypt information or generate a digital signature.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PUBLIC-KEY-INFRASTRUCTURE-PKI,SCH-V,PUBLIC KEY INFRASTRUCTURE (PKI),"The architecture, organization, techniques, practices, and procedures that collectively support the implementation and operation of a certificate-based public key cryptographic system. It includes a set of policies, processes, server platforms, software and workstations, used for the purpose of administering Digital Signature Certificates and keys.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-PUBLIC-PRIVATE-KEY-PAIR-SEE-PUBLIC-KEY-PRIVATE-KEY-KEY-PAIR,SCH-V,PUBLIC/PRIVATE KEY PAIR     (See PUBLIC KEY; PRIVATE KEY; KEY PAIR),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RECIPIENT-OF-A-DIGITAL-SIGNATURE,SCH-V,RECIPIENT (of a DIGITAL SIGNATURE),"A person who receives a digital signature and who is in a position to rely on it, whether or not such reliance occurs. (See also RELYING PARTY)",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RECORD,SCH-V,RECORD,Information that is inscribed on a tangible medium (a document) or stored in an electronic or other medium and retrievable in perceivable form. The term “record” is a superset of the two terms “document” and “message”. (See also DOCUMENT; MESSAGE),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RE-ENROLLMENT-SEE-ALSO-RENEWAL,SCH-V,RE-ENROLLMENT (See also RENEWAL),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RELY-RELIANCE-ON-A-CERTIFICATE-AND-DIGITAL-SIGNATURE,SCH-V,RELY / RELIANCE (on a CERTIFICATE and DIGITAL SIGNATURE),To accept a digital signature and act in a manner that could be detrimental to oneself were the digital signature to be ineffective. (See also RELYING PARTY; RECIPIENT),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RELYING-PARTY,SCH-V,RELYING PARTY,A recipient who acts in reliance on a certificate and digital signature. (See also RECIPIENT;,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RELY-OR-RELIANCE-ON-A-CERTIFICATE-AND-DIGITAL-SIGNATURE,SCH-V,RELY OR RELIANCE (on a CERTIFICATE and DIGITAL SIGNATURE)),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RENEWAL,SCH-V,RENEWAL,The process of obtaining a new Digital Signature Certificate of the same class and type for the same subject once an existing Digital Signature Certificate has expired.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-REPOSITORY,SCH-V,REPOSITORY,A database of Digital Signature Certificates and other relevant information accessible on-line.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-REPUDIATION-SEE-ALSO-NONREPUDIATION,SCH-V,REPUDIATION      (See also NONREPUDIATION),The denial or attempted denial by an entity involved in a communication of having participated in all or part of the communication.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-REVOKE-A-CERTIFICATE,SCH-V,REVOKE A CERTIFICATE,The process of permanently ending the operational period of a Digital Signature Certificate from a specified time forward.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RISK,SCH-V,RISK,The potential of damage to a system or associated assets that exists as a result of the combination of security threat and vulnerability.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RISK-ANALYSIS,SCH-V,RISK ANALYSIS,"The process of identifying security risks, determining their magnitude, and identifying areas needing safeguards.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RISK-ASSESSMENT,SCH-V,RISK ASSESSMENT,An analysis of system assets and vulnerabilities to establish an expected loss from certain events based on estimated probabilities of the occurrence of those events.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RISK-MANAGEMENT,SCH-V,RISK MANAGEMENT,"The total process of identifying, controlling, and eliminating or minimizing uncertain events that may affect Information Technology system resources.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-RSA,SCH-V,RSA,"A public key cryptographic system invented by Rivest, Shamir & Adelman.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECRET-SHARE,SCH-V,SECRET SHARE,A portion of a cryptographic secret split among a number of physical tokens.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECRET-SHARE-HOLDER,SCH-V,SECRET SHARE HOLDER,An authorized holder of a physical token containing a secret share.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECURE-CHANNEL,SCH-V,SECURE CHANNEL,A cryptographically enhanced communications path that protects messages against perceived security threats.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECURE-SYSTEM,SCH-V,SECURE SYSTEM,"Means computer hardware, software, and procedure that— (a) are reasonably secure from unauthorised access and misuse; (b) provide a reasonable level of reliability and correct operation; (c) are reasonably suited to performing the intended functions; and (d) adhere to generally accepted security procedures.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECURITY-PROCEDURE,SCH-V,SECURITY PROCEDURE,"Means the security procedure prescribed under section 16 of the Information Technology Act, 2000.",16,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECURITY,SCH-V,SECURITY,"The quality or state of being protected from unauthorized access or uncontrolled losses or effects. Absolute security is impossible to achieve in practice and the quality of a given security system is relative. Within a state-model security system, security is a specific ""state"" to be preserved under various operations.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECURITY-POLICY,SCH-V,SECURITY POLICY,A document which articulates requirements and good practices regarding the protections maintained by a trustworthy system.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECURITY-SERVICES,SCH-V,SECURITY SERVICES,"Services provided by a set of security frameworks and performed by means of certain security mechanisms. Such services include, but are not limited to, access control, data confidentiality, and data integrity.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SECURITY-ZONE,SCH-V,SECURITY ZONE,"An area to which access is limited to authorised personnel and to authorised and properly escorted visitors. Security Zones should preferably be accessible from an Operations Zone, and through a specific entry point. A Security Zone need not be separated from an Operations Zone by a secure perimeter. A Security Zone should be monitored 24 hours a day and 7 week by security staff, other personnel or electronic means.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SELF-SIGNED-PUBLIC-KEY,SCH-V,SELF-SIGNED PUBLIC KEY,"A data structure that is constructed the same as a Digital Signature Certificate but that is signed by its subject. Unlike a Digital Signature Certificate, a self-signed public key cannot be used in a trustworthy manner to authenticate a public key to other parties.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SERIAL-NUMBER-SEE-CERTIFICATE-SERIAL-NUMBER,SCH-V,SERIAL NUMBER     (See CERTIFICATE SERIAL NUMBER),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SERVER,SCH-V,SERVER,A computer system that responds to requests from client systems.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SIGN,SCH-V,SIGN,"To create a digital signature for a message, or to affix a signature to a document, depending upon the context.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SIGNATURE-SEE-DIGITAL-SIGNATURE,SCH-V,SIGNATURE (See DIGITAL SIGNATURE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SIGNER,SCH-V,SIGNER,"A person who creates a digital signature for a message, or a signature for a document.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SMART-CARD,SCH-V,SMART CARD,A hardware token that incorporates one or more integrated circuit (IC) chips to implement cryptographic functions and that possesses some inherent resistance to tampering.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-S-MIME,SCH-V,S/MIME,A specification for E-mail security exploiting a cryptographic message syntax in an Internet MIME environment.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SUBJECT-OF-A-CERTIFICATE,SCH-V,SUBJECT (OF A CERTIFICATE),"The holder of a private key corresponding to a public key. The term “subject” can refer to both the equipment or device that holds a private key and to the individual person, if any, who controls that equipment or device. A subject is assigned an unambiguous name, which is bound to the public key contained in the subject’s Digital Signature Certificate.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SUBJECT-NAME,SCH-V,SUBJECT NAME,"The unambiguous value in the subject name field of a Digital Signature Certificate, which is bound to the public key.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SUBSCRIBER,SCH-V,SUBSCRIBER,A person in whose name the Digital Signature Certificate is issued.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SUBSCRIBER-AGREEMENT,SCH-V,SUBSCRIBER AGREEMENT,The agreement executed between a subscriber and a Certifying Authority for the provision of designated public certification services in accordance with this Certification Practice Statement.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SUBSCRIBER-INFORMATION,SCH-V,SUBSCRIBER INFORMATION,Information supplied to a certification authority as part of a Digital Signature Certificate application. (See also CERTIFICATE APPLICATION),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SUSPEND-A-CERTIFICATE,SCH-V,SUSPEND A CERTIFICATE,"A temporary ""hold"" placed on the effectiveness of the operational period of a Digital Signature Certificate without permanently revoking the Digital Signature Certificate. A Digital Signature Certificate suspension is invoked by, e.g., a CRL entry with a reason code. (See also REVOKE A",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-2,SCH-V,CERTIFICATE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SYSTEM-ADMINISTRATOR,SCH-V,SYSTEM ADMINISTRATOR,"The person at a computer installation who designs, controls, and manages the use of the computer system.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SYSTEM-SECURITY,SCH-V,SYSTEM SECURITY,A system function that restricts the use of objects to certain users.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-SYSTEM-SOFTWARE,SCH-V,SYSTEM SOFTWARE,"Application-independent software that supports the running of application software. It is a software that is part of or made available with a computer system and that determines how application programs are run; for example, an operating system.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TEST-CERTIFICATE,SCH-V,TEST CERTIFICATE,A Digital Signature Certificate issued by a Certifying Authority for the limited purpose of internal technical testing. Test certificates may be used by authorized persons only.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-THREAT,SCH-V,THREAT,"A circumstance or event with the potential to cause harm to a system, including the destruction, unauthorized disclosure, or modification of data and/or denial of service.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TIME-OUT,SCH-V,TIME-OUT,A security feature that logs off a user if any entry is not made at the terminal within a specified period of time.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TIME-STAMP,SCH-V,TIME STAMP,"A notation that indicates (at least) the correct date and time of an action, and identity of the person or device that sent or received the time stamp.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TOKEN,SCH-V,TOKEN,"A hardware security token containing a user’s private key(s), public key certificate, and, optionally, a cache of other certificates, including all certificates in the user’s certification chain.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TRANSACTION,SCH-V,TRANSACTION,"A computer-based transfer of business information, which consists of specific processes to facilitate communication over global networks.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TRUST,SCH-V,TRUST,"Generally, the assumption that an entity will behave substantially as expected. Trust may apply only for a specific function. The key role of this term in an authentication framework is to describe the relationship between an authenticating entity and a Certifying Authority. An authenticating entity must be certain that it can trust the Certifying Authority to create only valid and reliable Digital Signature Certificates, and users of those Digital Signature Certificates rely upon the authenticating entity’s determination of trust.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TRUSTED-POSITION,SCH-V,TRUSTED POSITION,"A role that includes access to or control over cryptographic operations that may materially affect the issuance, use, suspension, or revocation of Digital Signature Certificates, including operations that restrict access to a repository.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TRUSTED-THIRD-PARTY,SCH-V,TRUSTED THIRD PARTY,"In general, an independent, unbiased third party that contributes to the ultimate security and trustworthiness of computer-based information transfers. A trusted third party does not connote the existence of a trustor-trustee or other fiduciary relationship. (Cf., TRUST)",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TRUSTWORTHY-SYSTEM,SCH-V,TRUSTWORTHY SYSTEM,"Computer hardware, software, and procedures that are reasonably secure from intrusion and misuse; provide a reasonable level of availability, reliability, and correct operation; are reasonably suited to performing their intended functions; and enforce the applicable security policy. A trustworthy system is not necessarily a “trusted system” as recognized in classified government nomenclature.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-TYPE-OF-CERTIFICATE,SCH-V,TYPE (OF CERTIFICATE),"The defining properties of a Digital Signature Certificate, which limit its intended purpose to a class of applications uniquely, associated with that type.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-UNAMBIGUOUS-NAME-SEE-DISTINGUISHED-NAME,SCH-V,UNAMBIGUOUS NAME       (See DISTINGUISHED NAME),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-UNIFORM-RESOURCE-LOCATOR-URL,SCH-V,UNIFORM RESOURCE LOCATOR (URL),A standardized device for identifying and locating certain records and other resources located on the World Wide Web.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-USER,SCH-V,USER,"An authorized entity that uses a certificate as applicant, subscriber, recipient or relying party, but not including the Certifying Authority issuing the Digital Signature Certificate. (See also",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-APPLICANT-ENTITY-PERSON-SUBSCRIBER,SCH-V,CERTIFICATE APPLICANT; ENTITY; PERSON; SUBSCRIBER),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-VALID-CERTIFICATE,SCH-V,VALID CERTIFICATE,A Digital Signature Certificate issued by a Certifying Authority and accepted by the subscriber listed in it.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-VALIDATE-A-CERTIFICATE-I-E-OF-AN-END-USER-SUBSCRIBER-CERTIFI,SCH-V,"VALIDATE A CERTIFICATE (i.e., of an END-USER SUBSCRIBER CERTIFICATE)",The process performed by a recipient or relying party to confirm that an end-user subscriber Digital Signature Certificate is valid and was operational at the date and time a pertinent digital signature was created.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-VALIDATION-OF-CERTIFICATE-APPLICATION,SCH-V,VALIDATION (OF CERTIFICATE APPLICATION),The process performed by the Certifying Authority or its agent following submission of a Digital Signature Certificate application as a prerequisite to approval of the application and the issuance of a Digital Signature Certificate. (See also AUTHENTICATION; SOFTWARE VALIDATION),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-VALIDATION-OF-SOFTWARE-SEE-SOFTWARE-VALIDATION,SCH-V,VALIDATION (OF SOFTWARE) (See SOFTWARE VALIDATION),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-VERIFY-A-DIGITAL-SIGNATURE,SCH-V,VERIFY (A DIGITAL SIGNATURE),"In relation to a digital signature, electronic record or public key, with its grammatical variations and cognate expressions means to determine whether — (a) the initial electronic record was affixed with the digital signature by the use of private key corresponding to the public key of the subscriber; (b) the initial electronic record is retained intact or has been altered since such electronic record was so affixed with the digital signature.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-VIRUS,SCH-V,VIRUS,"Means any computer instruction, information, data or programme that destroys, damages, degrades or adversely affects the performance of a computer resource or attaches itself to another computer resource and operates when a programme, data or instruction is executed or some other event takes place in that computer resource.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-VULNERABILITY,SCH-V,VULNERABILITY,A weakness that could be exploited to cause damage to the system or the assets it contains.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-WEB-BROWSER,SCH-V,WEB BROWSER,A software application used to locate and display web pages.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-WORLD-WIDE-WEB-WWW,SCH-V,WORLD WIDE WEB (WWW),"A hypertext-based, distributed information system in which users may create, edit, or browse hypertext documents. A graphical document publishing and retrieval medium; a collection of linked documents that reside on the Internet.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-WRITING,SCH-V,WRITING,Information in a record that is accessible and usable for subsequent reference.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-X-509,SCH-V,X.509,The ITU-T (International Telecommunications Union-T) standard for Digital Signature Certificates. X.509 v3 refers to certificates containing or capable of containing extensions.,,KB 2/India/Information Technology Act 2000.pdf
