definition_id,term,definition_text,scope,defined_in,source_document
def_s_48B__corporation,corporation,“corporation” has the meaning given by section 52(7);,section 48B,s_48B(4),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48B__officer,officer,"“officer” — (a) in relation to a corporation, has the meaning given by section 52(7); or (b) in relation to an unincorporated association (other than a partnership), has the meaning given by section 52A(7);",section 48B,s_48B(4),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48B__partner,partner,"“partner”, in relation to a partnership, has the meaning given by section 52A(7).",section 48B,s_48B(4),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48C__disclose,disclose,"“disclose”, in relation to personal data, includes providing access to personal data;",section 48C,s_48C(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48C__gain,gain,"“gain” means — (a) a gain in property or a supply of services, whether temporary or permanent; or (b) an opportunity to earn remuneration or greater remuneration or to gain a financial advantage otherwise than by way of remuneration;",section 48C,s_48C(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48C__harm,harm,"“harm”, in relation to an individual, means — (a) any physical harm; or (b) harassment, alarm or distress caused to the individual;",section 48C,s_48C(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48C__loss,loss,"“loss” means — (a) a loss in property or a supply of services, whether temporary or permanent; or (b) a loss of an opportunity to earn remuneration or greater remuneration or to gain a financial advantage otherwise than by way of remuneration, but excludes, in relation to an individual, the loss of personal data about the individual;",section 48C,s_48C(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48C__monetary_authority_of_singapore,Monetary Authority of Singapore,“Monetary Authority of Singapore” means the Monetary Authority of Singapore established by section 3 of the Monetary Authority of Singapore Act 1970;,section 48C,s_48C(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48C__relevant_public_official,relevant public official,“relevant public official” has the meaning given by section 7(7) of the Public Sector (Governance) Act 2018;,section 48C,s_48C(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48C__singapore_public_sector_agency,Singapore public sector agency,“Singapore public sector agency” has the meaning given by section 2(1) of the Public Sector (Governance) Act 2018.,section 48C,s_48C(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48F__applicable_contravention,applicable contravention,“applicable contravention” means a contravention of any of the following: (a) subsection (1); (b) section 8(1) of the Public Sector (Governance) Act 2018; (c) section 14C(1) of the Monetary Authority of Singapore Act 1970;,section 48F,s_48F(4),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48F__specified_purpose,specified purpose,“specified purpose” means any purpose specified in the Eleventh Schedule.,section 48F,s_48F(4),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_52__corporation,corporation,“corporation” includes a limited liability partnership within the meaning of section 2(1) of the Limited Liability Partnerships Act 2005;,section 52,s_52(7),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_52__officer,officer,"“officer”, in relation to a corporation, means any director, partner, chief executive, manager, secretary or other similar officer of the corporation, and includes — (a) any person purporting to act in any such capacity; and (b) for a corporation whose affairs are managed by its members, any of those members as if the member were a director of the corporation;",section 52,s_52(7),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_52__state_of_mind,state of mind,"“state of mind” of a person includes — (a) the knowledge, intention, opinion, belief or purpose of the person; and (b) the person’s reasons for the intention, opinion, belief or purpose.",section 52,s_52(7),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_52A__officer,officer,"“officer”, in relation to an unincorporated association (other than a partnership), means the president, the secretary or any member of the committee of the unincorporated association, and includes — (a) any person holding a position analogous to that of president, secretary or member of the committee of the unincorporated association; and (b) any person purporting to act in any such capacity;",section 52A,s_52A(7),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_52A__partner,partner,“partner” includes a person purporting to act as a partner;,section 52A,s_52A(7),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_52A__state_of_mind,state of mind,"“state of mind” of a person includes — (a) the knowledge, intention, opinion, belief or purpose of the person; and (b) the person’s reasons for the intention, opinion, belief or purpose.",section 52A,s_52A(7),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p2_para6__broadcasting_service,broadcasting service,“broadcasting service” has the meaning given by section 2(1) of the Broadcasting Act 1994;,FIRST SCHEDULE paragraph 6,sch_1_p2_para6,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p2_para6__news_activity,news activity,"“news activity” means — (a) the gathering of news, or the preparation or compilation of articles or programmes of or concerning news, observations on news, or current affairs, for the purposes of dissemination to the public or any section of the public; or (b) the dissemination, to the public or any section of the public, of any article or programme of or concerning — (i) news; (ii) observations on news; or (iii) current affairs;",FIRST SCHEDULE paragraph 6,sch_1_p2_para6,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p2_para6__news_organisation,news organisation,"“news organisation” means — (a) any organisation — (i) the business of which consists, in whole or in part, of news activity carried out in relation to a relevant broadcasting service, a newswire service or the publication of a newspaper; and (ii) which, if the organisation publishes a newspaper in Singapore which is not exempted from the provisions of Part 3 of the Newspaper and Printing Presses Act 1974, is a newspaper company defined in section 2(1) of that Act; or (b) any organisation which provides a broadcasting service in or from Singapore and holds a broadcasting licence granted under section 8 of the Broadcasting Act 1994;",FIRST SCHEDULE paragraph 6,sch_1_p2_para6,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
