clause_id,article_id,parent_clause_id,label,level,text,source_document
art_18_1,art_18,,(1),paragraph,Personal Data may be processed by 2 (two) or more Personal Data Controllers.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_18_2,art_18,,(2),paragraph,"Where Personal Data is processed by 2 (two) or more Personal Data Controllers, the following minimum requirements must be fulfilled:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_18_2_a,art_18,art_18_2,a.,letter,"there is an agreement among the Personal Data Controllers, which defines the role, responsibilities, and relationship between the Personal Data Controllers;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_18_2_b,art_18,art_18_2,b.,letter,interrelated purposes and methods of processing Personal Data are jointly determined; and,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_18_2_c,art_18,art_18_2,c.,letter,a contact person is jointly appointed.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_19_a,art_19,,a.,letter,Any Person;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_19_b,art_19,,b.,letter,Public Bodies; and,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_19_d,art_19,,d.,letter,International Organizations;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20_1,art_20,,(1),paragraph,A Personal Data Controller must have a basis upon which Personal Data is processed.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20_2,art_20,,(2),paragraph,The basis upon which Personal Data is processed under section (1) shall include:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20_2_a,art_20,art_20_2,a.,letter,explicit valid consent from the Personal Data Subject for 1 (one) or several specific purposes that has been delivered by the Personal Data Controller to the Personal Data Subject;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20_2_b,art_20,art_20_2,b.,letter,"to fulfil the obligations of an agreement to which the Personal Data Subject is one of the parties, or to fulfil a request of the Personal Data Subject at the time of entering into an agreement;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20_2_c,art_20,art_20_2,c.,letter,to fulfil legal obligations by the Personal Data Controller in accordance with law and regulations;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20_2_d,art_20,art_20_2,d.,letter,to protect the vital interest of the Personal Data Subject;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20_2_e,art_20,art_20_2,e.,letter,"to perform tasks within the scope of public interest, public services, or the exercise of authority of the Personal Data Controller in accordance with law and regulations; and/or",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20_2_f,art_20,art_20_2,f.,letter,"to serve other legitimate interests with due regard to the purposes, needs, and balance between the interests of the Personal Data Controller and the rights of the Personal Data Subject.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21_1,art_21,,(1),paragraph,"Where Personal Data should be processed on the basis of the consent under Article 20 section (2), a Personal Data Controller must notify:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21_1_a,art_21,art_21_1,a.,letter,the legality of the processing of Personal Data;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21_1_b,art_21,art_21_1,b.,letter,the purpose for which the Personal Data is processed;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
