declarativestatement_id,component_id,component_name,assessmentfactor_id,assessment_factor_name,domain_id,domain_name,maturity_level,text,it_handbook_citation,applicability_note,source_document
C006_S017,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Innovative,A formal process is in place for the independent audit function to update its procedures based on changes to the evolving threat landscape across other sectors the institution depends upon.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S018,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Innovative,The independent audit function uses sophisticated data mining tools to perform continuous monitoring of cybersecurity processes or controls.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S001,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Baseline,"Information security roles and responsibilities have been identified. (FFIEC Information Security Booklet, page 7)","FFIEC Information Security Booklet, page 7",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S002,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Baseline,"Processes are in place to identify additional expertise needed to improve information security defenses. (FFIEC Information Security Work Program, Objective I: 2-8)",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S003,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Evolving,A formal process is used to identify cybersecurity tools and expertise that may be needed.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S004,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Evolving,Management with appropriate knowledge and experience leads the institution's cybersecurity efforts.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S005,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Evolving,Staff with cybersecurity responsibilities have the requisite qualifications to perform the necessary tasks of the position.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S006,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Evolving,"Employment candidates, contractors, and third parties are subject to background verification proportional to the confidentiality of the data accessed, business requirements, and acceptable risk.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S007,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Intermediate,"The institution has a program for talent recruitment, retention, and succession planning for the cybersecurity and resilience staffs.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S008,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Advanced,"The institution benchmarks its cybersecurity staffing against peers to identify whether its recruitment, retention, and succession planning are commensurate.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S009,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Advanced,"Dedicated cybersecurity staff develops, or contributes to developing, integrated enterprise-level security and cyber defense strategies.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C007_S010,C007,Staffing,D1_AF3,Resources,D1,Cyber Risk Management and Oversight,Innovative,The institution actively partners with industry associations and academia to inform curricula based on future cybersecurity staffing needs of the industry.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S001,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Baseline,"Annual information security training is provided. (FFIEC Information Security Booklet, page 66)","FFIEC Information Security Booklet, page 66",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S002,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Baseline,"Annual information security training includes incident response, current cyber threats (e.g., phishing, spear phishing, social engineering, and mobile security), and emerging issues. (FFIEC Information Security Booklet, page 66)","FFIEC Information Security Booklet, page 66",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S003,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Baseline,"Situational awareness materials are made available to employees when prompted by highly visible cyber events or by regulatory alerts. (FFIEC Information Security Booklet, page 7)","FFIEC Information Security Booklet, page 7",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S004,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Baseline,"Customer awareness materials are readily available (e.g., DHS’ Cybersecurity Awareness Month materials). (FFIEC E-Banking Work Program, Objective 6-3)",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S005,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Evolving,The institution has a program for continuing cybersecurity training and skill development for cybersecurity staff.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S006,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Evolving,Management is provided cybersecurity training relevant to their job responsibilities.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S007,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Evolving,Employees with privileged account permissions receive additional cybersecurity training commensurate with their levels of responsibility.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S008,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Evolving,Business units are provided cybersecurity training relevant to their particular business risks.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S009,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Evolving,"The institution validates the effectiveness of training (e.g., social engineering or phishing tests).",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S010,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Intermediate,Management incorporates lessons learned from social engineering and phishing exercises to improve the employee awareness programs.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S011,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Intermediate,Cybersecurity awareness information is provided to retail customers and commercial clients at least annually.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S012,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Intermediate,"Business units are provided cybersecurity training relevant to their particular business risks, over and above what is required of the institution as a whole.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S013,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Intermediate,The institution routinely updates its training to security staff to adapt to new threats.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S014,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Advanced,"Independent directors are provided with cybersecurity training that addresses how complex products, services, and lines of business affect the institution's cyber risk.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C008_S015,C008,Training,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Innovative,Key performance indicators are used to determine whether training and awareness programs positively influence behavior.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S001,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Baseline,"Management holds employees accountable for complying with the information security program. (FFIEC Information Security Booklet, page 7)","FFIEC Information Security Booklet, page 7",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S002,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Evolving,The institution has formal standards of conduct that hold all employees accountable for complying with cybersecurity policies and procedures.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S003,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Evolving,Cyber risks are actively discussed at business unit meetings.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S004,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Evolving,Employees have a clear understanding of how to identify and escalate potential cybersecurity issues.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S005,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Intermediate,Management ensures performance plans are tied to compliance with cybersecurity policies and standards in order to hold employees accountable.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S006,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Intermediate,The risk culture requires formal consideration of cyber risks in all business decisions.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S007,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Intermediate,Cyber risk reporting is presented and discussed at the independent risk management meetings.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S008,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Advanced,Management ensures continuous improvement of cyber risk cultural awareness.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C009_S009,C009,Culture,D1_AF4,Training and Culture,D1,Cyber Risk Management and Oversight,Innovative,The institution leads efforts to promote cybersecurity culture across the sector and to other sectors that they depend upon.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S001,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Baseline,"The institution belongs or subscribes to a threat and vulnerability information sharing source(s) that provides information on threats (e.g., Financial Services Information Sharing and Analysis Center [FS-ISAC], U.S. Computer Emergency Readiness Team [US-CERT]). (FFIEC E-Banking Work Program, page 28)","FFIEC E-Banking Work Program, page 28",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S002,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Baseline,"Threat information is used to monitor threats and vulnerabilities. (FFIEC Information Security Booklet, page 83)","FFIEC Information Security Booklet, page 83",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S003,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Baseline,"Threat information is used to enhance internal risk management and controls. (FFIEC Information Security Booklet, page 4)","FFIEC Information Security Booklet, page 4",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S004,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Evolving,"Threat information received by the institution includes analysis of tactics, patterns, and risk mitigation recommendations.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S005,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Intermediate,A formal threat intelligence program is implemented and includes subscription to threat feeds from external providers and internal sources.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S006,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Intermediate,Protocols are implemented for collecting information from industry peers and government.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S007,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Intermediate,"A read-only, central repository of cyber threat intelligence is maintained.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S008,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Advanced,A cyber intelligence model is used for gathering threat information.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S009,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Advanced,Threat intelligence is automatically received from multiple sources in real time.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S010,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Advanced,The institution’s threat intelligence includes information related to geopolitical events that could increase cybersecurity threat levels.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S011,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Innovative,A threat analysis system automatically correlates threat data to specific risks and then takes risk-based automated actions while alerting management.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C010_S012,C010,Threat Intelligence and Information,D2_AF1,Threat Intelligence,D2,Threat Intelligence and Collaboration,Innovative,"The institution is investing in the development of new threat intelligence and collaboration mechanisms (e.g., technologies, business processes) that will transform how information is gathered and shared.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S001,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Baseline,"Audit log records and other security event logs are reviewed and retained in a secure manner. (FFIEC Information Security Booklet, page 79)","FFIEC Information Security Booklet, page 79",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S002,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Baseline,"Computer event logs are used for investigations once an event has occurred. (FFIEC Information Security Booklet, page 83)","FFIEC Information Security Booklet, page 83",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S003,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Evolving,A process is implemented to monitor threat information to discover emerging threats.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S004,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Evolving,The threat information and analysis process is assigned to a specific group or individual.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S005,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Evolving,Security processes and technology are centralized and coordinated in a Security Operations Center (SOC) or equivalent.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S006,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Evolving,Monitoring systems operate continuously with adequate support for efficient incident handling.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S007,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Intermediate,"A threat intelligence team is in place that evaluates threat intelligence from multiple sources for credibility, relevance, and exposure.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S008,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Intermediate,"A profile is created for each threat that identifies the likely intent, capability, and target of the threat.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S009,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Intermediate,Threat information sources that address all components of the threat profile are prioritized and monitored.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S010,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Intermediate,Threat intelligence is analyzed to develop cyber threat summaries including risks to the institution and specific actions for the institution to consider.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S011,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Advanced,A dedicated cyber threat identification and analysis committee or team exists to centralize and coordinate initiatives and communications.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S012,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Advanced,Formal processes have been defined to resolve potential conflicts in information received from sharing and analysis centers or other sources.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S013,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Advanced,Emerging internal and external threat intelligence and correlated log analysis are used to predict future attacks.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S014,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Advanced,Threat intelligence is viewed within the context of the institution's risk profile and risk appetite to prioritize mitigating actions in anticipation of threats.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S015,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Advanced,Threat intelligence is used to update architecture and configuration standards.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S016,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Innovative,"The institution uses multiple sources of intelligence, correlated log analysis, alerts, internal traffic flows, and geopolitical events to predict potential future attacks and attack trends.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S017,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Innovative,Highest risk scenarios are used to predict threats against specific business targets.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C011_S018,C011,Monitoring and Analyzing,D2_AF2,Monitoring and Analyzing,D2,Threat Intelligence and Collaboration,Innovative,IT systems automatically detect configuration weaknesses based on threat intelligence and alert management so actions can be prioritized.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S001,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Baseline,"Information security threats are gathered and shared with applicable internal employees. (FFIEC Information Security Booklet, page 83)","FFIEC Information Security Booklet, page 83",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S002,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Baseline,"Contact information for law enforcement and the regulator(s) is maintained and updated regularly. (FFIEC Business Continuity Planning Work Program, Objective I: 5-1)",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S003,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Baseline,"Information about threats is shared with law enforcement and regulators when required or prompted. (FFIEC Information Security Booklet, page 84)","FFIEC Information Security Booklet, page 84",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S004,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Evolving,A formal and secure process is in place to share threat and vulnerability information with other entities.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S005,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Evolving,A representative from the institution participates in law enforcement or information-sharing organization meetings.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S006,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Intermediate,"A formal protocol is in place for sharing threat, vulnerability, and incident information to employees based on their specific job function.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S007,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Intermediate,Information-sharing agreements are used as needed or required to facilitate sharing threat information with other financial sector organizations or third parties.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S008,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Intermediate,"Information is shared proactively with the industry, law enforcement, regulators, and information-sharing forums.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S009,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Intermediate,A process is in place to communicate and collaborate with the public sector regarding cyber threats.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S010,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Advanced,Management communicates threat intelligence with business risk context and specific risk management recommendations to the business units.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S011,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Advanced,Relationships exist with employees of peer institutions for sharing cyber threat intelligence.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S012,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Advanced,A network of trust relationships (formal and/or informal) has been established to evaluate information about cyber threats.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S013,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Innovative,A mechanism is in place for sharing cyber threat intelligence with business units in real time including the potential financial and operational impact of inaction.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S014,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Innovative,A system automatically informs management of the level of business risk specific to the institution and the progress of recommended steps taken to mitigate the risks.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C012_S015,C012,Information Sharing,D2_AF3,Information Sharing,D2,Threat Intelligence and Collaboration,Innovative,The institution is leading efforts to create new sector-wide information-sharing channels to address gaps in external-facing information-sharing mechanisms.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S001,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"Network perimeter defense tools (e.g., border router and firewall) are used. (FFIEC Information Security Booklet, page 33)","FFIEC Information Security Booklet, page 33",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S002,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"Systems that are accessed from the Internet or by external parties are protected by firewalls or other similar devices. (FFIEC Information Security Booklet, page 46)","FFIEC Information Security Booklet, page 46",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S003,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"All ports are monitored. (FFIEC Information Security Booklet, page 50)","FFIEC Information Security Booklet, page 50",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S004,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"Up to date antivirus and anti-malware tools are used. (FFIEC Information Security Booklet, page 78)","FFIEC Information Security Booklet, page 78",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S005,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"Systems configurations (for servers, desktops, routers, etc.) follow industry standards and are enforced. (FFIEC Information Security Booklet, page 56)","FFIEC Information Security Booklet, page 56",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S006,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"Ports, functions, protocols and services are prohibited if no longer needed for business purposes. (FFIEC Information Security Booklet, page 50)","FFIEC Information Security Booklet, page 50",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S007,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"Access to make changes to systems configurations (including virtual machines and hypervisors) is controlled and monitored. (FFIEC Information Security Booklet, page 56)","FFIEC Information Security Booklet, page 56",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S008,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"Programs that can override system, object, network, virtual machine, and application controls are restricted. (FFIEC Information Security Booklet, page 41)","FFIEC Information Security Booklet, page 41",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S009,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"System sessions are locked after a pre-defined period of inactivity and are terminated after pre-defined conditions are met. (FFIEC Information Security Booklet, page 23)","FFIEC Information Security Booklet, page 23",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S010,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Baseline,"Wireless network environments require security settings with strong encryption for authentication and transmission. (*N/A if there are no wireless networks.) (FFIEC Information Security Booklet, page 40)","FFIEC Information Security Booklet, page 40",(*N/A if there are no wireless networks.),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S011,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Evolving,There is a firewall at each Internet connection and between any Demilitarized Zone (DMZ) and internal network(s).,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S012,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Evolving,Antivirus and intrusion detection/prevention systems (IDS/IPS) detect and block actual and attempted attacks or intrusions.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S013,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Evolving,"Technical controls prevent unauthorized devices, including rogue wireless access devices and removable media, from connecting to the internal network(s).",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S014,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Evolving,"A risk-based solution is in place at the institution or Internet hosting provider to mitigate disruptive cyber attacks (e.g., DDoS attacks).",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S015,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Evolving,Guest wireless networks are fully segregated from the internal network(s). (*N/A if there are no wireless networks.),,(*N/A if there are no wireless networks.),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S016,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Evolving,Domain Name System Security Extensions (DNSSEC) is deployed across the enterprise.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S017,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Evolving,"Critical systems supported by legacy technologies are regularly reviewed to identify for potential vulnerabilities, upgrade opportunities, or new defense layers.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S018,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Evolving,Controls for unsupported systems are implemented and tested.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S019,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Intermediate,"The enterprise network is segmented in multiple, separate trust/security zones with defense-in-depth strategies (e.g., logical network segmentation, hard backups, air-gapping) to mitigate attacks.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S020,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Intermediate,"Security controls are used for remote access to all administrative consoles, including restricted virtual systems.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S021,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Intermediate,Wireless network environments have perimeter firewalls that are implemented and configured to restrict unauthorized traffic. (*N/A if there are no wireless networks.),,(*N/A if there are no wireless networks.),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S022,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Intermediate,Wireless networks use strong encryption with encryption keys that are changed frequently. (*N/A if there are no wireless networks.),,(*N/A if there are no wireless networks.),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S023,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Intermediate,The broadcast range of the wireless network(s) is confined to institution-controlled boundaries. (*N/A if there are no wireless networks.),,(*N/A if there are no wireless networks.),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C013_S024,C013,Infrastructure Management,D3_AF1,Preventative Controls,D3,Cybersecurity Controls,Intermediate,"Technical measures are in place to prevent the execution of unauthorized code on institution owned or managed devices, network infrastructure, and systems components.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
