risklevelstatement_id,riskactivity_id,activity_service_or_product,category_name,risk_level,text,source_document
CAT_Online_Mobile_Products_and_Technology_Se_A03_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A03,"Emerging payments technologies (e.g., digital wallets, mobile wallets)",Online/Mobile Products and Technology Services,Significant,Direct acceptance or use of emerging payments technologies; small transaction volume; no foreign payments,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A03_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A03,"Emerging payments technologies (e.g., digital wallets, mobile wallets)",Online/Mobile Products and Technology Services,Most,Direct acceptance of emerging payments technologies; moderate transaction volume and/or foreign payments,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A04_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A04,Person-to-person payments (P2P),Online/Mobile Products and Technology Services,Least,Not offered,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A04_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A04,Person-to-person payments (P2P),Online/Mobile Products and Technology Services,Minimal,"Customers allowed to originate payments; used by <1,000 customers or monthly transaction volume is <50,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A04_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A04,Person-to-person payments (P2P),Online/Mobile Products and Technology Services,Moderate,"Customers allowed to originate payments; used by 1,000–5,000 customers or monthly transaction volume is between 50,000–100,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A04_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A04,Person-to-person payments (P2P),Online/Mobile Products and Technology Services,Significant,"Customers allowed to originate payments; used by 5,001–10,000 customers or monthly transaction volume is between 100,001–1 million",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A04_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A04,Person-to-person payments (P2P),Online/Mobile Products and Technology Services,Most,"Customers allowed to request payment or to originate payment; used by >10,000 customers or monthly transaction volume >1 million",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A05_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A05,Originating ACH payments,Online/Mobile Products and Technology Services,Least,No ACH origination,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A05_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A05,Originating ACH payments,Online/Mobile Products and Technology Services,Minimal,Originate ACH credits; daily volume <3% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A05_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A05,Originating ACH payments,Online/Mobile Products and Technology Services,Moderate,Originate ACH debits and credits; daily volume is 3%–5% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A05_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A05,Originating ACH payments,Online/Mobile Products and Technology Services,Significant,Sponsor third-party payment processor; originate ACH debits and credits with daily volume 6%–25% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A05_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A05,Originating ACH payments,Online/Mobile Products and Technology Services,Most,Sponsor nested third-party payment processors; originate debits and credits with daily volume that is >25% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A06_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A06,"Originating wholesale payments (e.g., CHIPS)",Online/Mobile Products and Technology Services,Least,Do not originate wholesale payments,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A06_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A06,"Originating wholesale payments (e.g., CHIPS)",Online/Mobile Products and Technology Services,Minimal,Daily originated wholesale payment volume <3% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A06_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A06,"Originating wholesale payments (e.g., CHIPS)",Online/Mobile Products and Technology Services,Moderate,Daily originated wholesale payment volume 3%–5% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A06_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A06,"Originating wholesale payments (e.g., CHIPS)",Online/Mobile Products and Technology Services,Significant,Daily originated wholesale payment volume 6%–25% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A06_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A06,"Originating wholesale payments (e.g., CHIPS)",Online/Mobile Products and Technology Services,Most,Daily originated wholesale payment volume >25% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A07_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A07,Wire transfers,Online/Mobile Products and Technology Services,Least,Not offered,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A07_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A07,Wire transfers,Online/Mobile Products and Technology Services,Minimal,In person wire requests only; domestic wires only; daily wire volume <3% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A07_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A07,Wire transfers,Online/Mobile Products and Technology Services,Moderate,"In person, phone, and fax wire requests; domestic daily wire volume 3%–5% of total assets; international daily wire volume <3% of total assets",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A07_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A07,Wire transfers,Online/Mobile Products and Technology Services,Significant,"Multiple request channels (e.g., online, text, e-mail, fax, and phone); daily domestic wire volume 6%–25% of total assets; daily international wire volume 3%–10% of total assets",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A07_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A07,Wire transfers,Online/Mobile Products and Technology Services,Most,"Multiple request channels (e.g., online, text, e-mail, fax, and phone); daily domestic wire volume >25% of total assets; daily international wire volume >10% of total assets",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A08_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A08,Merchant remote deposit capture (RDC),Online/Mobile Products and Technology Services,Least,Do not offer Merchant RDC,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A08_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A08,Merchant remote deposit capture (RDC),Online/Mobile Products and Technology Services,Minimal,<100 merchant clients; daily volume of transactions is <3% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A08_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A08,Merchant remote deposit capture (RDC),Online/Mobile Products and Technology Services,Moderate,100–500 merchant clients; daily volume of transactions is 3%–5% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A08_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A08,Merchant remote deposit capture (RDC),Online/Mobile Products and Technology Services,Significant,"501–1,000 merchant clients; daily volume of transactions is 6%–25% of total assets",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A08_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A08,Merchant remote deposit capture (RDC),Online/Mobile Products and Technology Services,Most,">1,000 merchant clients; daily volume of transactions is >25% of total assets",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A09_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A09,Global remittances,Online/Mobile Products and Technology Services,Least,Do not offer global remittances,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A09_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A09,Global remittances,Online/Mobile Products and Technology Services,Minimal,Gross daily transaction volume is <3% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A09_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A09,Global remittances,Online/Mobile Products and Technology Services,Moderate,Gross daily transaction volume is 3%–5% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A09_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A09,Global remittances,Online/Mobile Products and Technology Services,Significant,Gross daily transaction volume is 6%–25% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A09_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A09,Global remittances,Online/Mobile Products and Technology Services,Most,Gross daily transaction volume is >25% of total assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A10_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A10,Treasury services and clients,Online/Mobile Products and Technology Services,Least,No treasury management services are offered,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A10_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A10,Treasury services and clients,Online/Mobile Products and Technology Services,Minimal,"Limited services offered; number of clients is <1,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A10_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A10,Treasury services and clients,Online/Mobile Products and Technology Services,Moderate,"Services offered include lockbox, ACH origination, and remote deposit capture; number of clients is between 1,000–10,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A10_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A10,Treasury services and clients,Online/Mobile Products and Technology Services,Significant,"Services offered include accounts receivable solutions and liquidity management; number of clients is between 10,001–20,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A10_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A10,Treasury services and clients,Online/Mobile Products and Technology Services,Most,"Multiple services offered including currency services, online investing, and investment sweep accounts; number of clients is >20,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A11_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A11,Trust services,Online/Mobile Products and Technology Services,Least,Trust services are not offered,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A11_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A11,Trust services,Online/Mobile Products and Technology Services,Minimal,Trust services are offered through a third-party provider; assets under management total <$500 million,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A11_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A11,Trust services,Online/Mobile Products and Technology Services,Moderate,Trust services provided directly; portfolio of assets under management total $500 million–$999 million,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A11_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A11,Trust services,Online/Mobile Products and Technology Services,Significant,Trust services provided directly; assets under management total $1 billion–$10 billion,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A11_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A11,Trust services,Online/Mobile Products and Technology Services,Most,Trust services provided directly; assets under management total >$10 billion,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A12_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A12,Act as a correspondent bank (Interbank transfers),Online/Mobile Products and Technology Services,Least,Do not act as a correspondent bank,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A12_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A12,Act as a correspondent bank (Interbank transfers),Online/Mobile Products and Technology Services,Minimal,Act as a correspondent bank for <100 institutions,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A12_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A12,Act as a correspondent bank (Interbank transfers),Online/Mobile Products and Technology Services,Moderate,Act as a correspondent bank for 100–250 institutions,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A12_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A12,Act as a correspondent bank (Interbank transfers),Online/Mobile Products and Technology Services,Significant,Act as a correspondent bank for 251–500 institutions,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A12_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A12,Act as a correspondent bank (Interbank transfers),Online/Mobile Products and Technology Services,Most,Act as a correspondent bank for >500 institutions,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A13_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A13,Merchant acquirer (sponsor merchants or card processor activity into the payment system),Online/Mobile Products and Technology Services,Least,Do not act as a merchant acquirer,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A13_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A13,Merchant acquirer (sponsor merchants or card processor activity into the payment system),Online/Mobile Products and Technology Services,Minimal,"Act as a merchant acquirer; <1,000 merchants",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A13_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A13,Merchant acquirer (sponsor merchants or card processor activity into the payment system),Online/Mobile Products and Technology Services,Moderate,"Act as a merchant acquirer; outsource card payment processing; 1,000–10,000 merchants",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A13_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A13,Merchant acquirer (sponsor merchants or card processor activity into the payment system),Online/Mobile Products and Technology Services,Significant,"Act as a merchant acquirer and card payment processor; 10,001–100,000 merchants",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A13_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A13,Merchant acquirer (sponsor merchants or card processor activity into the payment system),Online/Mobile Products and Technology Services,Most,"Act as a merchant acquirer and card payment processor; >100,000 merchants",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A14_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A14,Host IT services for other organizations (either through joint systems or administrative support),Online/Mobile Products and Technology Services,Least,Do not provide IT services for other organizations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A14_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A14,Host IT services for other organizations (either through joint systems or administrative support),Online/Mobile Products and Technology Services,Minimal,Host or provide IT services for affiliated organizations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A14_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A14,Host IT services for other organizations (either through joint systems or administrative support),Online/Mobile Products and Technology Services,Moderate,Host or provide IT services for up to 25 unaffiliated organizations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A14_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A14,Host IT services for other organizations (either through joint systems or administrative support),Online/Mobile Products and Technology Services,Significant,Host or provide IT services for 26–50 unaffiliated organizations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A14_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A14,Host IT services for other organizations (either through joint systems or administrative support),Online/Mobile Products and Technology Services,Most,Host or provide IT services for >50 unaffiliated organizations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A01_LEAST,CAT_Organizational_Characteristics_A01,Mergers and acquisitions (including divestitures and joint ventures),Organizational Characteristics,Least,None planned,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A01_MINIMAL,CAT_Organizational_Characteristics_A01,Mergers and acquisitions (including divestitures and joint ventures),Organizational Characteristics,Minimal,Open to initiating discussions or actively seeking a merger or acquisition,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A01_MODERATE,CAT_Organizational_Characteristics_A01,Mergers and acquisitions (including divestitures and joint ventures),Organizational Characteristics,Moderate,In discussions with at least 1 party,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A01_SIGNIFICANT,CAT_Organizational_Characteristics_A01,Mergers and acquisitions (including divestitures and joint ventures),Organizational Characteristics,Significant,"A sale or acquisition has been publicly announced within the past year, in negotiations with 1 or more parties",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A01_MOST,CAT_Organizational_Characteristics_A01,Mergers and acquisitions (including divestitures and joint ventures),Organizational Characteristics,Most,Multiple ongoing integrations of acquisitions are in process,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A02_LEAST,CAT_Organizational_Characteristics_A02,Direct employees (including information technology and cybersecurity contractors),Organizational Characteristics,Least,Number of employees totals <50,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A02_MINIMAL,CAT_Organizational_Characteristics_A02,Direct employees (including information technology and cybersecurity contractors),Organizational Characteristics,Minimal,"Number of employees totals 50–2,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A02_MODERATE,CAT_Organizational_Characteristics_A02,Direct employees (including information technology and cybersecurity contractors),Organizational Characteristics,Moderate,"Number of employees totals 2,001–10,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A02_SIGNIFICANT,CAT_Organizational_Characteristics_A02,Direct employees (including information technology and cybersecurity contractors),Organizational Characteristics,Significant,"Number of employees totals 10,001–50,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A02_MOST,CAT_Organizational_Characteristics_A02,Direct employees (including information technology and cybersecurity contractors),Organizational Characteristics,Most,"Number of employees is >50,000",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A03_LEAST,CAT_Organizational_Characteristics_A03,Changes in IT and information security staffing,Organizational Characteristics,Least,Key positions filled; low or no turnover of personnel,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A03_MINIMAL,CAT_Organizational_Characteristics_A03,Changes in IT and information security staffing,Organizational Characteristics,Minimal,Staff vacancies exist for non-critical roles,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A03_MODERATE,CAT_Organizational_Characteristics_A03,Changes in IT and information security staffing,Organizational Characteristics,Moderate,Some turnover in key or senior positions,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A03_SIGNIFICANT,CAT_Organizational_Characteristics_A03,Changes in IT and information security staffing,Organizational Characteristics,Significant,Frequent turnover in key staff or senior positions,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A03_MOST,CAT_Organizational_Characteristics_A03,Changes in IT and information security staffing,Organizational Characteristics,Most,Vacancies in senior or key positions for long periods; high level of employee turnover in IT or information security,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A04_LEAST,CAT_Organizational_Characteristics_A04,"Privileged access (Administrators–network, database, applications, systems, etc.)",Organizational Characteristics,Least,Limited number of administrators; limited or no external administrators,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A04_MINIMAL,CAT_Organizational_Characteristics_A04,"Privileged access (Administrators–network, database, applications, systems, etc.)",Organizational Characteristics,Minimal,Level of turnover in administrators does not affect operations or activities; may utilize some external administrators,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A04_MODERATE,CAT_Organizational_Characteristics_A04,"Privileged access (Administrators–network, database, applications, systems, etc.)",Organizational Characteristics,Moderate,Level of turnover in administrators affects operations; number of administrators for individual systems or applications exceeds what is necessary,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A04_SIGNIFICANT,CAT_Organizational_Characteristics_A04,"Privileged access (Administrators–network, database, applications, systems, etc.)",Organizational Characteristics,Significant,High reliance on external administrators; number of administrators is not sufficient to support level or pace of change,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A04_MOST,CAT_Organizational_Characteristics_A04,"Privileged access (Administrators–network, database, applications, systems, etc.)",Organizational Characteristics,Most,High employee turnover in network administrators; many or most administrators are external (contractors or vendors); experience in network administration is limited,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A05_LEAST,CAT_Organizational_Characteristics_A05,"Changes in IT environment (e.g., network, infrastructure, critical applications, technologies supporting new products or services)",Organizational Characteristics,Least,Stable IT environment,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A05_MINIMAL,CAT_Organizational_Characteristics_A05,"Changes in IT environment (e.g., network, infrastructure, critical applications, technologies supporting new products or services)",Organizational Characteristics,Minimal,Infrequent or minimal changes in the IT environment,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A05_MODERATE,CAT_Organizational_Characteristics_A05,"Changes in IT environment (e.g., network, infrastructure, critical applications, technologies supporting new products or services)",Organizational Characteristics,Moderate,Frequent adoption of new technologies,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A05_SIGNIFICANT,CAT_Organizational_Characteristics_A05,"Changes in IT environment (e.g., network, infrastructure, critical applications, technologies supporting new products or services)",Organizational Characteristics,Significant,Volume of significant changes is high,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A05_MOST,CAT_Organizational_Characteristics_A05,"Changes in IT environment (e.g., network, infrastructure, critical applications, technologies supporting new products or services)",Organizational Characteristics,Most,Substantial change in outsourced provider(s) of critical IT services; large and complex changes to the environment occur frequently,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A06_LEAST,CAT_Organizational_Characteristics_A06,Locations of branches/business presence,Organizational Characteristics,Least,1 state,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A06_MINIMAL,CAT_Organizational_Characteristics_A06,Locations of branches/business presence,Organizational Characteristics,Minimal,1 region,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A06_MODERATE,CAT_Organizational_Characteristics_A06,Locations of branches/business presence,Organizational Characteristics,Moderate,1 country,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A06_SIGNIFICANT,CAT_Organizational_Characteristics_A06,Locations of branches/business presence,Organizational Characteristics,Significant,1–20 countries,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A06_MOST,CAT_Organizational_Characteristics_A06,Locations of branches/business presence,Organizational Characteristics,Most,>20 countries,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A07_LEAST,CAT_Organizational_Characteristics_A07,Locations of operations/data centers,Organizational Characteristics,Least,1 state,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A07_MINIMAL,CAT_Organizational_Characteristics_A07,Locations of operations/data centers,Organizational Characteristics,Minimal,1 region,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A07_MODERATE,CAT_Organizational_Characteristics_A07,Locations of operations/data centers,Organizational Characteristics,Moderate,1 country,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A07_SIGNIFICANT,CAT_Organizational_Characteristics_A07,Locations of operations/data centers,Organizational Characteristics,Significant,1–10 countries,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A07_MOST,CAT_Organizational_Characteristics_A07,Locations of operations/data centers,Organizational Characteristics,Most,>10 countries,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_External_Threats_A01_LEAST,CAT_External_Threats_A01,Attempted cyber attacks,External Threats,Least,No attempted attacks or reconnaissance,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_External_Threats_A01_MINIMAL,CAT_External_Threats_A01,Attempted cyber attacks,External Threats,Minimal,Few attempts monthly (<100); may have had generic phishing campaigns received by employees and customers,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_External_Threats_A01_MODERATE,CAT_External_Threats_A01,Attempted cyber attacks,External Threats,Moderate,Several attempts monthly (100– 500); phishing campaigns targeting employees or customers at the institution or third parties supporting critical activities; may have experienced an attempted Distributed Denial of Service (DDoS) attack within the last year,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_External_Threats_A01_SIGNIFICANT,CAT_External_Threats_A01,Attempted cyber attacks,External Threats,Significant,"Significant number of attempts monthly (501–100,000); spear phishing campaigns targeting high net worth customers and employees at the institution or third parties supporting critical activities; Institution specifically is named in threat reports; may have experienced multiple attempted DDoS attacks within the last year",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_External_Threats_A01_MOST,CAT_External_Threats_A01,Attempted cyber attacks,External Threats,Most,"Substantial number of attempts monthly (>100,000); persistent attempts to attack senior management and/or network administrators; frequently targeted for DDoS attacks",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
