control_id,mitigationstrategy_id,maturitylevel_id,sequence,text,source_document
PA-ML3-03,STRAT-01,ML3,3,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in online services.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-04,STRAT-01,ML3,4,"A vulnerability scanner is used at least weekly to identify missing patches or updates for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-05,STRAT-01,ML3,5,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in applications other than office productivity suites, web browsers and their extensions, email clients, PDF software, and security products.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-06,STRAT-01,ML3,6,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-07,STRAT-01,ML3,7,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-08,STRAT-01,ML3,8,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-09,STRAT-01,ML3,9,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within two weeks of release when vulnerabilities are assessed as non- critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-10,STRAT-01,ML3,10,"Patches, updates or other vendor mitigations for vulnerabilities in applications other than office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within one month of release.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-11,STRAT-01,ML3,11,Online services that are no longer supported by vendors are removed.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-12,STRAT-01,ML3,12,"Office productivity suites, web browsers and their extensions, email clients, PDF software, Adobe Flash Player, and security products that are no longer supported by vendors are removed.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-13,STRAT-01,ML3,13,"Applications other than office productivity suites, web browsers and their extensions, email clients, PDF software, Adobe Flash Player, and security products that are no longer supported by vendors are removed.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-01,STRAT-02,ML3,1,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-02,STRAT-02,ML3,2,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-03,STRAT-02,ML3,3,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-04,STRAT-02,ML3,4,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in operating systems of workstations, non-internet-facing servers and non- internet-facing network devices.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-05,STRAT-02,ML3,5,A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in drivers.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-06,STRAT-02,ML3,6,A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in firmware.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-07,STRAT-02,ML3,7,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-08,STRAT-02,ML3,8,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-09,STRAT-02,ML3,9,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-10,STRAT-02,ML3,10,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-11,STRAT-02,ML3,11,"Patches, updates or other vendor mitigations for vulnerabilities in drivers are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-12,STRAT-02,ML3,12,"Patches, updates or other vendor mitigations for vulnerabilities in drivers are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-13,STRAT-02,ML3,13,"Patches, updates or other vendor mitigations for vulnerabilities in firmware are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-14,STRAT-02,ML3,14,"Patches, updates or other vendor mitigations for vulnerabilities in firmware are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-15,STRAT-02,ML3,15,"The latest release, or the previous release, of operating systems are used.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML3-16,STRAT-02,ML3,16,Operating systems that are no longer supported by vendors are replaced.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-01,STRAT-03,ML3,1,"Multi-factor authentication is used to authenticate users to their organisation's online services that process, store or communicate their organisation's sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-02,STRAT-03,ML3,2,"Multi-factor authentication is used to authenticate users to third-party online services that process, store or communicate their organisation's sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-03,STRAT-03,ML3,3,"Multi-factor authentication (where available) is used to authenticate users to third-party online services that process, store or communicate their organisation's non-sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-04,STRAT-03,ML3,4,"Multi-factor authentication is used to authenticate users to their organisation's online customer services that process, store or communicate their organisation's sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-05,STRAT-03,ML3,5,"Multi-factor authentication is used to authenticate users to third-party online customer services that process, store or communicate their organisation's sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-06,STRAT-03,ML3,6,"Multi-factor authentication is used to authenticate customers to online customer services that process, store or communicate sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-07,STRAT-03,ML3,7,Multi-factor authentication is used to authenticate privileged users of systems.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-08,STRAT-03,ML3,8,Multi-factor authentication is used to authenticate unprivileged users of systems.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-09,STRAT-03,ML3,9,Multi-factor authentication is used to authenticate users of data repositories.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-10,STRAT-03,ML3,10,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-11,STRAT-03,ML3,11,Multi-factor authentication used for authenticating users of online services is phishing- resistant.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-12,STRAT-03,ML3,12,Multi-factor authentication used for authenticating customers of online customer services is phishing-resistant.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-13,STRAT-03,ML3,13,Multi-factor authentication used for authenticating users of systems is phishing-resistant.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-14,STRAT-03,ML3,14,Multi-factor authentication used for authenticating users of data repositories is phishing- resistant.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-15,STRAT-03,ML3,15,Successful and unsuccessful multi-factor authentication events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-16,STRAT-03,ML3,16,Event logs are protected from unauthorised modification and deletion.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-17,STRAT-03,ML3,17,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-18,STRAT-03,ML3,18,Event logs from non-internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-19,STRAT-03,ML3,19,Event logs from workstations are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-20,STRAT-03,ML3,20,Cyber security events are analysed in a timely manner to identify cyber security incidents.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-21,STRAT-03,ML3,21,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-22,STRAT-03,ML3,22,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML3-23,STRAT-03,ML3,23,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-01,STRAT-04,ML3,1,"Requests for privileged access to systems, applications and data repositories are validated when first requested.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-02,STRAT-04,ML3,2,"Privileged access to systems, applications and data repositories is disabled after 12 months unless revalidated.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-03,STRAT-04,ML3,3,Privileged access to systems and applications is disabled after 45 days of inactivity.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-04,STRAT-04,ML3,4,Privileged users are assigned a dedicated privileged user account to be used solely for duties requiring privileged access.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-05,STRAT-04,ML3,5,"Privileged access to systems, applications and data repositories is limited to only what is required for users and services to undertake their duties.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-06,STRAT-04,ML3,6,"Privileged user accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-07,STRAT-04,ML3,7,Privileged user accounts explicitly authorised to access online services are strictly limited to only what is required for users and services to undertake their duties.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-08,STRAT-04,ML3,8,Secure Admin Workstations are used in the performance of administrative activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-09,STRAT-04,ML3,9,Privileged users use separate privileged and unprivileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-10,STRAT-04,ML3,10,Privileged operating environments are not virtualised within unprivileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-11,STRAT-04,ML3,11,Unprivileged user accounts cannot logon to privileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-12,STRAT-04,ML3,12,Privileged user accounts (excluding local administrator accounts) cannot logon to unprivileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-13,STRAT-04,ML3,13,Just-in-time administration is used for administering systems and applications.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-14,STRAT-04,ML3,14,Administrative activities are conducted through jump servers.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-15,STRAT-04,ML3,15,"Credentials for break glass accounts, local administrator accounts and service accounts are long, unique, unpredictable and managed.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-16,STRAT-04,ML3,16,Memory integrity functionality is enabled.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-17,STRAT-04,ML3,17,Local Security Authority protection functionality is enabled.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-18,STRAT-04,ML3,18,Credential Guard functionality is enabled.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-19,STRAT-04,ML3,19,Remote Credential Guard functionality is enabled.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-20,STRAT-04,ML3,20,Privileged access events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-21,STRAT-04,ML3,21,Privileged user account and security group management events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-22,STRAT-04,ML3,22,Event logs are protected from unauthorised modification and deletion.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-23,STRAT-04,ML3,23,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-24,STRAT-04,ML3,24,Event logs from non-internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-25,STRAT-04,ML3,25,Event logs from workstations are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-26,STRAT-04,ML3,26,Cyber security events are analysed in a timely manner to identify cyber security incidents.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-27,STRAT-04,ML3,27,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-28,STRAT-04,ML3,28,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML3-29,STRAT-04,ML3,29,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-01,STRAT-05,ML3,1,Application control is implemented on workstations.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-02,STRAT-05,ML3,2,Application control is implemented on internet-facing servers.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-03,STRAT-05,ML3,3,Application control is implemented on non-internet-facing servers.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-04,STRAT-05,ML3,4,"Application control is applied to user profiles and temporary folders used by operating systems, web browsers and email clients.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-05,STRAT-05,ML3,5,"Application control is applied to all locations other than user profiles and temporary folders used by operating systems, web browsers and email clients.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-06,STRAT-05,ML3,6,"Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation- approved set.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-07,STRAT-05,ML3,7,Application control restricts the execution of drivers to an organisation-approved set.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-08,STRAT-05,ML3,8,Microsoft's recommended application blocklist is implemented.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-09,STRAT-05,ML3,9,Microsoft's vulnerable driver blocklist is implemented.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-10,STRAT-05,ML3,10,Application control rulesets are validated on an annual or more frequent basis.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-11,STRAT-05,ML3,11,Allowed and blocked application control events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-12,STRAT-05,ML3,12,Event logs are protected from unauthorised modification and deletion.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-13,STRAT-05,ML3,13,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-14,STRAT-05,ML3,14,Event logs from non-internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-15,STRAT-05,ML3,15,Event logs from workstations are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-16,STRAT-05,ML3,16,Cyber security events are analysed in a timely manner to identify cyber security incidents.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-17,STRAT-05,ML3,17,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-18,STRAT-05,ML3,18,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML3-19,STRAT-05,ML3,19,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-01,STRAT-06,ML3,1,Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-02,STRAT-06,ML3,2,"Only Microsoft Office macros running from within a sandboxed environment, a Trusted Location or that are digitally signed by a trusted publisher are allowed to execute.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-03,STRAT-06,ML3,3,Microsoft Office macros are checked to ensure they are free of malicious code before being digitally signed or placed within Trusted Locations.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-04,STRAT-06,ML3,4,Only privileged users responsible for checking that Microsoft Office macros are free of malicious code can write to and modify content within Trusted Locations.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-05,STRAT-06,ML3,5,Microsoft Office macros digitally signed by an untrusted publisher cannot be enabled via the Message Bar or Backstage View.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-06,STRAT-06,ML3,6,Microsoft Office macros digitally signed by signatures other than V3 signatures cannot be enabled via the Message Bar or Backstage View.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-07,STRAT-06,ML3,7,Microsoft Office's list of trusted publishers is validated on an annual or more frequent basis.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-08,STRAT-06,ML3,8,Microsoft Office macros in files originating from the internet are blocked.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-09,STRAT-06,ML3,9,Microsoft Office macro antivirus scanning is enabled.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-10,STRAT-06,ML3,10,Microsoft Office macros are blocked from making Win32 API calls.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML3-11,STRAT-06,ML3,11,Microsoft Office macro security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-01,STRAT-07,ML3,1,Internet Explorer 11 is disabled or removed.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-02,STRAT-07,ML3,2,Web browsers do not process Java from the internet.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-03,STRAT-07,ML3,3,Web browsers do not process web advertisements from the internet.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-04,STRAT-07,ML3,4,"Web browsers are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-05,STRAT-07,ML3,5,Web browser security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-06,STRAT-07,ML3,6,Microsoft Office is blocked from creating child processes.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-07,STRAT-07,ML3,7,Microsoft Office is blocked from creating executable content.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-08,STRAT-07,ML3,8,Microsoft Office is blocked from injecting code into other processes.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-09,STRAT-07,ML3,9,Microsoft Office is configured to prevent activation of Object Linking and Embedding packages.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-10,STRAT-07,ML3,10,"Office productivity suites are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-11,STRAT-07,ML3,11,Office productivity suite security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-12,STRAT-07,ML3,12,PDF software is blocked from creating child processes.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-13,STRAT-07,ML3,13,"PDF software is hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-14,STRAT-07,ML3,14,PDF software security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-15,STRAT-07,ML3,15,.NET Framework 3.5 (includes .NET 2.0 and 3.0) is disabled or removed.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-16,STRAT-07,ML3,16,Windows PowerShell 2.0 is disabled or removed.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-17,STRAT-07,ML3,17,PowerShell is configured to use Constrained Language Mode.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-18,STRAT-07,ML3,18,"PowerShell module logging, script block logging and transcription events are centrally logged.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-19,STRAT-07,ML3,19,Command line process creation events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-20,STRAT-07,ML3,20,Event logs are protected from unauthorised modification and deletion.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-21,STRAT-07,ML3,21,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-22,STRAT-07,ML3,22,Event logs from non-internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-23,STRAT-07,ML3,23,Event logs from workstations are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-24,STRAT-07,ML3,24,Cyber security events are analysed in a timely manner to identify cyber security incidents.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-25,STRAT-07,ML3,25,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-26,STRAT-07,ML3,26,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML3-27,STRAT-07,ML3,27,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-01,STRAT-08,ML3,1,"Backups of data, applications and settings are performed and retained in accordance with business criticality and business continuity requirements.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-02,STRAT-08,ML3,2,"Backups of data, applications and settings are synchronised to enable restoration to a common point in time.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-03,STRAT-08,ML3,3,"Backups of data, applications and settings are retained in a secure and resilient manner.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-04,STRAT-08,ML3,4,"Restoration of data, applications and settings from backups to a common point in time is tested as part of disaster recovery exercises.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-05,STRAT-08,ML3,5,Unprivileged user accounts cannot access backups belonging to other user accounts.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-06,STRAT-08,ML3,6,Unprivileged user accounts cannot access their own backups.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-07,STRAT-08,ML3,7,Privileged user accounts (excluding backup administrator accounts) cannot access backups belonging to other user accounts.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-08,STRAT-08,ML3,8,Privileged user accounts (excluding backup administrator accounts) cannot access their own backups.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-09,STRAT-08,ML3,9,Unprivileged accounts are prevented from modifying and deleting backups.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-10,STRAT-08,ML3,10,Privileged user accounts (excluding backup administrator accounts) are prevented from modifying and deleting backups.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML3-11,STRAT-08,ML3,11,Backup administrator accounts are prevented from modifying and deleting backups during their retention period.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
